Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,work_ratio,time_of_day_fraction,day_of_week_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,temporal_demand_gradient
42000,420.0,V0,S0,S37,0,0,-216.81558841820333,0.0,0.4971135343168698,0.22265225643190312,0.1486380936516407,0.20204102563566886,0.13324932960078162,1.0,1.0,0.2572161555290222,0.13590755282654815,1.0,0.2916666666666667,0.0,0.08333333333333333,0.27966645285439384,0.21744708146247593,0.0
42000,434.30644316206076,V0,S37,S29,19,0,-216.4809900329949,0.0,0.4817190506735087,0.22651683433035721,0.13431778245975667,0.20447699047871298,0.11856668106995133,1.0,1.0,0.29185375571250916,0.13795604150981883,1.0,0.2916666666666667,0.0,0.08333333333333333,0.286722257857601,0.19499679281590762,0.0
42000,453.03604465694747,V0,S29,S43,1,0,-217.1746793735614,0.0,0.49454778704297625,0.22230560635222973,0.15860686459169424,0.20081066014566912,0.14275953218901835,1.0,1.0,0.26812058687210083,0.1391168342261838,1.0,0.2916666666666667,0.0,0.08333333333333333,0.27261064785118666,0.22193713919178962,0.0
42000,462.42259282360624,V0,S43,S26,0,15,-215.98749854890477,0.0,0.4868505452212957,0.21882937525417187,0.1654277578678227,0.20091197523598714,0.15306536293290424,1.0,1.0,0.23797306418418884,0.13985307640806952,1.0,0.2916666666666667,0.0,0.08333333333333333,0.26234765875561256,0.22450288646568314,0.0
42000,481.4335405020396,V0,S26,S66,0,5,-218.01252437306974,0.0,0.4971135343168698,0.21373997564443348,0.16787870264176943,0.19587934158537854,0.1576527554750507,1.0,1.0,0.2706863284111023,0.13568467046960092,1.0,0.3333333333333333,0.0,0.0,0.27068633739576653,0.22642719692110327,0.0
42000,492.57702302944944,V0,S66,S39,0,0,-216.45624918247512,0.0,0.4804361770365619,0.21964673367636356,0.15703463604570275,0.1972442441168959,0.1498381051488751,1.0,1.0,0.2540089786052704,0.13667206886530778,1.0,0.3333333333333333,0.0,0.0,0.2771007055805003,0.20333547145606157,0.0
42000,499.67088392463796,V0,S39,S29,18,0,-215.13370504621446,0.0,0.46119307248236047,0.21444097889564193,0.14628678562569775,0.19243757294836458,0.1387887772005887,1.0,1.0,0.27902501821517944,0.13463192938300086,1.0,0.3333333333333333,0.0,0.0,0.2738935214881334,0.18729955099422707,0.0
42000,521.2011334011406,V0,S29,S26,2,0,-215.94927416105452,0.0,0.47273893521488136,0.21154414920291614,0.16866302798213706,0.19207972174604837,0.15937597437304474,1.0,1.0,0.26042336225509644,0.13643238820345283,1.0,0.3333333333333333,0.0,0.0,0.26298909557408595,0.20974983964079538,0.0
42000,530.2174238884423,V0,S26,S65,0,15,-214.73010586567622,0.0,0.47273893521488136,0.20353358384176254,0.17324866611788164,0.1854051454175432,0.16252116381302256,1.0,1.0,0.22706863284111023,0.13434074107547067,1.0,0.3333333333333333,0.0,0.0,0.25593329057087877,0.21680564464400257,0.0
42000,547.147994225469,V0,S65,S22,0,5,-226.78002641493478,0.0,0.47145606157793457,0.20267475287255324,0.1634986460201387,0.1835877920465365,0.14764162904542846,1.0,1.0,0.26042336225509644,0.13027497340980027,1.0,0.375,0.0,1.0,0.2604233483001924,0.21103271327774215,0.0
42000,554.0087022918113,V0,S22,S57,0,0,-227.57011808995333,0.0,0.47145606157793457,0.21883034793186995,0.1505117836087095,0.20044012386816604,0.13696135645169036,1.0,1.0,0.26042336225509644,0.13918223758814063,1.0,0.375,0.0,1.0,0.2751763951250802,0.19627966645285438,0.0
42000,569.2024050366468,V0,S57,S33,13,0,-225.07513591120633,0.0,0.45221295702373315,0.203370807679817,0.14230637894835182,0.183634181020721,0.12998101454990382,1.0,1.0,0.2668377161026001,0.12833917526597854,1.0,0.375,0.0,1.0,0.2649134060295061,0.18729955099422707,0.0
42000,584.4200465358674,V0,S33,S44,7,0,-225.01801528174423,0.0,0.4573444515715202,0.2071769753040567,0.13062976375713448,0.18663936441480417,0.11761073364609938,1.0,1.0,0.25465041399002075,0.12910077227556607,1.0,0.375,0.0,1.0,0.2751763951250802,0.18216805644644002,0.0
42000,592.1995102473251,V0,S44,S31,0,0,-223.80054531397005,0.0,0.4470814624759461,0.1943874850537957,0.14646174497775044,0.17482510555478098,0.13381789175934283,1.0,1.0,0.25080180168151855,0.12535083301955902,1.0,0.375,0.0,1.0,0.2514432328415651,0.19563822963438102,0.0
42000,598.9439691800416,V0,S31,S27,0,20,-222.01189886352824,0.0,0.4445157152020526,0.18499196143875699,0.15142657753600947,0.16630725059926,0.13894255748349194,1.0,1.0,0.2071840912103653,0.11926030778960267,1.0,0.375,0.0,1.0,0.2418216805644644,0.2026940346375882,0.0
42000,614.209906492225,V0,S27,S62,0,0,-224.88365833306912,0.0,0.4509300833867864,0.1934003468482382,0.13579261148831512,0.1692856005120458,0.11876727013004024,1.0,1.0,0.24567030370235443,0.1200680616514994,1.0,0.4166666666666667,0.0,1.0,0.26234765875561256,0.18858242463117383,0.0
42000,619.8115146763938,V0,S62,S44,13,0,-223.5750000128539,0.0,0.4304041051956382,0.19630102299193097,0.11169504273335458,0.17306312794120485,0.09593098106514317,1.0,1.0,0.26812058687210083,0.12230996322862339,1.0,0.4166666666666667,0.0,1.0,0.2642719692110327,0.16613213598460552,0.0
42000,631.5136518946142,V0,S44,S27,3,0,-223.01724753187594,0.0,0.4406670942912123,0.17461472291122307,0.13249720466240406,0.15272451764694855,0.11211185412507205,1.0,1.0,0.25336754322052,0.10831556720637009,1.0,0.4166666666666667,0.0,1.0,0.25336754329698524,0.18729955099422707,0.0
