Seed,day,hour,time_minutes,vehicle_id,functional_cargo,depot_cargo
999,0,0,300,V0,0,0
999,0,5,360,V0,0,0
999,0,6,420,V0,0,0
999,0,7,480,V0,0,0
999,0,8,540,V0,0,0
999,0,9,600,V0,20,0
999,0,10,660,V0,13,0
999,0,11,720,V0,20,0
999,0,12,780,V0,20,0
999,0,13,840,V0,20,0
999,0,14,900,V0,8,0
999,0,15,960,V0,20,0
999,0,16,1020,V0,14,0
999,0,17,1080,V0,18,0
999,0,18,1140,V0,20,0
999,0,19,1200,V0,20,0
999,0,20,1260,V0,20,0
999,0,21,1320,V0,20,0
999,0,22,1380,V0,20,0
999,0,23,1440,V0,20,0
999,1,0,1500,V0,20,0
999,1,1,1560,V0,20,0
999,1,2,1620,V0,20,0
999,1,3,1680,V0,20,0
999,1,4,1740,V0,20,0
999,1,5,1800,V0,20,0
999,1,6,1860,V0,20,0
999,1,7,1920,V0,7,0
999,1,8,1980,V0,17,0
999,1,9,2040,V0,20,0
999,1,10,2100,V0,20,0
999,1,11,2160,V0,20,0
999,1,12,2220,V0,9,0
999,1,13,2280,V0,13,0
999,1,14,2340,V0,20,0
999,1,15,2400,V0,20,0
999,1,16,2460,V0,14,0
999,1,17,2520,V0,16,0
999,1,18,2580,V0,14,0
999,1,19,2640,V0,16,0
999,1,20,2700,V0,16,0
999,1,21,2760,V0,16,0
999,1,22,2820,V0,16,0
999,1,23,2880,V0,16,0
999,2,0,2940,V0,16,0
999,2,1,3000,V0,16,0
999,2,2,3060,V0,16,0
999,2,3,3120,V0,16,0
999,2,4,3180,V0,16,0
999,2,5,3240,V0,16,0
999,2,6,3300,V0,16,0
999,2,7,3360,V0,20,0
999,2,8,3420,V0,20,0
999,2,9,3480,V0,20,0
999,2,10,3540,V0,20,0
999,2,11,3600,V0,20,0
999,2,12,3660,V0,19,0
999,2,13,3720,V0,20,0
999,2,14,3780,V0,20,0
999,2,15,3840,V0,20,0
999,2,16,3900,V0,20,0
999,2,17,3960,V0,11,0
999,2,18,4020,V0,20,0
999,2,19,4080,V0,20,0
999,2,20,4140,V0,20,0
999,2,21,4200,V0,20,0
999,2,22,4260,V0,20,0
999,2,23,4320,V0,20,0
999,3,0,4380,V0,20,0
999,3,1,4440,V0,20,0
999,3,2,4500,V0,20,0
999,3,3,4560,V0,20,0
999,3,4,4620,V0,20,0
999,3,5,4680,V0,20,0
999,3,6,4740,V0,20,0
999,3,7,4800,V0,20,0
999,3,8,4860,V0,20,0
999,3,9,4920,V0,19,0
999,3,10,4980,V0,20,0
999,3,11,5040,V0,20,0
999,3,12,5100,V0,20,0
999,3,13,5160,V0,20,0
999,3,14,5220,V0,20,0
999,3,15,5280,V0,20,0
999,3,16,5340,V0,1,0
999,3,17,5400,V0,20,0
999,3,18,5460,V0,20,0
999,3,19,5520,V0,20,0
999,3,20,5580,V0,20,0
999,3,21,5640,V0,20,0
999,3,22,5700,V0,20,0
999,3,23,5760,V0,20,0
999,4,0,5820,V0,20,0
999,4,1,5880,V0,20,0
999,4,2,5940,V0,20,0
999,4,3,6000,V0,20,0
999,4,4,6060,V0,20,0
999,4,5,6120,V0,20,0
999,4,6,6180,V0,20,0
999,4,7,6240,V0,19,0
999,4,8,6300,V0,20,0
999,4,9,6360,V0,20,0
999,4,10,6420,V0,20,0
999,4,11,6480,V0,20,0
999,4,12,6540,V0,20,0
999,4,13,6600,V0,20,0
999,4,14,6660,V0,20,0
999,4,15,6720,V0,20,0
999,4,16,6780,V0,20,0
999,4,17,6840,V0,20,0
999,4,18,6900,V0,20,0
999,4,19,6960,V0,19,0
999,4,20,7020,V0,19,0
999,4,21,7080,V0,19,0
999,4,22,7140,V0,19,0
999,4,23,7200,V0,19,0
999,5,0,7260,V0,19,0
999,5,1,7320,V0,19,0
999,5,2,7380,V0,19,0
999,5,3,7440,V0,19,0
999,5,4,7500,V0,19,0
999,5,5,7500,V0,19,0
