episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,imbalance_hotspot_distance,starvation_count,congestion_count,imbalance_asymmetry,hotspot_imbalance_mass,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,future_net_pressure
0,0.8847685716009897,-32.45361152483448,-15.022291065170636,-10.967815391433222,-13.705863874191136,-10.047539043862592,-51.843407108759735,-50.102082836331654,-17.64102560191994,-8.302696412740362,-9.359619641408944,-9.406313319477734,-6.795233422973737,-6.820381636580125,-8.414531984888653,-41.474011856149524,-18.29723408958439,-14.156377435250082,-6.820381636580125
1,0.9378607912473177,-42.15134719433707,-19.63259468990469,-13.619890764031513,-17.86245721469015,-12.364268836530595,-69.24961707172464,-65.40430084270334,-23.40267048945793,-10.953067788016378,-5.852050987845616,-11.926645884864488,-8.011586115617721,-9.924706776597045,-11.41219118927088,-39.356241175741765,-24.04957037602044,-18.10177681831672,-9.924706776597045
2,0.9378371897853974,-45.67711989392837,-21.38815925830354,-14.024935241965094,-19.3897586341897,-12.582962215467125,-76.88170666885618,-70.12731644493672,-25.970472157852967,-12.091577059527557,-2.5554774003074123,-12.469758346370275,-7.573505052111916,-12.312268768188986,-13.17685449938507,-34.54325731649437,-26.384623350152278,-19.292496543776195,-12.312268768188986
3,0.9369260876110191,-47.674736768627625,-22.518311640584812,-13.982870481270485,-20.341995928056853,-12.420690826244165,-80.63348176425256,-71.64865715958597,-27.63425570454398,-12.807923204832512,-1.0639896320297864,-12.62991112740991,-7.058610739655369,-14.209308950150442,-14.253288459884669,-31.554978433142267,-27.864738652492267,-19.809998116135525,-14.209308950150442
4,0.9345246989211966,-50.87184124245525,-24.184329199255572,-14.362031091628243,-21.74834571001956,-12.64562816098787,-86.51228778134019,-75.70209319931742,-29.979631024914223,-13.872467319841542,-1.855790067601956,-12.98091360418544,-6.7601574027465166,-16.057753456623786,-15.697079336322174,-32.9774381939108,-29.931696973776134,-20.940144268679354,-16.057753456623786
5,0.9336214139959189,-51.723963666737646,-24.63045651954395,-13.999713958353208,-22.048838485856827,-12.207331369594655,-87.29335018358317,-75.56626108555528,-30.99506590148628,-14.20514411696848,-1.151988186297784,-12.597358499953526,-6.067485920256852,-17.032726853500396,-16.44324960487944,-29.577554286542107,-30.597208570282614,-21.126755096455263,-17.0327268535004
6,0.9386750223813787,-53.82730514860095,-25.609662067849303,-14.090100252967325,-22.805664661950676,-12.149552843858475,-89.75195581285458,-76.70206392750785,-32.69662991626526,-14.814660156481215,-1.9698287283196354,-12.39844137707098,-5.502147569151584,-18.11103400320655,-17.324530729116926,-31.43006454879055,-31.92926968674513,-21.898035461856097,-18.11103400320656
7,0.9382013975014368,-55.46111691270164,-26.31531905282874,-14.01515799890134,-23.30982099583936,-11.944150825930688,-91.36554468014121,-76.99720183093086,-34.180776121727895,-15.262253072510761,-2.0612712649533598,-11.97165240054817,-4.830665014385977,-18.78603795488167,-18.217342498055103,-30.700791699285535,-32.92504512257253,-22.536071790129252,-18.786037954881678
8,0.9314406703843975,-54.9036703691453,-26.26935117592632,-13.485096985460173,-23.178035892329003,-11.377736054024611,-88.15907622439535,-72.83287086200829,-34.47282142725787,-15.223971113767096,-1.4703263726907252,-11.340215658027471,-4.23540036170021,-18.679883800992116,-17.76791666095105,-28.723098673646792,-32.6831607394451,-22.220509629700295,-18.679883800992123
9,0.935253085315686,-56.237065173620984,-26.848732803782802,-13.44212586313395,-23.586758377867028,-11.216958324736272,-89.21898616233763,-72.37007025486832,-35.76972149615492,-15.57766583812672,-2.784121501687896,-10.883836105540905,-3.7064328135169515,-19.362811990755127,-18.33518573439287,-30.035229232850128,-33.51410891632578,-22.72295625729532,-19.362811990755134
10,0.9413091211204083,-58.18023201291511,-27.6243631961175,-13.571388287617067,-24.16242939277274,-11.238414433174993,-91.12016557190354,-72.74258415573526,-37.375626055513905,-16.03829384686987,-2.7569583086409737,-10.4710994602818,-3.413496386365991,-20.324220738680165,-19.336810735881457,-31.227331170723065,-34.69992355527893,-23.48030845763627,-20.32422073868017
11,0.9435050544913633,-58.18430316835563,-27.752927249995327,-13.119593586759313,-24.193038960491666,-10.746139312298713,-89.83835661682862,-69.73361081427511,-37.917244100870434,-16.141771649592876,-2.186987199933504,-9.944608933315017,-2.8615488782549847,-20.683565762166932,-19.50453150427264,-31.343568421505385,-34.78875086824033,-23.39555230011528,-20.68356576216694
12,0.9424641148325359,-59.61321210513137,-28.35881115007801,-13.132017993140249,-24.651879703021294,-10.64191069422887,-90.96241334643936,-69.30865871845408,-39.18522284252833,-16.53129055241547,-2.2390465480992803,-9.662405534435033,-2.3818092923269467,-21.35133438226662,-20.29442787869635,-31.611098184707878,-35.649917574393136,-23.96329453073816,-21.351334382266632
13,0.9388346000723851,-60.153775540701744,-28.68923310944066,-12.922801315036079,-24.86075451457849,-10.36899506431467,-89.84315820589956,-66.83181810653865,-39.994448799890364,-16.74126736587019,-1.7400568759304182,-9.279947937078786,-1.9308267101223282,-21.60062090364801,-20.44819440976463,-28.967397594407295,-35.99859913470867,-24.155176405993064,-21.60062090364802
14,0.9391259421346949,-62.77432049224937,-29.74692727889845,-13.291656808004854,-25.692878385093152,-10.592048382480675,-92.89257127933833,-68.36805105914277,-41.894079390970944,-17.393907888141197,-2.606454260254549,-9.14953264239995,-1.6234461072310558,-22.332778133768873,-21.558363321788246,-31.431398521333865,-37.48699444741324,-25.287326044836213,-22.332778133768883
15,0.9490455344113881,-62.63672343722175,-29.75350687204003,-12.955703170664654,-25.610290963750117,-10.234853406563328,-90.48517234273375,-65.17567633817418,-42.287072159334684,-17.41237142832836,-1.7587945230851803,-8.55624987959363,-1.2084528242995691,-22.223338247042676,-21.532003332427212,-29.40832802668354,-37.41088160065447,-25.22584183656745,-22.223338247042687
16,0.9410284397550179,-63.074246124119526,-29.83240142356305,-12.809385507091797,-25.569143635312056,-10.034431629579073,-88.66225070785816,-63.01146265882562,-42.924802048815884,-17.438516755076094,-1.950871916000567,-7.948488626804796,-0.8640393348496042,-22.00276387517981,-21.707232794575727,-28.488847125678216,-37.60081287825078,-25.473433245868783,-22.00276387517982
17,0.9395292697646349,-65.22211423652963,-30.611748829564135,-13.105920858128538,-26.142493345097293,-10.20243728261225,-90.79061770546544,-64.56180360197746,-44.53872290588419,-17.899173786741617,-2.185294324876192,-7.654605737760483,-0.6081019235238034,-22.50298753195527,-22.64990761399945,-32.16069628767254,-38.79672226121856,-26.425391975311076,-22.50298753195528
18,0.9473382077466916,-65.79660312749449,-30.700731137980046,-12.988703582092848,-26.10373405082951,-10.02264301752054,-89.26759972230236,-62.804750996997576,-45.22598521676078,-17.934251161018803,-2.4661835149634066,-7.053580482966805,-0.22541278807794426,-22.29665071757144,-22.964457942811148,-30.95572353672225,-39.046560992927944,-26.750042134566637,-22.29665071757145
