Duration,Events,Trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,78157,58770,11754,917,11753,917,4930,46949,46099,46035,64,0,0,850,936,58,15.2,686,44.16,1786,758.82,2383,2403,0,0,0,0,0,0,0,10
10080,77362,58596,11440,846,11438,846,4955,47002,46310,46294,16,0,0,692,833,29,7.08,617,40.42,1525,619.41,2312,2327,0,0,0,0,0,0,0,11
10080,77862,58734,11569,863,11569,863,4921,47192,46302,46237,65,0,0,890,885,79,20.67,633,38.46,1775,734.74,2345,2345,0,0,0,0,0,0,0,12
10080,78250,58974,11793,889,11792,889,4968,47037,46292,46271,21,0,0,745,881,29,7.96,684,42.67,1626,669.37,2265,2278,0,0,0,0,0,0,0,13
10080,78935,59406,11996,862,11995,862,4930,47288,46548,46506,42,0,0,740,1001,65,15.14,636,39.48,1741,673.95,2347,2367,0,0,0,0,0,0,0,14
10080,77651,58730,11504,832,11504,832,4950,47132,46394,46352,42,0,0,738,897,57,16.91,623,37.7,1635,655.22,2323,2335,0,0,0,0,0,0,0,15
10080,78885,59596,11864,861,11864,861,4928,47645,46871,46817,54,0,0,774,862,60,16.39,657,40.56,1636,691.38,2353,2367,0,0,0,0,0,0,0,16
10080,77990,58440,11846,821,11843,821,4977,46667,45773,45709,64,0,0,894,1012,56,13.5,618,38.51,1906,763.01,2333,2353,0,0,0,0,0,0,0,17
10080,78390,59336,11721,885,11719,885,4946,47347,46730,46677,53,0,0,617,885,67,20.28,655,40.45,1502,594.72,2373,2387,0,0,0,0,0,0,0,18
10080,78178,59058,11563,841,11562,841,4912,47479,46654,46599,55,0,0,825,979,41,11.51,623,41.02,1804,734.53,2340,2359,0,0,0,0,0,0,0,19
