episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9439898041320096,-2.5144240878277726,-0.007354575064320669,-0.002769873246070892,-0.0015906855856710536,-0.001262374128887268,-0.0004974902273348562,-0.001962047587683969,-0.001443130260409481,-0.0040302161131770846,0.005,0.005,0.0,0.97,100,15,0,15
1,0.9423902691684349,-2.5288970393385317,-0.014759669536478287,-0.0056015281330369275,-0.0031921535541215625,-0.0025874474887078586,-0.0009036903892574921,-0.003914329140063698,-0.0028234290188937734,-0.0076879154607222095,0.004854,0.005,0.0,0.97,100,13,1,14
2,0.9376225510734217,-2.5442911432909,-0.022700996889560295,-0.008670992702244855,-0.004968825041074667,-0.0040984373722489,-0.0014472401633483583,-0.0060069598443578814,-0.004501978448506376,-0.011775107737091436,0.004716,0.005,0.0,0.97,100,13,1,14
3,0.9409135798336207,-2.5582990143993696,-0.029966619447249643,-0.011450608007599873,-0.006613517603417448,-0.005449065651560527,-0.0019311170376147152,-0.007975039226552821,-0.005875481222911515,-0.015140706524707611,0.004586,0.005,0.0,0.97,100,13,1,14
4,0.9401149977630118,-2.5723524831275295,-0.03714951827602264,-0.014262694385454522,-0.008174186948680374,-0.006770102524535013,-0.002323749181841873,-0.009998237718905683,-0.007314464604991191,-0.018746360027585764,0.004463,0.005,0.0,0.97,100,13,1,14
5,0.947990227249908,-2.583848130317889,-0.04295404217325827,-0.016465088894917414,-0.009442607772013672,-0.007788151660919558,-0.0026632852557019766,-0.011542530387568346,-0.008452532182565626,-0.021669892289803188,0.004346,0.005,0.0,0.97,100,14,1,15
6,0.9413951930324094,-2.5967073196471184,-0.04943711709211599,-0.018914698321006524,-0.010893766005793067,-0.008929423625848963,-0.003091735769945939,-0.013301658857416033,-0.009768826989299997,-0.024793849117949636,0.004235,0.005,0.0,0.97,100,13,1,14
7,0.9411440960640427,-2.608949999003108,-0.05584880518405037,-0.021369272199091537,-0.012332290283964894,-0.010094175209549234,-0.0035267787477196422,-0.014989337187642284,-0.0111175014020302,-0.028037601137200763,0.00413,0.005,0.0,0.97,100,14,1,15
8,0.9421074057739933,-2.620751945560122,-0.061943204539196696,-0.023715676990320386,-0.013746696492660691,-0.011243158611215174,-0.003941832316749174,-0.016692721740962032,-0.012427642587710586,-0.031049422045226694,0.00403,0.005,0.0,0.97,100,13,1,14
9,0.9407860467460891,-2.629303383591541,-0.06623807371480954,-0.025736117876482705,-0.014636121743809306,-0.012345227843422292,-0.004242219140655507,-0.018326012988569392,-0.013589696052555968,-0.03387125772621104,0.003934,0.005,0.0,0.97,100,14,1,15
10,0.9311729328360716,-2.6431345138966544,-0.07347229587695,-0.028474782434913724,-0.016297022011844898,-0.013652183691838179,-0.004730800556683566,-0.0201629838085074,-0.015172088914635474,-0.03782697208811702,0.003843,0.005,0.0,0.97,100,13,1,14
11,0.9366513553076574,-2.6554186536722684,-0.07982961181637292,-0.030927389514390686,-0.01770695622852485,-0.014818352458220614,-0.005128573136600818,-0.021811218439924267,-0.016459650267814416,-0.04098534299673938,0.003756,0.005,0.0,0.97,100,13,1,14
12,0.942199359082476,-2.666222006007979,-0.08540256039105117,-0.033068286322710964,-0.018959320280377064,-0.015859464312272222,-0.00548462903576332,-0.02325240485430779,-0.017660228193476336,-0.04376057422908826,0.003673,0.005,0.0,0.97,100,13,1,14
13,0.9438466711499663,-2.676463934056064,-0.0907658101703661,-0.035222550783377084,-0.020134186760494166,-0.016950209481807615,-0.005813989686154289,-0.024702270159375938,-0.018773403229120193,-0.04642406476591991,0.003594,0.005,0.0,0.97,100,14,1,15
14,0.9446158464386372,-2.6863855123047893,-0.09578067438047629,-0.037160011744019436,-0.021244652958477,-0.017878854205196044,-0.0061260521380892925,-0.02606977951301099,-0.019768656796433425,-0.04904948032273175,0.003518,0.005,0.0,0.97,100,13,1,14
15,0.9404929813956612,-2.69661197656832,-0.10108330743800253,-0.03924915833475707,-0.022369198195916054,-0.018917167930477458,-0.006450163222934259,-0.027522328347467265,-0.020801852390873364,-0.05210634426231837,0.003445,0.005,0.0,0.97,100,14,1,15
16,0.9418270442894361,-2.706604888003019,-0.10622588016959172,-0.041172401186020106,-0.023543647650102053,-0.019797776527935157,-0.0067997301303569175,-0.02883692438331215,-0.021886904972967535,-0.05447351635446129,0.003375,0.005,0.0,0.97,100,13,1,14
17,0.9409985638252936,-2.7165132401074716,-0.11130896519061625,-0.0431408839960208,-0.02465735707400414,-0.02069993597375474,-0.007116891266005023,-0.030245694743166393,-0.022934498900647405,-0.057360048627154075,0.003308,0.005,0.0,0.97,100,13,1,14
18,0.939474254471504,-2.726560520753139,-0.1164754019703229,-0.045078841757494735,-0.025816482552869044,-0.021607093149116522,-0.00742788983464688,-0.03162072206943052,-0.02399035355918683,-0.06001093340706432,0.003243,0.005,0.0,0.97,100,13,1,14
19,0.9417230016645718,-2.735859792657051,-0.12126879693768007,-0.04694327784591322,-0.026913689497329783,-0.022516526247516374,-0.00773907438419818,-0.032994382833775496,-0.025003781084083902,-0.06225727418363189,0.003181,0.005,0.0,0.97,100,13,1,14
20,0.9415380503774972,-2.7452148609741363,-0.12601034517560739,-0.04875210038921398,-0.02795413847191729,-0.023369835955708514,-0.008002400587520017,-0.03426084043557303,-0.026013824475695318,-0.06463912402639921,0.003121,0.005,0.0,0.97,100,13,1,14
21,0.9420319367374298,-2.7541150052808234,-0.13053035821220785,-0.050504898810461545,-0.028958127367013402,-0.024177014728235753,-0.008284325496271606,-0.03546113076904556,-0.026926879758204795,-0.0671628238921791,0.003064,0.005,0.0,0.97,100,13,1,14
22,0.940587606123404,-2.7630071125780646,-0.13509304949069995,-0.05226030860372104,-0.02996288661934327,-0.024999260371916167,-0.008555756380128808,-0.03674207960821963,-0.02785490364985684,-0.06932861408805607,0.003008,0.005,0.0,0.97,100,14,1,15
23,0.9404456880857663,-2.771902326556944,-0.1397181934675524,-0.05406336055566747,-0.03098729998936083,-0.025893183589117783,-0.008840945829007647,-0.037974796445928806,-0.0288263296828558,-0.07169393580869206,0.002955,0.005,0.0,0.97,100,14,1,15
24,0.9423057710879483,-2.780460900433242,-0.14404676271432199,-0.055724052206451685,-0.031961579893889494,-0.0266981761299319,-0.009127176774976401,-0.039106571685187476,-0.02975426155302086,-0.07400223538291438,0.002903,0.005,0.0,0.97,100,13,1,14
25,0.939738123725586,-2.785111110361353,-0.14624512708879384,-0.05704070038485864,-0.03245046241838689,-0.027398627513424947,-0.00941600957771447,-0.04020732814505118,-0.030650942692215917,-0.07491186150706636,0.002853,0.005,0.0,0.97,100,14,1,15
26,0.9371463217461601,-2.7940870381266762,-0.150828453985195,-0.0587926777679845,-0.033467436335924715,-0.028256930834499188,-0.009681863381333627,-0.041411726064888174,-0.0316177547369527,-0.07731374430859483,0.002805,0.005,0.0,0.97,100,13,1,14
27,0.9416006128022381,-2.800507014104485,-0.1541728676887066,-0.06023023351411313,-0.03424338104787968,-0.02901058683387669,-0.00993832847387751,-0.042541366045075114,-0.03249991766301323,-0.0787607155930647,0.002758,0.005,0.0,0.97,100,14,1,15
28,0.941868488816332,-2.808474302752289,-0.1583292170699986,-0.0618319921712627,-0.03516778094192656,-0.029758497277178927,-0.010217392513097489,-0.043659448311690385,-0.03337454531073054,-0.08083326494472302,0.002713,0.005,0.0,0.97,100,13,1,14
29,0.9434060141568634,-2.8146853301338988,-0.16140946408508214,-0.06315360590054253,-0.03584299106702537,-0.030382022051724314,-0.010434610444362748,-0.044674209940114076,-0.03413042027966108,-0.08264916598475074,0.00267,0.005,0.0,0.97,100,14,1,15
30,0.940437167750811,-2.8220732650708964,-0.16520724082861848,-0.06465375159259446,-0.03667655315383531,-0.03110444157289957,-0.010666708561271115,-0.04566932307197886,-0.03490954607136279,-0.08479183654043676,0.002627,0.005,0.0,0.97,100,14,1,15
31,0.9411337700047269,-2.829737317330009,-0.16910951276620348,-0.06616151016405758,-0.0375428196224051,-0.031796036366011034,-0.010908857200935335,-0.04671543891945778,-0.03572979547103838,-0.0869159111381296,0.002587,0.005,0.0,0.97,100,13,1,14
32,0.9413265306122449,-2.8372444460692705,-0.17304260060649,-0.06768817828813413,-0.03845491275507591,-0.03250197054840939,-0.011211824368590055,-0.04774726566409213,-0.03652002638668769,-0.08887825812186055,0.002547,0.005,0.0,0.97,100,14,1,15
33,0.9398787755654883,-2.8447974899011146,-0.17692155090674516,-0.0692225472503402,-0.03928750595139732,-0.033233366056056216,-0.011438233988267496,-0.048861370574705534,-0.0373259617994938,-0.09102256170177261,0.002508,0.005,0.0,0.97,100,13,1,14
34,0.9405451419605748,-2.8516768287165752,-0.18052764641100258,-0.07064254165958454,-0.040117922535172754,-0.03391251483139669,-0.011702615311580893,-0.04983108793082737,-0.038125969521622095,-0.09272086652204692,0.002471,0.005,0.0,0.97,100,14,1,15
