episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
10,0.9369339944772707,-4.1116655593014215,0.08472,0.1,0.188346,0.2,1297,827,1338,33679,38566,38559,0,0,0,0,3926,3922,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9350388988629563,-4.150207248925526,0.083445,0.1,0.187219,0.2,1358,813,1352,33420,38112,38105,0,0,0,0,3962,3949,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9351441074392636,-4.1625022475786295,0.082208,0.1,0.186098,0.2,1352,797,1383,33135,37966,37962,0,0,0,0,3927,3914,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.939609022556391,-4.296756507867036,0.081006,0.1,0.184985,0.2,1235,773,1612,33250,38182,38174,0,0,0,0,4008,3994,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9343757546486355,-4.35993055513438,0.07984,0.1,0.183877,0.2,1363,811,1297,33128,37869,37862,0,0,0,0,3821,3824,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.940222442066133,-4.38002636780296,0.078707,0.1,0.182777,0.2,1289,705,1605,33357,38143,38135,0,0,0,0,3949,3949,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9386941499571804,-4.416589638596262,0.077605,0.1,0.181683,0.2,1323,753,1443,33863,38606,38602,0,0,0,0,3977,3977,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9440305233431473,-4.2405867988359,0.076534,0.1,0.180595,0.2,1302,561,1353,33286,38092,38083,0,0,0,0,3933,3921,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9394183445190156,-4.329374074627542,0.075492,0.1,0.179514,0.2,1297,734,1406,33525,38389,38381,0,0,0,0,4024,4029,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9279516486146849,-4.493166338543493,0.074478,0.1,0.17844,0.2,1588,820,1414,33422,37845,37843,0,0,0,0,3996,4003,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9439059414826781,-4.394229247993968,0.07349,0.1,0.177372,0.2,1105,770,1448,33426,38346,38342,0,0,0,0,4013,4021,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9394718741589162,-4.321860670186204,0.072529,0.1,0.17631,0.2,1284,740,1370,33439,38291,38287,0,0,0,0,3906,3906,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9406559239439146,-4.2994439942855225,0.071593,0.1,0.175255,0.2,1265,720,1254,33449,38247,38241,0,0,0,0,4090,4110,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9408856787638388,-4.370996376650827,0.07068,0.1,0.174206,0.2,1267,730,1426,33782,38753,38748,0,0,0,0,3992,3991,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9357370981703131,-4.44089924946395,0.06979,0.1,0.173163,0.2,1376,777,1526,33503,38207,38202,0,0,0,0,3988,3992,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9320902255639097,-4.5920862410399055,0.068923,0.1,0.172127,0.2,1452,806,1232,33250,37816,37807,0,0,0,0,4012,4005,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
