seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9226,398.681,3369,1283,60092,56723,56725,150,41,226,150,150,150,6035,6343,0.025,0.0329,0.9421,0.0234,0.1107,0.8659,18,85,226,202,226,150
43,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9289,397.1572,3064,1209,60072,57008,57009,135,40,219,135,135,124,6169,6444,0.0235,0.047,0.9295,0.0196,0.1175,0.8629,15,90,218,189,219,124
44,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9179,397.0951,3573,1348,59914,56341,56343,157,41,221,157,157,158,5919,6241,0.0172,0.0385,0.9443,0.0262,0.1387,0.8351,20,106,229,225,221,158
45,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9262,395.7778,3056,1332,59498,56442,56444,165,42,222,165,165,151,6112,6439,0.0303,0.0421,0.9276,0.0312,0.1276,0.8411,24,98,223,220,222,151
46,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9261,396.126,3190,1185,59172,55982,55980,138,41,220,136,138,136,6082,6363,0.0185,0.0278,0.9536,0.0261,0.1291,0.8449,20,99,226,202,220,136
47,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9246,397.0925,3090,1389,59398,56308,56313,160,41,204,160,160,161,6094,6426,0.0105,0.0553,0.9342,0.0312,0.125,0.8438,24,96,222,216,204,161
48,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9231,395.9383,3305,1285,59704,56399,56405,164,41,201,164,164,162,6055,6396,0.0119,0.045,0.943,0.0341,0.1035,0.8624,26,79,218,209,201,162
49,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9269,396.4567,2950,1375,59148,56198,56195,152,41,206,152,152,150,6071,6365,0.013,0.0417,0.9452,0.0235,0.1213,0.8553,18,93,215,220,206,150
50,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9284,396.1839,3183,1073,59412,56229,56223,163,42,220,163,163,161,5890,6217,0.0225,0.0436,0.9339,0.0222,0.1359,0.8418,17,104,223,225,220,161
51,Imbalance_severity_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.935,397.6695,2811,1059,59574,56763,56763,149,41,228,146,149,144,6149,6447,0.0224,0.0342,0.9434,0.0221,0.1406,0.8372,17,108,228,218,228,144
