episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-0.723140839750215,-0.6235990444468652,-0.5102805854076128,-0.39969118840918405,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9429756821416674,-0.9436113850500848,-0.8172224372470577,-0.6550783955719394,-0.5226378349582567,0.095673,0.1,0.197012,0.2,1216,667,1311,33021,37829,37826,0,0,0,0,3441,3461,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9329204440056249,-1.2334541354235813,-1.0650131890730177,-0.8658989848916863,-0.7095456552768638,0.091705,0.1,0.194068,0.2,1419,823,1612,33423,38029,38022,0,0,0,0,3489,3497,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9347605094779645,-1.4631801296268883,-1.271960355567527,-1.0209643369318462,-0.8587489436304054,0.088053,0.1,0.191169,0.2,1475,707,1271,33446,38120,38117,0,0,0,0,3450,3470,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9332797666874981,-1.6890036356425027,-1.4667341778178296,-1.1698574021315753,-0.9933227155152288,0.084681,0.1,0.188312,0.2,1373,869,1398,33603,38337,38327,0,0,0,0,3424,3437,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9352694610778443,-1.8899658897287823,-1.6493828678814466,-1.2890131896331907,-1.1085445938076948,0.081557,0.1,0.185499,0.2,1381,781,1497,33400,38232,38227,0,0,0,0,3436,3444,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9338996231381229,-2.0555171304693194,-1.8026304151035857,-1.4001265786577326,-1.2123829552006873,0.078656,0.1,0.182727,0.2,1256,954,1298,33434,38410,38401,0,0,0,0,3466,3464,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9295083940068596,-2.246199607691648,-1.9731816282202852,-1.52339662196255,-1.3311254249356541,0.075954,0.1,0.179997,0.2,1446,897,1355,33238,37810,37802,0,0,0,0,3531,3517,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9355990714838402,-2.404627148001064,-2.1086895814537088,-1.6335745757395623,-1.4383443712438821,0.073432,0.1,0.177308,0.2,1390,774,1231,33602,38338,38331,0,0,0,0,3573,3572,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9358047556458358,-2.548356943443497,-2.229866517898327,-1.7095684961736006,-1.506593676200585,0.071071,0.1,0.174658,0.2,1412,737,1304,33476,38162,38155,0,0,0,0,3448,3449,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9376909161007148,-2.655059439997591,-2.3232770141669765,-1.7977715622748849,-1.5784572866981965,0.068858,0.1,0.172049,0.2,1335,766,1292,33719,38568,38564,0,0,0,0,3409,3403,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9310135422359871,-2.766609704106914,-2.4245236013014844,-1.873666827205548,-1.6429194818056185,0.066779,0.1,0.169478,0.2,1503,769,1407,32934,37481,37475,0,0,0,0,3465,3457,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9375661695756072,-2.8771701304214528,-2.5304310222634783,-1.94838787621408,-1.7092485942304327,0.064821,0.1,0.166946,0.2,1398,666,1282,33059,37844,37838,0,0,0,0,3543,3550,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9360787824529991,-2.9613287799774692,-2.6213855914200273,-1.9900193659070304,-1.7590837948648317,0.062975,0.1,0.164452,0.2,1469,673,1507,33510,38208,38201,0,0,0,0,3498,3503,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9316007555907623,-3.068845883148256,-2.7210894618866477,-2.0661624799090554,-1.8307341971687927,0.061231,0.1,0.161994,0.2,1434,811,1444,32822,37492,37487,0,0,0,0,3387,3392,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9273645137342242,-3.191169221554629,-2.8249809211517145,-2.142965893731,-1.9042036808057428,0.059581,0.1,0.159574,0.2,1595,851,1461,33675,38155,38151,0,0,0,0,3547,3545,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9354877354817455,-3.2672441267787833,-2.908323379158158,-2.18211330952737,-1.9515275101067666,0.058017,0.1,0.15719,0.2,1191,963,1472,33389,38264,38253,0,0,0,0,3611,3611,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9303436813676025,-3.3630071459033424,-2.9963690558423566,-2.2433591978810603,-2.0125256013869315,0.056534,0.1,0.154841,0.2,1599,748,1335,33694,38203,38197,0,0,0,0,3447,3447,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9410018112176728,-3.3968927816181376,-3.0322384302958603,-2.27338651134559,-2.0466150984254616,0.055125,0.1,0.152528,0.2,1346,641,1087,33679,38494,38486,0,0,0,0,3456,3459,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9395443401303594,-3.454713935334394,-3.08339623777482,-2.3105745038603196,-2.0854408722840883,0.053784,0.1,0.150249,0.2,1267,755,1135,33446,38190,38182,0,0,0,0,3491,3504,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9337554506899229,-3.535324442028218,-3.1526233195718913,-2.3563421499953825,-2.1335268857116656,0.052507,0.1,0.148004,0.2,1414,804,1427,33482,38093,38083,0,0,0,0,3417,3417,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9390905548394832,-3.5905813414193304,-3.1994664746865715,-2.4165331871814733,-2.184894956287108,0.051289,0.1,0.145793,0.2,1352,680,1070,33361,38145,38138,0,0,0,0,3591,3599,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
