episode,service_level,bias,rebalancing_imbalance,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9380701636705124,-2.528784263330198,-0.01448377602991532,-0.0031816948969600163,-0.0007159359857939763,-0.0048272545052799615,-0.003476297090196931,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9352725936074585,-2.5617452867161674,-0.03088539534163625,-0.006436592666696668,-0.0012508815026828104,-0.009637003288599963,-0.006934128355428091,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9332651795739831,-2.594813640598265,-0.0476851222740494,-0.009919621705586598,-0.0018947089881229105,-0.0144013069526079,-0.010538667598106588,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9390556215790972,-2.623737548784078,-0.062163853677180594,-0.01279443875712549,-0.002509575275811447,-0.0187040130262907,-0.013512349021880431,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9341496959353096,-2.6548741129403126,-0.0774935060218839,-0.01585416306758517,-0.0030051970210349856,-0.02331184535000332,-0.01688962094254139,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.934954315740152,-2.6826070223483516,-0.09143298047216168,-0.018756537159345246,-0.0035314592441386813,-0.027514510659021853,-0.02010387678206518,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.934896574826229,-2.710883899032462,-0.10597765992458687,-0.021715968907646745,-0.0042094514668356686,-0.03155731174763144,-0.0232053771494808,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9373915943962642,-2.737360943501702,-0.11926990098939712,-0.02440969957185557,-0.004771399797551939,-0.035529389067329685,-0.026481521478384052,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9370865420497336,-2.7632006200970927,-0.13213983337532825,-0.02704082416130858,-0.005311721041339133,-0.039384179510439855,-0.029300885637052278,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9341656444810378,-2.784986820992298,-0.1429533960816491,-0.029540223481746227,-0.005626806492494475,-0.04324782222854616,-0.03190254629010601,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9293082014581864,-2.812446829477226,-0.1569112967082017,-0.03259390933280046,-0.006213136320577379,-0.047563368353494465,-0.03516719921346703,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9284404287180522,-2.840301001238796,-0.17071225809295515,-0.03545318863427082,-0.006674937863049176,-0.05179062456323765,-0.038285201302130735,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9429077416090403,-2.860877621013308,-0.18097923853414677,-0.0375453485649451,-0.007138161458360457,-0.05484247199688771,-0.04049902294808083,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9380968392737055,-2.8835072845923486,-0.19239978303000288,-0.039709014400752266,-0.007683859413341247,-0.0579726464516273,-0.04311691061624472,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9379784200256825,-2.905888773461204,-0.20381253242425967,-0.04200863190027775,-0.008173646297791793,-0.061188897817307394,-0.04556667227848948,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.9450433205722345,-2.9242419922601095,-0.21286534450444375,-0.043761243226263624,-0.008602363226532945,-0.06383254563549685,-0.04742044143680907,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9363475922346416,-2.946080705230822,-0.22400732168985896,-0.046093370841853096,-0.009046915004382637,-0.06701520253785041,-0.049830556188372205,0.006749,0.01,0.0,0.97,100,13,1,14
17,0.9375855368758976,-2.9668781459125757,-0.23408559033616955,-0.04792403054977559,-0.009446963535611308,-0.07000544724687682,-0.05207295827862151,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.936290443566535,-2.9869796255155756,-0.24404745532723762,-0.04990951832577415,-0.009880624699454159,-0.07297712077305343,-0.05426888453853533,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.9315147603356321,-3.0090855771414304,-0.25501902658264775,-0.0522174064748697,-0.010251926222942558,-0.07636036070638118,-0.05662927702590611,0.006362,0.01,0.0,0.97,100,13,1,14
20,0.9351072359190219,-3.0293721803934957,-0.26528231003668074,-0.05440763029026193,-0.010698403279287585,-0.0794204765042555,-0.05893708319622915,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9366186427735071,-3.031193650305836,-0.26682849917427415,-0.056484312282705666,-0.011172847138420974,-0.08228136582158636,-0.060898836235833705,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.933651982084364,-3.051627999921913,-0.27697877966603685,-0.058475231226456696,-0.011628691128944567,-0.08537280249845626,-0.06299390426979398,0.006016,0.01,0.0,0.97,100,13,1,14
23,0.9336356280763266,-3.0715108323604894,-0.28692850329690706,-0.06059215768464704,-0.012012263237064082,-0.08828728863834144,-0.06518234555753824,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9372772986113423,-3.0896082446508033,-0.29601650787428924,-0.06239924848739591,-0.012443684120195204,-0.09082923562623339,-0.06713670490699938,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.9362161069075344,-3.1061778745522295,-0.30419862616752724,-0.06422770038939199,-0.012810823890669204,-0.09333540370729915,-0.06910143135570702,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9331211263810294,-3.125142117552632,-0.3136142876206903,-0.06618170097880922,-0.013200539539381944,-0.09618871640615347,-0.07114133191105522,0.00561,0.01,0.0,0.97,100,13,1,14
27,0.9361053753413708,-3.141802678634747,-0.3220898169985876,-0.06810670208636976,-0.01354928149414812,-0.09888124745563798,-0.07296849608810091,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9366511267818974,-3.1574095314644848,-0.3299785309189428,-0.0698233309229907,-0.013836801714034147,-0.10141609527434975,-0.07493276563782357,0.005426,0.01,0.0,0.97,100,14,1,15
