episode,service_level,bias,rebalancing_imbalance,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
29,0.9372646797971853,-3.1742115294075472,-0.3383287627681578,-0.07160070946331838,-0.01416477607679751,-0.10389280167351134,-0.07675557589117397,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.931028040557754,-3.192500373805925,-0.3474450727137016,-0.07350997895397056,-0.014488836831445156,-0.10664311054674538,-0.0786842648705998,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9337227361739483,-3.2086626444264126,-0.3555480688059278,-0.0753384271321661,-0.014852804351132117,-0.1092858361099538,-0.0806035425790002,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.936123791621912,-3.224947814039789,-0.36388370742253134,-0.07697309748579406,-0.015248227963392725,-0.11147935441398883,-0.08228285374274412,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9355952864689151,-3.2384357492710714,-0.37072155693385006,-0.0785864660659025,-0.015548419499341567,-0.11390052565384262,-0.0840241186120977,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9321326634507854,-3.255494415702341,-0.3793827482025635,-0.08040612010644459,-0.015940486676992376,-0.11629680654278761,-0.08578537768095157,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9396760379817539,-3.2700059513123496,-0.3864701895175021,-0.08175311114318556,-0.016271433534414216,-0.1183743531374809,-0.0874009237003433,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.9346542005602997,-3.2855998085134837,-0.3943340797401436,-0.08338479708370751,-0.016563030011011812,-0.12070938516146926,-0.08923014214824876,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.9354164187477687,-3.3006417888321558,-0.4018460342993899,-0.08487963550856585,-0.016845169234797636,-0.12291413064714435,-0.09090849321161049,0.004731,0.01,0.0,0.97,100,13,1,14
38,0.936272699808667,-3.31435445001447,-0.4086708589933772,-0.08634486758943256,-0.01711948285093672,-0.12512490954649508,-0.09253265591630788,0.004665,0.01,0.0,0.97,100,14,1,15
39,0.9354124377191364,-3.328586682874965,-0.4158732556105148,-0.08783262304016272,-0.017427691497032032,-0.12746412557326278,-0.09417957598201417,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9360393398899817,-3.3429434929330206,-0.4230024134306905,-0.08928620807344652,-0.017706281154964264,-0.12959842836216853,-0.09577700053448164,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.933091312459033,-3.3579607745305906,-0.43053506467509356,-0.09090425181183434,-0.01797885960850436,-0.1318959769949642,-0.09745796292320563,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9345777151673711,-3.3723651783274935,-0.4376921585417713,-0.09241888268464982,-0.018293600253190087,-0.13398935151528893,-0.09901914264555721,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9388440748440748,-3.3798884993248457,-0.44148295515723435,-0.09358947648537773,-0.018565021811306662,-0.13572971867000375,-0.10033264608697372,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9374507403618801,-3.393051234345672,-0.44811006807930437,-0.09501230112638172,-0.0188343671450727,-0.137678267549356,-0.10176682010541803,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9337821915502441,-3.4070097049916717,-0.4550704134120338,-0.09640330116433572,-0.019121804420700834,-0.1397706715227688,-0.10337444273962268,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.9363512764993203,-3.4201833598874747,-0.46164155789213174,-0.0977428471016346,-0.01939775978394612,-0.1417503222759695,-0.10478106602910169,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.932751677852349,-3.434085069048861,-0.46853438807093,-0.09918265605362753,-0.019682978028276694,-0.14377910332804375,-0.10626933906858982,0.004141,0.01,0.0,0.97,100,13,1,14
48,0.9342343690256513,-3.447419963341172,-0.47521910484329016,-0.10059458738398798,-0.019938684470505,-0.14584963030003117,-0.1077960795429182,0.00409,0.01,0.0,0.97,100,14,1,15
49,0.9392729600431238,-3.4593642528292174,-0.4810825907034991,-0.10185248795847769,-0.020121631129388938,-0.1476716700946334,-0.10910086609231628,0.004041,0.01,0.0,0.97,100,14,0,14
50,0.9332695728044565,-3.472606364962566,-0.48792257467198247,-0.1033314823637176,-0.020393834690072055,-0.14963581539528295,-0.11064064461953128,0.003992,0.01,0.0,0.97,100,13,1,14
51,0.9390342458834225,-3.4813971772454684,-0.4921375752658676,-0.10425929413415226,-0.020627424613374454,-0.15138262471659567,-0.11191396475526676,0.003945,0.01,0.0,0.97,100,14,1,15
52,0.9356243301178992,-3.4820383678516884,-0.49353636289490926,-0.1052798879900856,-0.020927797510095335,-0.15308740967340814,-0.11321617672574603,0.003898,0.01,0.0,0.97,100,14,1,15
53,0.9350053576212162,-3.494073919874806,-0.499582267993896,-0.10642590078622219,-0.021162683599946067,-0.15479056568661934,-0.11447351883860593,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9310090265427334,-3.5068114630189173,-0.5059895655628378,-0.10774821274510123,-0.021455910504607434,-0.15679203410350478,-0.11594880170934138,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9319647013513287,-3.5195840577676427,-0.5122534124799628,-0.10908289690799958,-0.02165747007372348,-0.15870981438869486,-0.11726268057839263,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9417833580180422,-3.52951490048798,-0.5172181047830957,-0.11015051429674316,-0.02188016277790205,-0.16028242344975788,-0.11836559035609906,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9328423313089287,-3.5417726631369786,-0.5233576496683943,-0.1114713125577838,-0.02207288971856291,-0.16216035024723727,-0.11971384550814812,0.003682,0.01,0.0,0.97,100,13,1,14
58,0.9392263335742985,-3.5525648995187997,-0.5286945600982119,-0.11246543761980601,-0.022276162467056597,-0.1636528153470102,-0.1208869857684381,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.9342767401803506,-3.564041263403276,-0.5343801756796456,-0.11363236375332471,-0.02249009142373056,-0.16534865116754235,-0.12220232186148862,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9347068574714976,-3.5754000776596353,-0.5400232474250931,-0.1147942140410629,-0.022705310143628584,-0.16697142694557818,-0.12341218060883227,0.003564,0.01,0.0,0.97,100,13,1,14
61,0.9360472905084065,-3.586085375836245,-0.5454765186425998,-0.11601143560753031,-0.022921708597166402,-0.16862211994839374,-0.12468594872605976,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9355616235167206,-3.597014543571275,-0.5510150920422833,-0.11710928153328772,-0.023142181342059098,-0.17017766308213658,-0.12580169548555034,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9304374037108982,-3.6089756162435584,-0.5569990257246973,-0.11839112488411702,-0.02336975603999304,-0.17195388428230157,-0.1271015208501342,0.003453,0.01,0.0,0.97,100,13,1,14
64,0.9353111456921507,-3.6198249092471224,-0.5624334895148448,-0.11945704511805366,-0.023618640482462455,-0.17351000482322573,-0.12831791708732526,0.003417,0.01,0.0,0.97,100,13,1,14
65,0.9384237282429384,-3.6293376043071275,-0.5673048268915555,-0.12048670343298398,-0.023846151452939852,-0.17496231223597059,-0.1294106750991143,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9353246360751524,-3.639790596218913,-0.5725282820251563,-0.12157411305682075,-0.02403926228603576,-0.17656954088894136,-0.13052770267015024,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9348486382504809,-3.6474784126959174,-0.5764170113884306,-0.12247379713209697,-0.024261097417243024,-0.17786358393523416,-0.131502515131794,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.9376474722626638,-3.6566493750017943,-0.5809971111931707,-0.1234920704322022,-0.024477464114990067,-0.17934806428171726,-0.13260423322836631,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9358739956723753,-3.666761478120941,-0.5859270406617927,-0.12450235164088387,-0.0246855837494109,-0.180920442348739,-0.1337925191531448,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9393362533692722,-3.67602761003488,-0.5905343521824503,-0.12543461682255588,-0.02485811621997541,-0.1823991426845194,-0.13483883474003758,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9394552477134783,-3.6852697096442792,-0.5951287080340311,-0.12636029982276892,-0.025096222678783562,-0.1837037159418633,-0.13583545331332833,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.9387388898205601,-3.6945959302896556,-0.5998649049537329,-0.1273820894981877,-0.02528467766284218,-0.18506093819216293,-0.13676312987074363,0.003157,0.01,0.0,0.97,100,13,1,14
73,0.9342981773915395,-3.7045383478386684,-0.6048902503106088,-0.12837406373338447,-0.025481498630867135,-0.18647412556498502,-0.13782577347132788,0.003128,0.01,0.0,0.97,100,13,1,14
74,0.9358383253685132,-3.713666841968033,-0.6095737389950868,-0.1293599837881645,-0.02570801820903911,-0.18784889269807414,-0.13888090546222498,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.9343678238551938,-3.7213340455526813,-0.6135281139442796,-0.13025654573404918,-0.025908321745005184,-0.18916222491346593,-0.13999381683353618,0.00307,0.01,0.0,0.97,100,14,1,15
76,0.9393572473639069,-3.7301002603873883,-0.6178697090372222,-0.13110636424209193,-0.026113763332526078,-0.19029530435308636,-0.14083679786389083,0.003042,0.01,0.0,0.97,100,13,1,14
77,0.9375480078816418,-3.7387013255675177,-0.6222757217348877,-0.131986639387809,-0.02633708341325469,-0.1916068014478112,-0.14184705323876257,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.9352514360576438,-3.7476336887563506,-0.6267388911287017,-0.13293359105913594,-0.026533296242720404,-0.19301843125075183,-0.14281732671449443,0.002987,0.01,0.0,0.97,100,14,1,15
79,0.9323042399102377,-3.7573025458379243,-0.6315343555465098,-0.13390320669755498,-0.026725273182789118,-0.19451654593217305,-0.1438496817881869,0.00296,0.01,0.0,0.97,100,13,1,14
80,0.9385486119275146,-3.765430684612154,-0.6354528514490763,-0.13470091135265055,-0.02686626328134823,-0.19580698829842436,-0.1448061868739906,0.002934,0.01,0.0,0.97,100,14,1,15
81,0.9373481459139731,-3.774259930494169,-0.63988697449759,-0.1356162135699632,-0.027002736262948208,-0.19711969127622234,-0.14582740546027867,0.002909,0.01,0.0,0.97,100,13,1,14
82,0.9409533762599872,-3.7807277235519905,-0.6429541650867534,-0.13628490148814268,-0.02718652197700325,-0.1982856314845364,-0.14672163358127627,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9368429848750731,-3.7893547906982143,-0.6473097837488241,-0.1371877085166987,-0.027375498650468837,-0.19962462740959133,-0.147708206225465,0.002859,0.01,0.0,0.97,100,14,1,15
84,0.9386375020871598,-3.797754674781616,-0.6514842644412163,-0.1380278552724569,-0.027544785527355932,-0.2007647868378564,-0.14859836014076644,0.002834,0.01,0.0,0.97,100,13,1,14
85,0.9384403996539499,-3.8056521550272038,-0.6554399976444071,-0.1388255153904536,-0.02777030322153196,-0.20194423230224504,-0.14948636279569316,0.00281,0.01,0.0,0.97,100,14,1,15
86,0.9357088317638076,-3.8131443079180003,-0.6592175852963893,-0.13963818953702828,-0.02793464694577546,-0.20319918813758714,-0.15037556611447905,0.002787,0.01,0.0,0.97,100,14,1,15
87,0.9306424487050118,-3.8225124381385958,-0.6639552591470295,-0.14064941745354326,-0.028113551908207392,-0.2046168504609872,-0.15141309847827597,0.002763,0.01,0.0,0.97,100,13,1,14
88,0.9366470430826866,-3.8287350632349213,-0.6670484713969486,-0.14137667662456094,-0.028252875100691233,-0.205871811724827,-0.152325835234356,0.002741,0.01,0.0,0.97,100,14,1,15
89,0.9350539668597875,-3.836727727681124,-0.6710416072190961,-0.14223008924871106,-0.028421603359963802,-0.20704931113195604,-0.1532479458759684,0.002718,0.01,0.0,0.97,100,14,1,15
90,0.9387598066275238,-3.8436572345876927,-0.6744446222344631,-0.14300957543052695,-0.028589294339947606,-0.20821270593569205,-0.15407423260067435,0.002696,0.01,0.0,0.97,100,14,1,15
91,0.9382137030995106,-3.8514627600736633,-0.6782854658266122,-0.14378848154241916,-0.02872452962707643,-0.20936755994678966,-0.15490368783616304,0.002674,0.01,0.0,0.97,100,14,1,15
92,0.9391095147736515,-3.8590080102358457,-0.6820086109886128,-0.14454080823118895,-0.02889386127443408,-0.21051609793427672,-0.15577912307215297,0.002653,0.01,0.0,0.97,100,14,1,15
93,0.9278283267545326,-3.868389877332455,-0.686759471553733,-0.14561161694540098,-0.029068213130438638,-0.21199087295804256,-0.15684788435362776,0.002632,0.01,0.0,0.97,100,13,1,14
94,0.934993625159371,-3.876423569596813,-0.6907396107438503,-0.14640229813574043,-0.02926066836409549,-0.21313045940056644,-0.1577098841588214,0.002611,0.01,0.0,0.97,100,13,1,14
95,0.9352411413180709,-3.8844248284129166,-0.6947525009746626,-0.14725775590876325,-0.029441939900864737,-0.21440817163136225,-0.15856751789608972,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9340265449319469,-3.892174492743693,-0.6985389513979335,-0.14807396829119412,-0.029594259876264503,-0.21565432302125495,-0.1594305618327113,0.002571,0.01,0.0,0.97,100,14,1,15
97,0.9333882131577179,-3.9002236299909896,-0.7026278511256794,-0.14892513478565234,-0.029775107968307693,-0.21692777196233476,-0.16035697953090022,0.002551,0.01,0.0,0.97,100,14,1,15
98,0.9357448673431548,-3.9060608668341548,-0.7054569726477715,-0.14963401589521624,-0.029867499460872995,-0.21805821309539622,-0.16118335437934783,0.002532,0.01,0.0,0.97,100,14,1,15
99,0.9362007413354286,-3.913281284883459,-0.7090950916536507,-0.15038520968429223,-0.03001863097827413,-0.21920305331361703,-0.16206458381797498,0.002513,0.01,0.0,0.97,100,14,1,15
100,0.9292632422683855,-3.9217310886334853,-0.7133553373138665,-0.1513643848432439,-0.030178822890892527,-0.22063417261088394,-0.16304379023983676,0.002494,0.01,0.0,0.97,100,14,1,15
101,0.9344472790552298,-3.9294507550052304,-0.7172492917427746,-0.1521801841779579,-0.030325947749941556,-0.2217390463058498,-0.1638633521885558,0.002475,0.01,0.0,0.97,100,13,1,14
102,0.9362808406433974,-3.935726955423213,-0.7203623238107538,-0.15290261355622858,-0.03047232557257795,-0.22279707772138757,-0.1646885901849853,0.002457,0.01,0.0,0.97,100,14,1,15
103,0.9439326717919193,-3.941397040429787,-0.7231752258714278,-0.15347782759973758,-0.030592954098395353,-0.22367715487218703,-0.1653763470730966,0.002439,0.01,0.0,0.97,100,14,1,15
104,0.9368447538371215,-3.948306040921987,-0.7266573183014174,-0.15424109601152516,-0.03073694170476815,-0.22479265973832743,-0.1662296168416899,0.002421,0.01,0.0,0.97,100,14,1,15
105,0.9332136266147938,-3.954051406404796,-0.7295035246621944,-0.15494830519249614,-0.030910864722604372,-0.22597325286525397,-0.16704287390946718,0.002404,0.01,0.0,0.97,100,14,1,15
106,0.9296145840327671,-3.9622240101597166,-0.7337387082737699,-0.15586530721761757,-0.031105589612524694,-0.2272324702927962,-0.1680515256218944,0.002386,0.01,0.0,0.97,100,13,1,14
107,0.9330638369546909,-3.969318623819714,-0.7373986288938397,-0.15672105723611007,-0.03127774834031894,-0.22844826440664812,-0.1689187223064462,0.002369,0.01,0.0,0.97,100,14,1,15
108,0.9324292806450538,-3.9770994244553948,-0.7412416711187725,-0.1575275988205279,-0.031393231131040124,-0.2296607691209677,-0.16979010657342267,0.002352,0.01,0.0,0.97,100,13,1,14
109,0.932755353579394,-3.9840247058031446,-0.7446818424841543,-0.15833447918372257,-0.03152234651792262,-0.23079261829981,-0.17054834006441658,0.002336,0.01,0.0,0.97,100,14,1,15
110,0.9317189562392121,-3.99079240007456,-0.7481616059450777,-0.15909918002407733,-0.03165963443392574,-0.23191803658801893,-0.1713192222481287,0.00232,0.01,0.0,0.97,100,14,1,15
111,0.9410396972217037,-3.9968982807976445,-0.7511928863505164,-0.15971676387115863,-0.031793468189422566,-0.23285143148858825,-0.1719839583643794,0.002304,0.01,0.0,0.97,100,14,1,15
112,0.9422553543959294,-4.001111049745458,-0.7532201709556469,-0.16014017756521184,-0.03187797016827719,-0.23374680892060587,-0.17266553518706526,0.002288,0.01,0.0,0.97,100,14,1,15
113,0.9359304846612152,-4.0078363470147425,-0.7565769822379179,-0.16083263757866423,-0.032016516881226226,-0.23473542158344157,-0.17340330130631287,0.002272,0.01,0.0,0.97,100,14,1,15
114,0.9287787527473449,-4.015300565935685,-0.7603457483962041,-0.16169145712912358,-0.03216281813006736,-0.23596782605496514,-0.1742776125451613,0.002257,0.01,0.0,0.97,100,14,1,15
115,0.9356059965859347,-4.022112590484401,-0.7638213026668896,-0.16245275370059467,-0.032302047591736785,-0.2369974672256506,-0.1750203071462367,0.002241,0.01,0.0,0.97,100,14,1,15
116,0.9380828619477144,-4.028516646015776,-0.766998689735781,-0.16312002065223202,-0.03244961815865086,-0.23798771061216498,-0.17572920854629268,0.002226,0.01,0.0,0.97,100,13,1,14
117,0.934721112886049,-4.03549442759872,-0.7704676781504146,-0.16385614827940712,-0.032579458284219896,-0.2390988570694935,-0.1765245322149024,0.002212,0.01,0.0,0.97,100,13,1,14
118,0.9333422881896638,-4.041321020211862,-0.7733182899687693,-0.16453185631704711,-0.03269682064076531,-0.24013708000113498,-0.17727015166794996,0.002197,0.01,0.0,0.97,100,14,1,15
119,0.938495479083449,-4.047215029662508,-0.776348875308125,-0.1652094122596908,-0.03284325472080905,-0.2410543036168019,-0.17790197658427997,0.002182,0.01,0.0,0.97,100,14,1,15
120,0.9381009111196872,-4.051013515932433,-0.7781631730248727,-0.16571738476765427,-0.03294519679784487,-0.2419677742401767,-0.17853236647215295,0.002168,0.01,0.0,0.97,100,14,1,15
121,0.9427047401100472,-4.054224917516819,-0.7797296595139391,-0.16617303438626463,-0.032997930367948035,-0.24282618783951843,-0.1790626671234626,0.002154,0.01,0.0,0.97,100,14,1,15
122,0.9390665878977129,-4.059535469688872,-0.7822785382253022,-0.1667438956661009,-0.03306885343968485,-0.24371183805676286,-0.1796700371000249,0.00214,0.01,0.0,0.97,100,14,1,15
123,0.9370161681352305,-4.065911323556533,-0.7854699992011558,-0.16737994097444822,-0.03319467089556529,-0.24461707745568537,-0.18036255340711838,0.002127,0.01,0.0,0.97,100,13,1,14
124,0.9369208477945884,-4.072172655009604,-0.7886249072656865,-0.1679999307523492,-0.033308323356643216,-0.24556421291463898,-0.18103416899188723,0.002113,0.01,0.0,0.97,100,14,0,14
125,0.9397780492771329,-4.078064575968649,-0.7915499893541558,-0.1686209693521421,-0.03341427640322246,-0.2464186248107361,-0.181659135118956,0.0021,0.01,0.0,0.97,100,14,1,15
126,0.9330798095206044,-4.083675132164253,-0.7943553974080987,-0.16926017211603017,-0.033551123032070335,-0.24737594178738792,-0.18232729449393856,0.002087,0.01,0.0,0.97,100,14,1,15
127,0.9378026762060645,-4.088907984768406,-0.7970084070117741,-0.16989296320294744,-0.03365638800848681,-0.24825125137513712,-0.1829657049371039,0.002074,0.01,0.0,0.97,100,14,1,15
128,0.940738141780696,-4.094596951921353,-0.7998101843122889,-0.1704791135600642,-0.03378567540941853,-0.24909581121889526,-0.18356305167165893,0.002061,0.01,0.0,0.97,100,13,1,14
129,0.9380148616388151,-4.10057282222233,-0.8028072896915516,-0.17111699969024638,-0.03390119181673283,-0.250035929121897,-0.18423099715542426,0.002048,0.01,0.0,0.97,100,13,1,14
130,0.9344300704567134,-4.106650847747289,-0.8059173762783555,-0.17178358007962305,-0.034068049316101766,-0.2510608082279686,-0.1849881278497837,0.002035,0.01,0.0,0.97,100,14,1,15
131,0.9365234539601207,-4.1057372186745775,-0.8050130207015496,-0.17215715667785148,-0.034088982468352964,-0.2518395727171486,-0.1855270682114974,0.002023,0.01,0.0,0.97,100,14,1,15
132,0.9394331195217785,-4.10879160830737,-0.8068240906973617,-0.17265171873024346,-0.03424983293356304,-0.25271630158372554,-0.18613951708830184,0.002011,0.01,0.0,0.97,100,14,1,15
133,0.9361921155663562,-4.114246356771212,-0.809547594898692,-0.17325193116880874,-0.034349042231263324,-0.25358210896635686,-0.18675361893391676,0.001999,0.01,0.0,0.97,100,14,1,15
134,0.9349965161531533,-4.120160091967414,-0.8125268965684496,-0.1738964092762117,-0.03447487933911811,-0.25454111693686793,-0.1874528237397291,0.001987,0.01,0.0,0.97,100,14,1,15
135,0.9331534114868854,-4.126218096154465,-0.8155761986395013,-0.1745754078307723,-0.034576112830675014,-0.2555233203161721,-0.18811953386420577,0.001975,0.01,0.0,0.97,100,14,1,15
136,0.9351177082983511,-4.131325995930715,-0.8181249004784993,-0.17518813370461342,-0.034683522460903185,-0.25644391497813523,-0.18874273969918515,0.001963,0.01,0.0,0.97,100,14,1,15
137,0.9428750571927268,-4.136374834516962,-0.8206281840793868,-0.17566043351348323,-0.034804287435561965,-0.25715877573139556,-0.18926881442520424,0.001952,0.01,0.0,0.97,100,13,1,14
138,0.94087455341418,-4.14171018407443,-0.8232770569147942,-0.17618540718463724,-0.03491126054009319,-0.2579520117372661,-0.18987790948697653,0.00194,0.01,0.0,0.97,100,13,1,14
139,0.9355058495081096,-4.147631125597873,-0.8262188527900884,-0.1767878037414882,-0.0350244177101335,-0.25884142019273626,-0.19051650474783194,0.001929,0.01,0.0,0.97,100,13,1,14
140,0.938369949430886,-4.153064086641324,-0.8289064508942268,-0.17733011995055645,-0.03510071566102371,-0.2596384691583262,-0.19108431997536954,0.001918,0.01,0.0,0.97,100,14,1,15
141,0.9363607291333547,-4.158773574404214,-0.8317804022718576,-0.1778969347483602,-0.035224064178350646,-0.2604719973527325,-0.19171819852257532,0.001907,0.01,0.0,0.97,100,14,0,14
142,0.9335033642633018,-4.1646709896619045,-0.8347046114473503,-0.17851259009656575,-0.035329279292020684,-0.2613807376084803,-0.1923817244095141,0.001896,0.01,0.0,0.97,100,14,1,15
143,0.9302837035407961,-4.170942697566007,-0.83786045398727,-0.1791887920946697,-0.03545404185420687,-0.26241651933280385,-0.19311893315413717,0.001885,0.01,0.0,0.97,100,13,1,14
