episode,service_level,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk
0,0.9189659382248809,-0.5437352864281976,-57.55186358155133,-38.11176159819717,-32.93985810468507,-9.892687439706258,-66.38731214288903
1,0.9079996334646752,0.0,-70.02604459221322,-50.82747377128856,-12.339935286061367,0.0,-76.55915604099964
2,0.9140158896717134,0.0,-80.95761838581032,-67.92406068185784,-14.23589257279049,0.0,-93.55557769585451
3,0.9035786184309366,0.0,-96.68658454898251,-85.23296713851396,0.0,0.0,-113.17781951470762
4,0.9109013398294763,0.0,-89.73320331803666,-87.40749623186957,0.0,0.0,-105.52183422209151
5,0.911900045710803,0.0,-88.78795590888069,-89.01717611327454,-12.53475785278165,0.0,-103.64390707276684
6,0.9115752723770542,0.0,-84.91682855461372,-95.42046474700281,0.0,0.0,-102.47312556943855
7,0.9122997884557268,0.0,-84.37276418771083,-97.95479162223529,-16.899741986631053,0.0,-106.2718280202426
8,0.9187282361847086,-0.5157580040757364,-73.79450546098246,-97.40054979775792,-0.3492743120447125,-0.44118860468805793,-95.58166253382454
9,0.9124751520992711,-1.805064293539176,-80.77974277721047,-103.22710340353761,-9.127400215309637,-7.166459981007963,-106.03478112326695
10,0.9142014505401908,-0.3895461886394272,-88.06541619560694,-110.94280010434763,0.0,0.0,-113.26950385930508
11,0.9212772968277267,-0.13919867016943588,-78.4127260197496,-110.2568800803227,-21.361256479718627,-0.8905971775790194,-107.03879566180501
12,0.9070349485872811,-0.3489478589488574,-85.58067191147039,-115.6536993981146,-15.680032504137245,-2.9543700672236133,-116.30361305818023
13,0.9135415734359617,-1.6512123022437974,-84.23165232634624,-113.38139937553262,-10.384987935414333,-0.008831093656345046,-111.5089304080886
14,0.915256793027534,0.0,-80.88898959775659,-114.92783607661218,0.0,0.0,-107.21081965135289
15,0.923499552105106,0.0,-70.43349542968105,-113.12534784068333,-1.25115734125516,0.0,-96.66397071325994
16,0.9134580457682528,0.0,-79.61883540276551,-125.2604403619566,-9.790257806978975,0.0,-107.84933487307777
17,0.9110045852438516,-1.572835298138236,-86.09019128881764,-134.5878719437756,-1.3605243339724145,-1.572835298138236,-115.73622549634305
18,0.9151714841994908,0.0,-83.0619363131907,-139.63291136628362,0.0,0.0,-112.51074205862434
19,0.9217652047492125,0.0,-80.29589969983562,-140.05512226897872,-1.672301570645316,0.0,-104.53147261982716
20,0.9305488540410133,-1.058362030622781,-72.99380629997633,-136.04260853594442,-9.43273443356745,0.0,-94.55176288416001
21,0.9064154329295648,-1.1764694983908586,-76.1983322744114,-139.14689270636183,-14.410031849138294,-1.0214897390788942,-102.62947993369332
22,0.9225773779379784,-0.3582760992728137,-71.40197815560086,-138.57276885992675,0.0,0.0,-95.60065977117651
23,0.9220531753356953,0.0,-66.70350731789038,-137.36953061192108,0.0,0.0,-91.33060605855778
24,0.9171947739900886,0.0,-71.68362916506854,-141.7186564397435,-16.386911695687782,0.0,-97.57741707178982
25,0.9202186777207053,0.0,-68.72361650593372,-141.196951609905,-8.066531112851884,0.0,-93.50756244287507
26,0.9009322633939107,0.0,-85.02860418769447,-153.71852313155284,-28.833701007171406,-0.8487120596656504,-114.57464775661226
