episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-1.0171835946151988,-0.7918211130192504
1,0.9339648419710356,-1.0843878307218235,-0.891363666917049,-1.470550650205858,-1.236856286523938
2,0.9329664084233197,-1.406926188785023,-1.156935768997264,-1.8513514507169537,-1.6328573401677735
3,0.9326455591130084,-1.702697205334081,-1.3868661657911245,-2.1557369289182216,-1.9920576637396228
4,0.9277248708839597,-2.0076602852722822,-1.6259025403866465,-2.4380568480633267,-2.351616025491203
5,0.929770024747993,-2.287586059850842,-1.8341372842866583,-2.624333818131442,-2.6559876485716103
6,0.9380234505862647,-2.4630548878196685,-1.9694173002394693,-2.6762534520085026,-2.8456274643766912
7,0.9347248464808692,-2.677179112650808,-2.129377324743277,-2.781035752277058,-3.087469201487586
8,0.9340551181102362,-2.8552522076478133,-2.2662560113969925,-2.894243235414799,-3.299599858238393
9,0.9367830045523521,-3.0093601952414977,-2.3882111083665527,-2.914454176179288,-3.472777902907989
10,0.9355137119154904,-3.163503474540383,-2.496533051989625,-2.8949743295213666,-3.630461235453369
11,0.9328913912095895,-3.321696570876137,-2.6021434011199647,-2.9099938682207136,-3.8128127542884998
12,0.9304656504489455,-3.4969675457239005,-2.721419527893886,-2.9539246199458296,-3.992515711452285
13,0.932226585743187,-3.641816432366448,-2.831422871837559,-2.9502936958596804,-4.1368737637768875
14,0.92578195624661,-3.8159686245174296,-2.9657280017653864,-2.990570766643439,-4.317978517620634
15,0.9412789839019348,-3.907191585361497,-3.0257679167152105,-2.8829015080185783,-4.385111621787677
16,0.936568395165402,-4.002108778941489,-3.090783052841976,-2.83986590174446,-4.479446177016921
17,0.9314651051625239,-4.133338267986037,-3.194581962464505,-2.8394126555689394,-4.608161994770364
18,0.931954159845215,-4.2522251580816475,-3.2785161413778727,-2.831074676264913,-4.742475733859202
19,0.9382644678391042,-4.337874872213586,-3.3301076135629226,-2.7465971699594736,-4.809195208291796
20,0.9398051288182199,-4.413805014991182,-3.3812730828729127,-2.6376218173216057,-4.854940657854495
21,0.9393597098778277,-4.489373745021565,-3.4332184160182035,-2.569784605144699,-4.9367863499980595
22,0.9390889987273212,-4.564397370504433,-3.4855090469555963,-2.517550828564898,-5.008156846454389
23,0.9306829765545361,-4.6636176815092565,-3.5615023546477307,-2.51653749883649,-5.1025727945798565
24,0.933975074685416,-4.7276376459017975,-3.608831298461942,-2.481099914408924,-5.1674783079216144
25,0.9416478689303098,-4.763110806671246,-3.625186116075042,-2.3964340162138082,-5.203306480391832
26,0.9332997212171541,-4.846548707259922,-3.682220036362293,-2.3940684567435913,-5.289345662661235
27,0.9316188138079698,-4.932513698984614,-3.7528885027686028,-2.3821223105942586,-5.369100078317616
28,0.9392230006368847,-5.005658301522765,-3.811527566153611,-2.361516330723172,-5.428549896452801
29,0.9254056311142925,-5.112065919823197,-3.8869166477158617,-2.4063738120600107,-5.542575414426612
30,0.9375504228045537,-5.155263862929455,-3.9133008972022476,-2.363760131006413,-5.592990000015948
31,0.9334267903480776,-5.192188107772143,-3.9437585428371533,-2.333060625950688,-5.624354428818861
32,0.9358209854234429,-5.254740877685194,-3.988594835487897,-2.321972612646167,-5.686048137822986
33,0.942670188498019,-5.293678844132601,-4.0144463309878375,-2.2631470662678814,-5.721529636949561
34,0.941086572173444,-5.33584867461808,-4.047624167493184,-2.2331886011176563,-5.763227830777116
35,0.9339363544092185,-5.395551317443652,-4.087047616292719,-2.2258317196095474,-5.833054077942415
36,0.939910800385728,-5.401518610872256,-4.09479030017833,-2.1542159412382147,-5.839924500791284
37,0.9330888008045909,-5.463233228301399,-4.150247092231515,-2.206102732112297,-5.914174513011743
38,0.9350400094487259,-5.514525195095974,-4.191480320284223,-2.195689489850166,-5.967465963861239
39,0.931230797035966,-5.5649399516877045,-4.23884640700822,-2.2212035975581768,-6.0390329903564846
40,0.9335752414082649,-5.605654631054859,-4.2684651553472674,-2.2034067247700087,-6.096040516106245
41,0.9326288369890181,-5.6491097094139215,-4.301324648479172,-2.176400339371919,-6.1413749489166465
42,0.9360104472739145,-5.665692694025478,-4.309902657206852,-2.144834362673849,-6.161450739408832
43,0.9340649562509269,-5.697588326188509,-4.324342159830211,-2.1049321334001254,-6.182458871090793
44,0.9331474670779452,-5.73299116839333,-4.352722304070928,-2.0799689719989405,-6.217017069010031
45,0.9377934969981573,-5.760313294407842,-4.3784654501369165,-2.0658943900020845,-6.259085714899543
46,0.9356887894004478,-5.789547647228526,-4.409432413137666,-2.0619887146025,-6.289986262134247
47,0.9372897281241476,-5.813971904988757,-4.423855691552586,-2.0344681789132775,-6.308334263633598
48,0.932110365398956,-5.864381603232298,-4.460910107024892,-2.0421205410107586,-6.363837567185749
49,0.9336836762115195,-5.909944131207942,-4.496982114277437,-2.0519765578939646,-6.41622430956777
50,0.9362525704608685,-5.933411402516415,-4.52169246661955,-2.0445781480317735,-6.45831703524061
51,0.9329542409717467,-5.9674193643973945,-4.561107306893904,-2.0591279065676287,-6.505563697862357
52,0.9408414866870627,-5.964493258835114,-4.558358922394284,-1.9760934977260132,-6.47686933311395
53,0.9350185918195993,-5.983388018921994,-4.577232830012701,-1.9435513863591838,-6.497376950993825
54,0.9322438267923178,-6.007719169619881,-4.59836936125931,-1.9175358069983364,-6.525201062483477
55,0.9336200504226605,-6.03947226624293,-4.635490477303443,-1.9246284756559813,-6.558206177072693
56,0.9332897318508829,-6.061379832607764,-4.644008336411026,-1.9390030509856004,-6.599839109519762
57,0.9359444511242034,-6.0791139809093355,-4.670279977701581,-1.926542100981335,-6.622002384512145
58,0.9382811570051184,-6.106428733573619,-4.693332180700697,-1.9208207880213006,-6.656084112960613
59,0.9375847215109799,-6.136922981631334,-4.716609652739765,-1.9313255503658486,-6.696094252536342
60,0.9405851462865716,-6.134886428350243,-4.707974362622117,-1.8758778465555932,-6.70496420914658
61,0.9280356235617585,-6.167358432169423,-4.7318443836885455,-1.888708745860982,-6.744977647867719
62,0.9347382936626896,-6.201727378297956,-4.75565212350045,-1.8871980448594865,-6.793184251814114
63,0.9328728620978352,-6.22153178319411,-4.766423394972805,-1.8708891309721811,-6.831139015160276
64,0.9378925544240503,-6.227910567477789,-4.7779785548989455,-1.8657427620058074,-6.842852862771398
65,0.9392723461596048,-6.240777585606154,-4.789880056203193,-1.8263852465502988,-6.8536394273305925
