Duration,Events,Trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,80056,58732,11930,807,11929,807,1306,50542,45995,45835,160,0,0,4547,2734,189,47.48,604,38.79,7281,3456.27,0,0,0,0,20,0,0,0,0,10
10080,80582,59438,11865,767,11865,767,1522,51015,46806,46599,207,0,0,4209,2781,144,38.04,561,33.55,6990,3179.0,0,0,9,0,20,0,0,0,0,11
10080,77580,58934,11627,825,11627,825,787,49560,46482,46377,105,0,0,3078,2329,64,17.83,624,39.51,5407,2373.75,0,0,7,0,20,0,0,0,0,12
10080,79802,59696,11789,830,11787,830,1712,50423,47077,46946,131,0,0,3346,2429,118,30.88,616,37.75,5775,2588.03,0,0,72,0,20,0,0,0,0,13
10080,78020,58680,11243,882,11242,882,1050,50144,46555,46328,227,0,0,3589,2576,93,23.43,667,40.97,6165,2723.34,0,0,76,0,20,0,0,0,0,14
10080,80441,59340,11846,844,11843,844,1991,50425,46650,46486,164,0,0,3775,2645,124,33.43,640,40.14,6420,2878.54,0,0,171,0,20,0,0,0,0,15
10080,80150,58910,11852,843,11852,843,1660,50355,46215,46075,140,0,0,4140,2745,158,42.64,637,39.18,6885,3181.66,0,0,11,0,20,0,0,0,0,16
10080,78183,58382,11536,847,11533,847,1496,49444,45999,45807,192,0,0,3445,2477,93,20.83,662,39.38,5922,2652.97,0,0,170,0,20,0,0,0,0,17
10080,79836,59386,11562,828,11562,828,1515,50820,46996,46822,174,0,0,3824,2721,111,24.19,607,37.11,6545,2914.99,0,0,9,0,20,0,0,0,0,18
10080,79945,59132,11632,815,11632,815,2007,50384,46685,46531,154,0,0,3699,2660,132,31.97,622,39.63,6359,2777.07,0,0,16,0,20,0,0,0,0,19
