Accumulated time to find action,Accumulated time to find location,Accumulated action time,Accumulated driving time,Accumulated solution time,Accumulated time to find helping actions,Number of get_best_action
2.6465137004852295,99632.28391551971,6553.0,3532.6809714529695,99634.9304292202,0,1036
3.332736015319824,143616.91356396675,6623.5,3461.4114626664077,143620.24629998207,0,1253
1.1545460224151611,7380.726022481918,5828.5,4259.039040588302,7381.8805685043335,0,519
3.8536105155944824,135671.90292572975,7429.0,2666.701734851485,135675.75653624535,0,1443
1.9618000984191895,43523.683315992355,6126.0,3969.323771071034,43525.645116090775,0,781
4.576084852218628,208107.43114352226,7595.5,2486.6294758687104,208112.00722837448,0,1719
3.7475407123565674,156707.88316869736,7168.5,2913.5845554599323,156711.6307094097,0,1391
3.2523386478424072,96866.87389731407,7115.0,2968.564654761627,96870.12623596191,0,1226
3.3240764141082764,129638.41981959343,6842.5,3248.169083021393,129641.74389600754,0,1247
4.658667087554932,186603.20814967155,7353.0,2735.202654357296,186607.8668167591,0,1740
