episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.8248729266987693,-0.04640997489990126,-0.026260187004987945,-0.006563603171079484,-0.018773627215920404,-0.005081241541918583,0.05,0.05,0.2
1,0.8182322485207101,-0.11976961587721,-0.06582321371981652,-0.018982605346161335,-0.04847336905965974,-0.014006435670489658,0.048539,0.05,0.198006
2,0.8176123802505527,-0.18757240139173115,-0.10303049412869064,-0.029437646278004416,-0.07531614689750231,-0.02246211867085375,0.047161,0.05,0.196032
3,0.8214411130248658,-0.25084489304260715,-0.13535880286400348,-0.04186175778694615,-0.09890248147463014,-0.03167142643011054,0.045859,0.05,0.194078
4,0.8168181592410471,-0.3170590490763555,-0.17281613924019074,-0.05127168001938934,-0.12705875718203286,-0.039092783198991114,0.044627,0.05,0.192143
5,0.8188299082937278,-0.376915477291335,-0.20473793613617783,-0.06142368925569253,-0.15020501093065158,-0.04719890122103414,0.043459,0.05,0.190228
6,0.8163382276091098,-0.4408829933301598,-0.23946473510424987,-0.07178735681964349,-0.1763206196049243,-0.05512824684325932,0.042351,0.05,0.188331
7,0.8128388781042908,-0.5037013388928693,-0.2743399313002493,-0.08201689884669427,-0.2024571315430925,-0.06184385448852074,0.041298,0.05,0.186454
8,0.8299606806318216,-0.569071821213662,-0.31066194078011306,-0.09179810993735023,-0.23058201762603722,-0.06976823953440772,0.040296,0.05,0.184595
9,0.8206375838926174,-0.6270499140294343,-0.3416157061928661,-0.10169772611275098,-0.2531418425171918,-0.07707743056598824,0.039342,0.05,0.182755
10,0.8061657744138823,-0.6835956634626263,-0.37255552199000835,-0.11099645592249736,-0.2755883951308222,-0.08431711720046943,0.038432,0.05,0.180933
11,0.8193385508709922,-0.7415606151383239,-0.40322694457691866,-0.12144395506806523,-0.29845809553584934,-0.0915940758026956,0.037563,0.05,0.179129
12,0.8216066855371345,-0.7937818953847822,-0.4312172909446482,-0.13064107765525998,-0.3186450745291941,-0.09832902560387435,0.036732,0.05,0.177343
13,0.8244605767291793,-0.8428270817847708,-0.45750389647748946,-0.13892020563385327,-0.3381013102080661,-0.10416316147798103,0.035938,0.05,0.175575
14,0.8288125073390032,-0.897560997340767,-0.4862578874997702,-0.14829803061486144,-0.3595523831791761,-0.1118244297733518,0.035176,0.05,0.173825
15,0.8232887279068988,-0.9437542601598861,-0.5101962238720456,-0.15723688879714498,-0.37717588181472894,-0.11838326229737453,0.034447,0.05,0.172092
16,0.8241669742626087,-0.992181378597349,-0.536389604870073,-0.16502721912018953,-0.396699723327084,-0.12466546053501268,0.033747,0.05,0.170376
17,0.8174741214812813,-1.0389014414931552,-0.5612077662677316,-0.17291736232340615,-0.41519712930294694,-0.13048419705284356,0.033075,0.05,0.168678
18,0.8207507872769382,-1.0899812297823597,-0.5886526120674778,-0.18148710395889206,-0.43568938088756365,-0.13739044601178813,0.03243,0.05,0.166996
19,0.8218290386605371,-1.13259929170742,-0.6121256961781225,-0.18827700610215975,-0.4528732523138619,-0.1428536987549711,0.031809,0.05,0.165332
20,0.8259659815498765,-1.1735045033500988,-0.6336802462243855,-0.19523991344856997,-0.4685191373413362,-0.1478043094355198,0.031211,0.05,0.163683
21,0.8176346929779947,-1.2151567369047642,-0.6570148470955143,-0.2014472219962239,-0.4856977208346213,-0.15273286492939867,0.030635,0.05,0.162052
22,0.818232016465037,-1.2683398955838168,-0.6854972963398013,-0.21047198030730127,-0.5073775061776452,-0.1598866988238945,0.03008,0.05,0.160436
23,0.8218688944283501,-1.3140213940247065,-0.7091566880018404,-0.21905661972328433,-0.5243757127393951,-0.16657286860750634,0.029545,0.05,0.158837
24,0.8269445044985115,-1.352504457239929,-0.7295425442328751,-0.22568778348179225,-0.5390656920505698,-0.17179090987203488,0.029029,0.05,0.157253
25,0.8084357635965651,-1.3957824264101013,-0.7527808887588793,-0.23348055180126093,-0.5560984485809619,-0.17785660497647005,0.028531,0.05,0.155686
26,0.8244594436163264,-1.4346895865700122,-0.7732079699722435,-0.24038862159769123,-0.5713209318794518,-0.1831564890200862,0.028049,0.05,0.154133
27,0.8280485776077192,-1.4757848376204894,-0.7952296473125652,-0.24696038450703453,-0.5880239223722673,-0.18857973673844292,0.027583,0.05,0.152597
28,0.8220028256189451,-1.5135901911160885,-0.815776249106038,-0.2530882400782459,-0.6029786849537785,-0.19347995482840788,0.027132,0.05,0.151076
29,0.8209534368070953,-1.5511253866869106,-0.8358832808271377,-0.2594455442566621,-0.6179132966273101,-0.19848994835250625,0.026696,0.05,0.14957
30,0.8209740369930426,-1.5847490920335108,-0.853928859225583,-0.2648878808521134,-0.6310161753106325,-0.20275788671265232,0.026274,0.05,0.148078
31,0.8245045956657391,-1.617922993832651,-0.8718315478784445,-0.2702239297497113,-0.6439855886262557,-0.20713427422533662,0.025865,0.05,0.146602
32,0.8276540304278389,-1.6511877211775314,-0.889635368660066,-0.2759810616638409,-0.6569866511738189,-0.2114828276277875,0.025468,0.05,0.145141
33,0.8278323831435773,-1.6855446737255553,-0.9080101396431435,-0.28177647938482225,-0.6706541317756399,-0.2163909558404659,0.025084,0.05,0.143694
34,0.8241189243360615,-1.72038480293931,-0.9261705833612839,-0.2880353729734393,-0.6838515953662119,-0.22133258703271158,0.024711,0.05,0.142261
35,0.8173119188503803,-1.7573353199747512,-0.9449257847603307,-0.2955749480802462,-0.6971624939091,-0.22670847369192149,0.024349,0.05,0.140843
36,0.8167116357504216,-1.7916847266058702,-0.9629491741438655,-0.3019082865229918,-0.7103307767248914,-0.23184214813329235,0.023997,0.05,0.139439
37,0.8339518251130154,-1.821117960459599,-0.9786001485187247,-0.30689955480341496,-0.7222173320349405,-0.2355182917007634,0.023655,0.05,0.138049
38,0.827561955793704,-1.8549985248966028,-0.9965202069900868,-0.312786050860809,-0.7352122125691632,-0.2400792497813791,0.023323,0.05,0.136673
39,0.8245822789052942,-1.887019224293098,-1.0137209740421544,-0.31797950301773964,-0.7479664968473437,-0.24428471322872147,0.023,0.05,0.13531
40,0.8218536124877786,-1.9178960850060007,-1.0308970407303126,-0.3227583031363281,-0.7605103158312111,-0.24761814685854536,0.022686,0.05,0.133961
41,0.820013770172463,-1.948078314115213,-1.047398841196393,-0.32772064322583666,-0.7726869461210202,-0.25157183617705325,0.02238,0.05,0.132626
