Duration,Events,Trips,Random trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,100155,52333,558,11529,28614,11528,28611,778,16361,12190,11520,283,387,0,4171,2730,172,47.87,18385,2526.46,6901,3190.04,0,0,659,1852,1864,0,0,0,0,10
10080,100559,52983,555,11754,28645,11754,28641,825,16323,12584,11808,176,600,0,3739,2613,121,30.5,18764,2585.96,6352,2856.98,0,0,620,1832,1837,0,0,0,0,11
10080,100111,52825,551,11929,28742,11929,28741,794,15427,12154,11361,191,602,0,3273,2548,115,30.09,18682,2566.65,5821,2531.21,0,0,637,1872,1870,0,0,0,0,12
10080,100040,52573,585,11698,28403,11696,28403,771,16451,12472,11650,142,680,0,3979,2616,142,34.87,18488,2544.8,6595,3033.98,0,0,559,1965,1962,0,0,0,0,13
10080,100242,52637,570,11820,28819,11819,28817,784,15497,11998,11282,182,534,0,3499,2683,141,35.4,18477,2540.56,6182,2700.46,0,0,662,1869,1867,0,0,0,0,14
10080,99576,52468,587,11719,28582,11719,28581,771,15664,12167,11565,131,471,0,3497,2539,96,27.3,18359,2517.13,6036,2693.13,0,0,628,1861,1865,0,0,0,0,15
10080,99262,52414,509,11487,28721,11487,28720,736,15596,12206,11506,115,585,0,3390,2514,132,37.75,18567,2538.14,5904,2596.37,0,0,584,1925,1929,0,0,0,0,16
10080,99199,52106,586,11693,28443,11692,28441,780,15594,11970,11294,191,485,0,3624,2553,113,26.14,18458,2546.04,6177,2754.01,0,0,667,1898,1891,0,0,0,0,17
10080,99358,52183,610,11403,28614,11403,28614,769,15991,12166,11475,235,456,0,3825,2564,138,35.91,18638,2572.51,6389,2910.21,0,0,591,1902,1899,0,0,0,0,18
10080,100684,52457,566,11690,29554,11690,29552,788,14835,11213,10642,174,397,0,3622,2573,135,34.77,18717,2541.03,6195,2769.63,0,0,712,1809,1806,0,0,0,0,19
