episode,service_level,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance
0,0.8871721164211283,-118.68150780388325,-107.59101029767446,0.0
1,0.9309838912509731,-128.53941598521172,-84.15734872436218,0.0
2,0.9197936776061776,-131.22023236917713,-72.27416165845754,0.0
3,0.919551408686138,-131.7746472085489,-63.603801974236475,-0.18395387302946664
4,0.9173571085494716,-138.343809525875,-68.25194534872706,-1.2746981556969692
5,0.9256568412312437,-139.19430467598679,-68.0906652186518,-2.6112458715383435
6,0.9154595973398925,-138.32457066403495,-64.3809345714703,-0.8114005366870506
7,0.9248290199150372,-152.27956867523056,-73.32216606994585,-1.8485340975127034
8,0.917552548924861,-148.6495268119224,-68.27818513255124,-1.9593538695949047
9,0.9264952654920292,-146.25354680082256,-62.91772878844323,-1.3176418664765297
10,0.924163635817127,-146.07707080863196,-63.597088528217306,-1.392321824227921
11,0.9213816486543759,-139.62021854563713,-61.66474453791997,-2.6527448059001166
12,0.9169755597745833,-151.89136277592402,-69.68809220586515,-1.1160888694266005
13,0.922269098855738,-146.5628837963232,-70.32584805635173,-1.1327940335949982
14,0.9156032395923612,-144.92312886901746,-67.70719452021291,-3.1199507387507115
15,0.924519753533889,-151.29831816545612,-74.44454599488031,-1.1320104455453088
16,0.9349821827625777,-145.15435060509265,-69.24070093728865,-0.6512107000344616
17,0.9183169053929305,-144.146634023464,-69.75912776820205,-2.053399299074429
18,0.9305717794351095,-147.0553578815689,-70.16776020958488,-3.1740297617545448
19,0.9258765820868406,-153.2370746016182,-72.07941788668425,-2.23530128762825
20,0.9256470025700795,-145.66939041257163,-68.75052279794808,-2.307473522294334
21,0.9238418554347173,-144.2866798138071,-66.70899523780037,-1.119110763513026
22,0.9262764482488396,-142.98803815620448,-62.24151080532152,-0.4152127875284256
23,0.9249509433962264,-147.17546638533696,-68.29706534534827,-2.970461278663816
24,0.9240575157080715,-148.93848626605651,-71.81451516928406,-2.8010513132349066
25,0.9261856542635191,-146.1936414417274,-63.38352604218711,-1.5019983770927638
26,0.9224806201550387,-144.8695202048539,-64.73957496428076,-1.8021661150896038
27,0.9314610098595757,-139.03076262157077,-61.83743213030566,-1.5095945950412144
28,0.9293806533040839,-143.4788497618218,-72.03862346744016,-2.1329072557619044
29,0.9221464301955434,-150.05228234980925,-73.19624841846726,-2.3695226748832403
30,0.9290125325422293,-150.49528155067753,-72.2114974842953,-3.0362452347615188
31,0.9236661779227385,-143.63470078126105,-64.50318849627604,-2.86039081051677
32,0.9375991855555889,-142.03636974588275,-64.92646799427177,-2.177419477377974
33,0.9309220367378688,-144.57313484072924,-62.42557350432908,-2.0016316887229615
34,0.9240864487387875,-149.16490584335475,-65.07606663987255,-3.063793967551055
35,0.9316179809293174,-143.98200469131476,-66.46596185614104,-3.411865878470299
36,0.9092684392368935,-143.54576176869566,-66.09445683051379,0.0
37,0.9260039700717667,-153.93389010925077,-76.13749876461145,-4.128164718692774
38,0.9232878400443637,-138.94734957970618,-63.46791136414543,-0.42140685442771764
39,0.9363384855957178,-140.29781778819287,-66.68847412615573,-0.29672576535009015
40,0.9321802042801557,-148.3076749924239,-71.22624150627907,-0.6250879752754706
41,0.9242525118024452,-144.69355651123948,-70.92016368882662,-1.7797888954178216
42,0.9288440567066522,-137.27632970865758,-63.056665648658964,-0.7631002854783299
43,0.9255816760720644,-138.98954984814003,-64.11297387179938,-1.1319401077476803
44,0.9319042366059449,-145.73385669787737,-66.12870215600485,-0.6548386539170594
45,0.9347425637928432,-137.93346999802665,-60.62969713339913,-1.2677895912606152
46,0.9234000715051841,-137.77032289095115,-61.60181853311048,-1.2953927451321439
47,0.9202911682976924,-142.65328044860854,-66.2481494338807,-1.2530937895333116
48,0.9229592754753194,-151.39806555609312,-70.99351445562918,-3.302320182925691
49,0.9262498876673756,-153.3092468304917,-69.82862332302278,-3.12208580908564
50,0.9249783562707108,-149.4941582115519,-66.2241247638721,-0.7576062498915154
51,0.9200346247985195,-146.18732181902357,-65.22062124677238,-0.9233417434160349
52,0.9240168117682378,-145.7441510176101,-66.82065851907427,-1.656657259805829
53,0.9232924587990721,-148.71141216035434,-70.31711014550118,-2.8295251701537434
54,0.92880326982028,-151.94187154395848,-74.25575559972019,-1.8627207867390405
55,0.9218135623979191,-145.38524659349778,-66.57502851672525,-0.05178107950003095
56,0.9128314082231133,-140.10330100112864,-59.55722222295447,-1.417766669702528
57,0.9288722927557879,-137.0088706026138,-60.49917264113394,-0.5531461846649603
58,0.9313815187557182,-149.6309147465997,-68.54804930948052,-2.695350812016191
59,0.9237854433808922,-146.03063216900193,-68.44579150343557,-2.76542790660374
60,0.9313230327844356,-147.09198088456006,-70.29936489708115,-3.1648394395405135
61,0.9278775741997191,-146.97805711323073,-67.88160132662931,-1.9182846144272157
62,0.9274082086413076,-145.55370908325523,-67.42002198063747,-1.9231486751183784
63,0.9390917459343356,-148.502712874872,-69.82410658417119,-1.9639274727094183
64,0.9243894379524769,-146.60224540923642,-69.83795493722582,-1.1210781293801988
65,0.9259214464971427,-148.48221825012587,-70.91596503499089,-2.2623248007435235
66,0.9252805400967065,-146.26345827879848,-67.68411947336712,-0.676894627674739
67,0.9259025650267315,-151.68526015909796,-72.09072376371782,-2.317662210949516
68,0.9212551094012984,-153.65095907310834,-73.13871571648285,-3.294104919196215
69,0.9206135629709364,-150.6838681177446,-71.29914359363148,-2.801276061581398
70,0.936816192560175,-149.19070436646555,-68.12327672700752,-1.79990439472356
71,0.9236880115551276,-151.5931871587476,-69.18179658974671,-3.121555617728234
72,0.9271257521424664,-149.27044101851112,-67.76809868167604,-1.6591603024128583
73,0.9282640320038793,-154.42663509033963,-71.55660008711303,-3.851821213091847
74,0.9233161247471545,-154.71167747276763,-71.63765550530314,-2.1171701485338597
75,0.9326215466280613,-155.93339337660393,-71.09251371359744,-3.291908960583174
76,0.9252179140366696,-157.839503388015,-73.0571531088336,-4.714846230232251
77,0.9205019673303922,-156.8581732360859,-71.92813898102887,-2.259660278775488
78,0.9346590909090909,-155.9367318176489,-73.68902292792492,-2.469588657072938
79,0.9352220520673813,-155.43434191669118,-73.64916051536812,-3.7073547060004284
80,0.925980777368071,-157.18624786053786,-79.23421020672787,-3.3813546079432117
81,0.9206929914736651,-156.27306469767285,-75.68272811418873,-4.031999622496334
82,0.9231706592165487,-149.21915341700517,-67.79009547243662,-2.333475983598264
83,0.9190163239347042,-158.36657238615638,-75.06310554750537,-4.526490637073496
84,0.9249612025682379,-155.05742134878994,-74.81602678142093,-2.7407527955373956
85,0.9257822987202816,-150.53287830415485,-71.27872849541714,-2.866376062214565
86,0.9219296131131735,-152.335072641229,-71.73361452075133,-1.8936763665598872
87,0.9202924288166696,-160.32517821732804,-75.20759606602414,-3.1679485611402964
88,0.9211698158623179,-156.42033448904735,-75.2843646046144,-2.5483756840732465
89,0.9325616507297433,-153.73160905381758,-73.05910972807443,-1.5362443028495696
90,0.9274855212355212,-160.35616347940243,-78.04153537823878,-3.217079027425082
91,0.9250667706989166,-163.68077599567323,-78.43942179682882,-2.584746598614133
92,0.9304580407890337,-155.9824851321329,-70.91620990265638,-1.6641451216466585
93,0.9265516306802782,-163.90445561920598,-77.88596064074655,-3.911755286698394
94,0.927194471387003,-157.68192886353546,-72.64284680004779,-3.2609543034549446
95,0.9229552710888312,-155.66374790935046,-72.7146922445045,-1.5578448962779956
96,0.9262280169799879,-161.69679887548529,-77.41321881440031,-3.8689944209802087
97,0.9341792705295126,-161.5843798274836,-77.66339079407366,-3.6380781574921413
98,0.9352513664484353,-156.2115115657452,-72.50539583185902,-2.35658038124612
99,0.9115878531500227,-161.3377637622609,-75.5196911713215,-3.0544649382583833
100,0.9181361352215623,-159.42415262999555,-74.78679702789499,-3.417093622188632
101,0.9256012249677245,-159.83637309694907,-74.7842431601628,-3.22942986575607
102,0.9183507023108292,-160.49280161499757,-73.43767590761189,-2.6072085413482236
103,0.9261042495289931,-164.10384445119473,-76.3960635305018,-3.027334698702581
104,0.9221970725818621,-163.89947221361226,-77.62522552429533,-3.5371501461851547
105,0.9269453454181698,-165.67644911209516,-80.6465780955784,-4.298015562479236
106,0.9250060797665369,-162.3986477490077,-76.8954326809233,-4.5851077740539665
107,0.9216166379492761,-165.49055295167557,-80.10376883666015,-4.4337170194831526
108,0.9297382229996146,-169.13938670667642,-82.55414211429475,-5.187762083487863
109,0.9219257505388094,-164.13882092694567,-77.89063367294501,-4.263301882251453
110,0.932687916704722,-167.8064341962585,-80.66405840724143,-4.148183859266726
111,0.9296311869293609,-166.5092753743799,-79.143958912352,-5.025214196346938
112,0.9220954668267788,-162.13896802501748,-74.37930519227608,-4.171286825801103
113,0.9150605644728206,-162.95848899839072,-75.42121313378533,-4.210734121084036
114,0.9198831817908111,-166.1360110868536,-77.7793076442373,-3.1073531868738233
115,0.9272457537315693,-168.0371324621572,-79.43273336760902,-3.6421925301483027
116,0.9195931218212642,-165.15636338331788,-75.7700271170002,-4.5548854753426795
117,0.9309828804022506,-166.09565565890847,-75.46765540191771,-4.396524761921209
118,0.9208759210839078,-167.46370427233265,-76.98868231515269,-4.0362338276043825
119,0.9221807453790114,-166.69882303307784,-77.05885420574813,-3.5886369344959905
120,0.9177049081420254,-167.88392021712914,-78.87611363794835,-3.6196513098128333
121,0.9293452094366875,-167.4778778662823,-78.73796710934343,-4.919289478156895
122,0.923853876859804,-171.3939541859675,-82.38946623549371,-4.301361780996491
123,0.934957124612297,-171.9312466441785,-80.73806850639119,-4.521084333579726
124,0.9284777685063774,-169.83936116777,-76.626379916833,-4.382229111676845
125,0.9237755040261548,-166.55209598024763,-73.6136271836578,-4.469552671256025
126,0.9206492606980456,-166.69528370507913,-74.6003569645073,-3.8840840873223814
127,0.9290049826362675,-174.67210470011227,-81.98367009502726,-4.585272734447287
128,0.9275630150266602,-168.14214792394662,-77.14704596368394,-4.2884936008968175
129,0.9316997184111198,-172.5357302281224,-81.2352302392796,-4.9400509519178994
130,0.9147129792367958,-169.5617736890814,-79.1650860603001,-4.928372577560569
131,0.9287795992714025,-171.21715957126568,-80.2002483830789,-4.478205279184577
132,0.9217733754997315,-165.59368324528234,-77.0181573388622,-3.297071218551022
133,0.9295885358406143,-165.3973502789622,-77.68176366056701,-4.172450393083055
134,0.9262290149828509,-171.16865876902588,-82.6597064481893,-4.9226809510399745
135,0.9321251859272076,-169.62321996221027,-80.15016343617329,-5.471640113753677
136,0.9328400344714868,-169.84222591944692,-81.19428145186062,-4.617163466558471
137,0.9216801839970947,-171.099099917455,-81.50202223239522,-5.004631369412448
138,0.937748067683309,-170.64701227490158,-79.9487143335986,-4.282902990840871
139,0.9311135598772969,-170.18743508414343,-80.44209577987182,-3.509338807517568
140,0.9296324307971563,-168.0429172847442,-77.70904750979996,-4.2699006533184924
141,0.9232173314581525,-172.95657739593818,-81.45532873324467,-4.575856967995479
142,0.9229125324377958,-176.47115283978994,-83.23480133813578,-6.300568642214785
143,0.9268720866880562,-171.4383520729751,-78.44297414039708,-4.423369378082927
144,0.922684304309746,-176.62026428581046,-84.26308169380025,-5.665830235700763
145,0.9267764819045329,-169.26361982295674,-78.43309661358134,-4.5056941458868005
146,0.9269606193200942,-166.9277691861136,-76.34953112826207,-4.213015207133455
147,0.9167730561128336,-170.62615073721742,-79.5111314717415,-4.258786384491741
148,0.9290340152523907,-171.65968493190854,-79.40298143624094,-4.334163037968041
149,0.9314994767528779,-179.1076480323256,-85.10064468326598,-5.917827014185505
150,0.9240014458702331,-173.69001044193206,-80.30726038413506,-5.814038565313673
151,0.9157257700298076,-174.45207220219,-81.63184250771054,-5.763441137335974
152,0.9319567711163437,-174.55198502065466,-81.36287297787834,-5.775764716216752
153,0.923026038847796,-174.342768724056,-81.14813577420843,-5.31599879124175
154,0.9244742162276335,-169.73359039058764,-76.12595595698185,-4.843495121889461
155,0.931656937584194,-172.75938259938965,-78.94341936513365,-5.851483710385314
156,0.9314847507152858,-180.89025577397058,-85.96630984272124,-6.545555251571052
157,0.9232431783387867,-174.5026062154457,-79.72108844646522,-5.115469662815142
158,0.9137831339967741,-179.73091001445644,-84.01220730303152,-6.139579094018667
159,0.9220701428614214,-179.42614754931765,-82.2712896886157,-5.853868743341171
160,0.929545591696337,-180.4313216074616,-83.7494671479346,-6.023311521044123
161,0.9166967509025271,-176.1502663634346,-79.24014699169867,-5.113671329992139
162,0.9262082634547949,-174.97971326489204,-78.45065053312538,-5.145710966741165
163,0.9245552683594344,-176.2614368409559,-79.5618945593501,-5.350024224944741
164,0.9273967705416195,-176.9232301545745,-81.20217901758227,-5.77026929281876
165,0.93296746373971,-177.8645250762319,-81.78165679656794,-5.864931352217472
166,0.9232663603327627,-182.1334998625793,-83.88607200165025,-5.660532183923612
167,0.9309624064705704,-180.46955713175254,-83.18529701378459,-5.668382992177065
168,0.9273001964042906,-179.52558602055018,-81.7796902688041,-6.077847362326913
169,0.92868859793015,-179.990679626648,-81.75179518551002,-5.142107265382438
170,0.9304435483870968,-173.9055882176107,-75.39891825914096,-4.559299580378908
171,0.9299517631902208,-177.71100295875044,-78.67213481675282,-5.205587542332554
172,0.9275729091347312,-181.12023133026918,-82.30442161562823,-6.000371404453812
173,0.9269061496372071,-176.17892111433662,-77.40849742079098,-5.611130899572907
174,0.9274568847522584,-178.78012911977473,-79.9319768281301,-6.620529884891278
175,0.9293804727892173,-178.63391638433964,-79.31793760365365,-6.422707206683089
176,0.9356157383750638,-180.83711611847266,-81.77624937467024,-6.243724532087511
177,0.9193630155369338,-181.76569620927697,-83.11745632559133,-5.300626943212613
178,0.9294398092967819,-179.5800777139254,-81.43009039744454,-6.141322368965153
179,0.9181293653203766,-176.84578913996202,-79.75061164067131,-4.633255357758352
180,0.924490599170426,-177.99754807386222,-81.1498254855291,-5.317324005793823
181,0.9322538505939181,-175.65363289109615,-79.5734159663529,-5.204915481124309
182,0.9309147509578544,-171.2033542650704,-73.93059088737822,-4.217614767886509
183,0.9328187879151901,-175.90332745906048,-79.18635145844006,-5.761328446749796
184,0.9322291853178156,-175.85734627384184,-79.81112885560614,-6.529749088592523
185,0.9201409451616724,-175.4558245451436,-79.41333856551609,-6.504011143195711
186,0.926109857035365,-178.4661563237711,-82.34083612229799,-7.010802098301037
187,0.9244422831438819,-175.09608875565826,-79.45649680081618,-6.390172284925684
188,0.9304720770787399,-175.37557917529224,-80.8021227972979,-6.1370918367294225
189,0.9251190260953415,-175.34390443632546,-80.19681623192174,-6.233115795529932
190,0.9260337092275979,-182.85190123928123,-87.13228377743155,-8.078123642976962
191,0.9276202554579219,-171.89298051802177,-77.44868435566605,-5.883671733234215
192,0.9346352291816655,-177.21855228208835,-82.05296115182038,-7.516349652833469
193,0.9291558935361217,-176.4342406035407,-80.05145975597526,-6.785765519156845
194,0.9259035598900933,-180.39037397713955,-82.22657626545869,-7.434156048065115
195,0.9302880260853813,-176.63136970141596,-78.80100871969131,-7.166034826669453
196,0.9124688354209847,-179.43120678867436,-81.47786987864863,-7.4087368192766965
197,0.9266746411483253,-178.37235765766087,-80.26349597784615,-7.124759756738028
198,0.9183018301830184,-179.89763031345115,-82.61092605664042,-7.452493086020365
199,0.9191836487142164,-177.68291145893153,-81.0620971607777,-6.671282746195366
