episode,service_level,starvation_count,congestion_count,hotspot_imbalance_mass
0,0.8908932120701079,-101.89952070171378,-73.73399687472771,-112.1523137190301
1,0.9290911259541985,-239.3447436417606,-177.57358229232628,-308.74081013626545
2,0.9306957462148522,-270.78235337185595,-210.64245510856452,-397.6828051484262
3,0.9249856957870328,-274.0155818853614,-218.6124087738081,-448.6408162816591
4,0.9324806482825351,-268.5113952128238,-218.45191068425578,-488.3439100488439
5,0.9237727656494995,-250.07276425385143,-215.08810520854067,-511.51018315098185
6,0.9317325942216732,-231.06385529597497,-205.38182119267537,-528.1932745665872
7,0.9280041071482499,-215.83176411199275,-194.7986588971894,-542.2876395493606
8,0.9234293982877125,-207.40186029920866,-187.20469295320825,-566.4948629856093
9,0.928448019064641,-198.60894743485255,-179.67200867462216,-584.3800194299448
10,0.9273763011124698,-191.43456384636144,-173.48962765750449,-600.3358040748195
11,0.9317159727108637,-186.85564688810155,-167.94913166066212,-619.7774696908406
12,0.9261619303596774,-180.0859619488207,-160.81858465772225,-628.8902021383163
13,0.9271097014242582,-175.5697934175075,-154.35630036881756,-642.0520442052576
14,0.9316922517939867,-169.9055614502884,-148.07079421317835,-649.4406941992643
15,0.9302015411973918,-166.43202884378866,-144.25958949322546,-663.0404938966334
16,0.9285244725990558,-159.4548995174028,-136.01071493297204,-667.9814201811994
17,0.9209588014981274,-156.3034598438408,-131.92395756198837,-677.4549503462955
18,0.9242030414388576,-153.76234241824474,-130.69472626039553,-687.9698646137425
19,0.9295766104573577,-153.71570506502735,-130.29853003696522,-699.3738466400071
20,0.9292115780549837,-148.7827556601598,-125.59348026046364,-699.8105913884241
21,0.9205983889528193,-149.49821896473048,-124.98393264183785,-711.5317066396632
22,0.9345505786412425,-146.93066791634266,-121.71653999334755,-715.0341739901702
23,0.9278897136797455,-145.92942663095684,-119.99164623261491,-718.1525402349289
24,0.9318956077381677,-143.5139943341033,-117.71061579105903,-719.6939253689418
25,0.9233001286308296,-137.74381336938131,-113.12307179646169,-719.2010024154155
26,0.9311632388810263,-140.45444734750913,-114.29067335627963,-729.1499683994031
27,0.9329437281600192,-139.16200180326942,-113.20706548405519,-732.5152981767561
28,0.9257731958762887,-136.21242512650372,-111.6060692395352,-734.822980825924
29,0.9281910893174092,-135.62130970492007,-111.3419935246476,-740.6095804390737
30,0.9235478617528199,-134.33040086307906,-112.38452624510832,-746.6842528084724
31,0.9335091241422707,-133.97363456921994,-113.90759348551464,-751.4255969933329
32,0.9307061544468808,-132.45781354510584,-113.42561298425801,-752.0208640264074
33,0.922831132814855,-129.68542009163477,-111.57119402417146,-750.231340800791
34,0.9256578947368421,-132.05893733300994,-112.68444607748619,-757.044819262186
35,0.9306180368950213,-132.00764649784097,-112.96841106270861,-759.9783022720192
36,0.9267399267399268,-130.53573519927662,-112.08203542669953,-765.4514734533011
37,0.9286473679414355,-131.5951878717259,-111.7774767973181,-771.3377066351254
38,0.9237357630979499,-126.38294480734281,-110.33621663077494,-772.8474544933173
39,0.9241084851764989,-128.37442616555538,-111.3251248183548,-777.4826152853166
40,0.9224256566744451,-128.97822415405076,-111.36454585406176,-781.4622727322198
41,0.9293171471927162,-131.86620575817534,-113.38250127781853,-788.2965183112068
42,0.9260838451905301,-131.00049188689923,-112.3687689228526,-790.1685821187455
43,0.9278561877878473,-132.27102881836015,-112.56510168285931,-792.050109677359
44,0.9229027681347541,-131.0446342999817,-112.14778600742672,-792.2790219578796
45,0.9307526358968126,-134.79410489144797,-114.42033611414419,-802.5306560461997
46,0.9275488721804511,-131.09851437149078,-112.32687887673987,-800.6350460495798
47,0.9197833762192568,-130.24369322602675,-112.0011127007831,-803.2495925027855
48,0.9211323957322988,-129.9685162915493,-110.74373665531739,-805.980531318751
49,0.9240137993100345,-129.11352532015312,-111.09237745236145,-807.5923991072694
50,0.9313419257012888,-130.49134480691075,-112.6304579214836,-813.5184557829391
51,0.9230815026492826,-132.16527970444173,-113.7946723310175,-819.9153237840161
52,0.9220344099003924,-130.96643066173624,-113.0626391003044,-819.9211357164876
53,0.9285779551061433,-132.2787779572916,-113.92151560695689,-823.3692672166537
54,0.9268425511315503,-134.7531984447926,-114.42540927565939,-829.2688776263732
55,0.9298145933014355,-133.1862558923189,-112.84631693235598,-830.1315178962526
56,0.9295284030010718,-132.18432831117207,-111.67746138346556,-832.3252562396806
57,0.9305959629285264,-129.60310733870955,-108.7208403752343,-829.851313120649
58,0.9303999271203425,-131.5553399939066,-109.53420925447799,-834.7732205992597
59,0.9283256880733946,-129.81239013923252,-108.64692265541052,-837.020033841474
60,0.9280818842965313,-128.9689671685815,-107.92484440994286,-836.039485308858
61,0.9294099984987239,-127.83127088930785,-106.49672548721657,-836.9388577728308
62,0.9205232592947374,-126.42312425605566,-105.43732811005879,-839.7748087511352
63,0.9307939588766907,-127.66028131178307,-106.93152768570532,-846.257004433809
64,0.9365742270828952,-129.34590817059694,-108.07410771466877,-854.5085681906879
65,0.9236911351057073,-128.81734867547502,-107.43621479826145,-856.7043809682286
66,0.9233725751293769,-130.24709724427703,-108.53050141227527,-862.2309318302746
67,0.9258480936655659,-131.98751192751112,-110.05002902514686,-870.3081757480907
68,0.9320806654299563,-130.81930476329407,-108.89820166967651,-873.5388311908623
69,0.9277419747081712,-133.3148134633021,-111.39205099294638,-883.7006872002947
70,0.9297091830578014,-132.4587993420268,-110.52260373312886,-886.8814108174388
71,0.9280314393712126,-130.9401641359326,-110.2491175942064,-889.3151390754788
72,0.924295036819733,-130.74256821794216,-109.55230292886978,-890.6288831564559
73,0.9197437601982232,-131.47844711842828,-110.55374122618079,-896.6754878244332
74,0.9266740702944443,-130.14627968628827,-110.22156706689901,-898.4380497013533
75,0.9309065685505761,-131.24375060259834,-110.86430455036619,-903.2617991096756
76,0.9301359971115658,-131.60246287317716,-111.10547635423832,-910.2518537254298
77,0.933669747081712,-131.0283068504298,-111.5711487456179,-915.0678691021557
78,0.9293136781053649,-131.20541103271427,-112.15569383591367,-921.8617663736338
79,0.9332658941818405,-129.10769592582955,-110.79627609098124,-921.995819001383
80,0.9315303187909196,-127.6138026509198,-109.86865612373728,-926.9206382857371
81,0.9271029170962459,-128.68253874373576,-110.82803574038823,-934.7453612565649
82,0.9284090229162927,-126.84835452750863,-110.77223344472633,-937.3024883103514
83,0.9318801906874944,-128.29052452143674,-112.11833203371022,-943.1933568973586
84,0.9312297011412056,-128.69009967760599,-113.69766235107976,-950.0980000054371
85,0.9248505042691816,-127.38369093429759,-113.36761497826701,-953.0303545264875
86,0.9282808948438809,-127.98790955912781,-113.88811993839076,-958.2590105421282
87,0.9276081273764258,-127.31904642650495,-113.3966546133165,-962.6108463855779
88,0.9297218590276952,-126.51932657492672,-113.67984047068822,-965.4364773293502
89,0.9272553528234837,-124.6834744017333,-111.86020020055142,-966.3906254620606
90,0.9336352186169256,-124.45663341636488,-111.95343889876692,-970.3783889958798
91,0.92832436009264,-124.37719712281059,-111.92278822442618,-975.4160985881925
92,0.9251792517925179,-123.8951826926919,-111.1832768606376,-979.3734395358517
93,0.9232198897047622,-124.83554267502906,-112.35035567739406,-986.0019518407747
94,0.9317394738440975,-124.7448000851121,-111.94380304495436,-990.1538564073799
95,0.924828268890422,-123.96484547366808,-111.92341108772615,-994.6701936392138
96,0.9293115075715774,-124.19543870589197,-112.21562924822095,-999.9679244569576
97,0.9336213317443766,-122.75047417230472,-110.90343614030253,-1002.0221513009551
98,0.9307188750151534,-122.27797311444213,-110.77439981202848,-1006.6814140019353
99,0.9302508548431022,-121.79496510792742,-110.4689565036616,-1010.0137582859293
