episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9405672450224696,-2.2544545787316026,-0.9006973489173306,-0.6412102743999929,0.1,0.1,0.2,0.2,1288,709,1373,33601,38462,38460,0,0,0,0,3835,3848,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9430408540838919,-2.552592225734699,-1.13339470896799,-0.6914177698265785,0.097486,0.1,0.198291,0.2,1166,712,1532,32971,37829,37818,0,0,0,0,3843,3843,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9327380051460572,-3.340265643310926,-1.5754187928942476,-0.8705641460936889,0.095095,0.1,0.196596,0.2,1498,724,1548,33035,37562,37553,0,0,0,0,3795,3792,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.938266435365197,-3.17444420517321,-1.7302110434329125,-0.7823331521793677,0.092819,0.1,0.194915,0.2,1423,641,1372,33434,38160,38154,0,0,0,0,3951,3965,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9337807077186863,-3.457764250881156,-1.9751683828456745,-0.8530044433524231,0.090649,0.1,0.19325,0.2,1278,962,1575,33827,38656,38649,0,0,0,0,3796,3796,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.935016754427956,-3.4725902601892544,-2.147701811413093,-0.7913640258421395,0.088579,0.1,0.191598,0.2,1427,745,1441,33424,38210,38207,0,0,0,0,3865,3862,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9403953614132068,-3.3210256937749434,-2.2413095443693365,-0.6941498023462266,0.0866,0.1,0.18996,0.2,1337,647,1481,33286,38181,38174,0,0,0,0,3955,3943,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9347682714791055,-3.6547862259411965,-2.4083791606387,-0.7811183895309353,0.084709,0.1,0.188337,0.2,1324,852,1571,33358,38052,38044,0,0,0,0,3807,3797,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9385917844154296,-3.49459647666998,-2.474051846940199,-0.6690959724036084,0.082898,0.1,0.186727,0.2,1253,807,1353,33546,38419,38417,0,0,0,0,3902,3901,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9407595856805379,-3.4487756711500475,-2.539052315892318,-0.6085480076262516,0.081163,0.1,0.185131,0.2,1212,744,1233,33018,37904,37901,0,0,0,0,3927,3909,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9400911918350092,-3.5350969663832332,-2.644841528025125,-0.5848676450861536,0.079499,0.1,0.183549,0.2,1155,829,1298,33117,38146,38138,0,0,0,0,3860,3849,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9338853037866797,-3.7676565646993767,-2.832433236979552,-0.6598855087330708,0.077902,0.1,0.18198,0.2,1326,846,1711,32852,37576,37570,0,0,0,0,3892,3873,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9412594399224237,-3.515436222351076,-2.77813946468769,-0.5267913445096064,0.076368,0.1,0.180424,0.2,1372,627,1384,34031,38842,38833,0,0,0,0,3887,3884,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9331386597627792,-3.159775312793878,-2.6958512000955825,-0.36522606248567646,0.074893,0.1,0.178882,0.2,1380,841,1471,33218,38005,38001,0,0,0,0,3714,3719,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9299515463300831,-3.9984410876793035,-3.0455216386271506,-0.5930285757526096,0.073474,0.1,0.177353,0.2,1357,985,1596,33434,38181,38174,0,0,0,0,3886,3881,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.938399027196963,-3.4630915853462576,-2.950472311584744,-0.38991775324197414,0.072107,0.1,0.175838,0.2,1351,726,1813,33717,38441,38437,0,0,0,0,3798,3790,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
