episode,service_level,bias,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.9106644146027393,-2.548436434264668,-0.04843643426466734,-0.007602531222322432,-0.005058170854642958,0.01,0.01,0.0
1,0.9085177214338557,-2.5960561129057957,-0.09605611290579462,-0.015311725034148188,-0.009353627100131623,0.009708,0.01,0.0
2,0.9038667738908993,-2.645140908177611,-0.1451409081776109,-0.02321059462776593,-0.014342925503993915,0.009432,0.01,0.0
3,0.9050574674183997,-2.6919304159626813,-0.19193041596268157,-0.03052140771589574,-0.01899944761756317,0.009172,0.01,0.0
4,0.9033198595189186,-2.738476804699172,-0.23847680469917212,-0.038158085394308906,-0.02341888973405298,0.008925,0.01,0.0
5,0.9046734290783703,-2.783499781126579,-0.2834997811265792,-0.04539825634529668,-0.02809957259171818,0.008692,0.01,0.0
6,0.9051937762343858,-2.826246471795029,-0.32624647179502886,-0.05226741205656602,-0.03237046617525303,0.00847,0.01,0.0
7,0.9023651306429206,-2.869329969920389,-0.36932996992038863,-0.05923689688662621,-0.03687508368044133,0.00826,0.01,0.0
8,0.9069191773622014,-2.908933949085791,-0.40893394908579195,-0.06557890232150117,-0.04087533902915333,0.008059,0.01,0.0
9,0.9037854889589906,-2.9489278315950895,-0.4489278315950902,-0.07196537539523769,-0.044859582358744286,0.007868,0.01,0.0
10,0.8938414255244109,-2.992788701745015,-0.49278870174501616,-0.07913375245434029,-0.049848983927916875,0.007686,0.01,0.0
11,0.9071017080483779,-3.0288578885688144,-0.5288578885688149,-0.08455731575512604,-0.05362627093911458,0.007513,0.01,0.0
12,0.909555278330355,-3.063521525405748,-0.5635215254057484,-0.0899742889894064,-0.057341219522602085,0.007346,0.01,0.0
13,0.9070646966870052,-3.0980869154686235,-0.5980869154686244,-0.09537367848901912,-0.06080223316861605,0.007188,0.01,0.0
14,0.9042290852359464,-3.1339349549500346,-0.633934954950036,-0.10094935046624406,-0.06432795683127306,0.007035,0.01,0.0
15,0.9083468898317876,-3.166858771585693,-0.6668587715856942,-0.10632358707220724,-0.06762155722055287,0.006889,0.01,0.0
16,0.9108560304754233,-3.197804682317679,-0.6978046823176803,-0.11123671072027615,-0.07077501575201872,0.006749,0.01,0.0
17,0.9060309739744304,-3.230136097886025,-0.730136097886027,-0.11637386543930886,-0.07410991005067931,0.006615,0.01,0.0
18,0.9035371382851047,-3.262249974330653,-0.762249974330655,-0.12161712190270373,-0.07747314830691343,0.006486,0.01,0.0
19,0.9069818749575724,-3.2922970888122514,-0.7922970888122528,-0.1264517914270691,-0.08056071156893212,0.006362,0.01,0.0
20,0.9111611653058183,-3.3215723132553348,-0.8215723132553372,-0.13135282643300364,-0.08358378931936894,0.006242,0.01,0.0
21,0.9037466714157296,-3.3517335556079972,-0.8517335556079982,-0.136428009549942,-0.08666010508084145,0.006127,0.01,0.0
22,0.9072261540263347,-3.380680088234285,-0.880680088234286,-0.1409935667627803,-0.0895424561343401,0.006016,0.01,0.0
23,0.9100441687177585,-3.4077509625402507,-0.9077509625402513,-0.1450721422590893,-0.09251102505492012,0.005909,0.01,0.0
24,0.9096838602329451,-3.4347105380068332,-0.9347105380068343,-0.14920715032932774,-0.09524906607958317,0.005806,0.01,0.0
