episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
13,0.9388384754990926,-2.901227467405298,-2.1410336980839597,-0.38058879615254415,-1.406620245331664,-1.5575681160533381,0.074893,0.1,0.178882,0.2,1398,624,1315,33060,37829,37824,0,0,0,0,3646,3651,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9481494832972843,-2.970765679506048,-2.244659061461692,-0.38925724664664235,-1.5167456299582796,-1.6489664517042568,0.073474,0.1,0.177353,0.2,1131,595,1322,33288,38261,38255,0,0,0,0,3855,3850,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9442811767150533,-2.947883300126404,-2.30069918960387,-0.4079422217985178,-1.4845142919525363,-1.6604027345336707,0.072107,0.1,0.175838,0.2,1245,632,1221,33687,38517,38511,0,0,0,0,3792,3802,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9387937453462397,-3.025237999736666,-2.3588946652038376,-0.3985409235847833,-1.507753507078971,-1.6997035802324298,0.070791,0.1,0.174335,0.2,1194,861,1164,33575,38447,38435,0,0,0,0,3746,3752,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9376013939794509,-3.0878703940102326,-2.3810102449093984,-0.41169744916005646,-1.5474149113304876,-1.8047457399817275,0.069522,0.1,0.172845,0.2,1330,747,1475,33286,38064,38062,0,0,0,0,3733,3721,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9417796890506119,-3.2001532232845795,-2.4709128594531413,-0.40984212624333655,-1.6014060716978415,-1.8850655317338434,0.068297,0.1,0.171367,0.2,1289,647,1330,33253,38125,38117,0,0,0,0,3810,3819,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9417777512104728,-2.9182284271239958,-2.3972642506021,-0.3223543594233124,-1.547736998088047,-1.8715637921965944,0.067115,0.1,0.169903,0.2,1284,664,1408,33458,38185,38180,0,0,0,0,3904,3899,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.942292679997598,-2.7905124751152703,-2.418737637916294,-0.3051814668371749,-1.6048740767325533,-1.9316247170859802,0.065974,0.1,0.168451,0.2,1268,654,1297,33306,38063,38054,0,0,0,0,3802,3802,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9395390334572491,-3.005683729114186,-2.5383442015115243,-0.3519749830647292,-1.7611630677575563,-2.0356381675969213,0.06487,0.1,0.167011,0.2,1150,883,1478,33625,38611,38605,0,0,0,0,3716,3707,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9404539939033413,-2.691633249581527,-2.4492394723329243,-0.2570889608383,-1.6617918271669134,-2.027981477962409,0.063803,0.1,0.165583,0.2,1285,727,1331,33789,38567,38564,0,0,0,0,3729,3739,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9400676655389076,-2.7908472652081344,-2.52349096998086,-0.2780574242309419,-1.6911208650342817,-2.0861685817045457,0.06277,0.1,0.164168,0.2,1415,569,1370,33104,37927,37923,0,0,0,0,3727,3724,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9383757721862287,-2.773877110526627,-2.53193473370613,-0.25901754007625144,-1.7510511200451735,-2.1227203698336163,0.06177,0.1,0.162765,0.2,1239,806,1268,33185,38026,38021,0,0,0,0,3729,3737,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9443908904687311,-2.7262032198517536,-2.5138666485389054,-0.21238390485465986,-1.806759017506118,-2.123101157350169,0.060801,0.1,0.161374,0.2,1148,698,1119,33196,38066,38062,0,0,0,0,3768,3781,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9357541899441341,-2.8179398862809033,-2.560600880475116,-0.24182823052119815,-1.8636370429355542,-2.1828375079027587,0.059863,0.1,0.159995,0.2,1440,699,1462,33294,37779,37773,0,0,0,0,3771,3766,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9367741935483871,-2.8127560776582397,-2.5851493996734147,-0.23357801150105706,-1.8524470221602218,-2.156786651735318,0.058953,0.1,0.158627,0.2,1314,793,1355,33325,38195,38188,0,0,0,0,3753,3771,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9364488763208811,-2.964800310924646,-2.664281864099299,-0.2670230727674216,-1.9459847821196934,-2.2465146593220524,0.05807,0.1,0.157271,0.2,1331,804,1354,33595,38419,38412,0,0,0,0,3727,3737,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9361588934208193,-3.002455055694751,-2.7128537738886176,-0.25927814787921655,-1.9864828145024551,-2.2693376012671633,0.057213,0.1,0.155927,0.2,1379,781,1256,33834,38537,38530,0,0,0,0,3827,3812,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9430516303522047,-3.0009498547457305,-2.6909016277597595,-0.25974905658533315,-2.0462754329307296,-2.2887814070303896,0.056381,0.1,0.154594,0.2,1117,757,1191,32907,37930,37922,0,0,0,0,3726,3727,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9402175515137222,-3.085488003882466,-2.734558836585222,-0.2819133221445753,-1.9238495098849677,-2.2234769846272795,0.055573,0.1,0.153273,0.2,1291,737,1229,33923,38880,38875,0,0,0,0,3764,3762,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9392751613097751,-2.873868078431469,-2.6878617024728357,-0.2132243190392025,-1.868872470030812,-2.2241141393499415,0.054788,0.1,0.151963,0.2,1230,784,1308,33166,38081,38072,0,0,0,0,3687,3675,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9446185688941455,-2.6998214316629805,-2.6712848135491587,-0.1604865842270355,-1.8725059925476757,-2.2081802996287068,0.054025,0.1,0.150664,0.2,1229,644,1295,33820,38921,38913,0,0,0,0,3717,3708,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9497719653266483,-2.656232440798894,-2.652763520785414,-0.15204142118705652,-1.8467008213735931,-2.2032763939939017,0.053282,0.1,0.149376,0.2,997,666,1152,33109,38286,38277,0,0,0,0,3701,3696,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9447766549064163,-2.9078284490095343,-2.739240535466631,-0.20926032031251532,-1.9605632784077354,-2.304751139661026,0.05256,0.1,0.1481,0.2,1183,664,1161,33446,38565,38562,0,0,0,0,3749,3749,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9462311259065509,-3.1168027077930813,-2.7841895850494423,-0.2584292639285787,-1.9816507674143953,-2.347890694607082,0.051857,0.1,0.146834,0.2,1081,728,1209,33644,38614,38610,0,0,0,0,3729,3721,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9380281690140845,-3.3915888407610577,-2.844366154083046,-0.3544742613253145,-2.0545538747842054,-2.459257908529098,0.051173,0.1,0.145579,0.2,1376,692,1242,33370,37992,37989,0,0,0,0,3767,3765,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
