episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,work_ratio,imbalance_hotspot_distance,starvation_count,congestion_count,imbalance_asymmetry,hotspot_imbalance_mass,time_of_day_fraction,day_of_week_fraction,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,temporal_demand_gradient,future_net_pressure
0,0.8777804642166345,-5.965653615639859,-2.7500722282608114,-2.079111039235101,-2.511694725417448,-1.913336774632908,-9.558836397272028,-9.541671033705454,-3.2284706899062052,-1.5211071612268812,-9.55906395549709,-1.9315290178781352,-2.3132810911030566,-1.7555078764703766,-1.1819004626229286,-1.5551963186197497,-5.491917111651863,-4.130944511849705,-8.693843670604702,-3.3430021582378147,-2.6226514574020423,0.0,-1.1819004626229286
1,0.9263660095418129,-13.48942962833154,-6.22328169909564,-4.5647016196480505,-5.672345625826164,-4.178757225336158,-22.630191966068736,-22.511979677304936,-7.343351155685944,-3.488146410497989,-22.635297554224874,-4.021255150901067,-5.14089017190156,-3.7189613199907456,-2.9807025020889384,-3.763760743842868,-12.774596615053701,-9.193646642659663,-19.865417324817745,-7.607880379721039,-5.881549248610506,0.0,-2.9807025020889384
2,0.9207072220557386,-18.814628030963053,-8.700013605371291,-6.25528224477299,-7.925435125046975,-5.708657187391452,-32.33445556265113,-32.094926745181496,-10.283311769587016,-4.911781446037453,-32.336936460080516,-5.213276294220497,-7.119174668748743,-4.99415565856958,-4.4117402408684585,-5.427865917027149,-17.635699672493978,-12.39322961820096,-26.87392847958791,-10.65492472935088,-8.159703301612229,0.0,-4.4117402408684585
3,0.9254281313238092,-22.66614563518905,-10.504899581833255,-7.48365122239635,-9.572890957876432,-6.81915153396467,-39.39038171926462,-39.053015143993626,-12.420392531651137,-5.961302097949599,-39.382206133852236,-5.840586018348412,-8.568805733180408,-5.9109658282054145,-5.461415232206769,-6.629187125107958,-20.808721589092354,-14.215711810300922,-30.952654067000633,-12.864765654299152,-9.801379980889937,0.0,-5.461415232206769
4,0.9269063016995037,-25.369496670476828,-11.795567196611984,-8.353408403454582,-10.753795069029206,-7.605605956790285,-44.2298348025593,-43.82128872206125,-13.926803586681103,-6.709952224661125,-44.207123594103614,-6.145598062661632,-9.604584468729922,-6.56324796803107,-6.189014267382275,-7.427498838396894,-22.73684265658436,-14.897267151689276,-32.92735450921011,-14.419880703310298,-10.949615967166528,0.0,-6.189014267382275
5,0.9306533586430714,-27.30684052245283,-12.746889111782897,-8.9753576243595,-11.629654353789853,-8.168906410216323,-47.68627762819182,-47.12642128333383,-15.01530595279164,-7.260747676661003,-47.64559204388583,-6.2408835011715205,-10.37944293205026,-7.035549886901567,-6.7392602151694625,-7.993640749759439,-23.906727531452706,-15.076824844075357,-33.715663208546935,-15.543390333956658,-11.763450188496146,0.0,-6.7392602151694625
6,0.9269831730769231,-28.868798303490212,-13.542222499114573,-9.482206884540117,-12.367312039578982,-8.62905566446329,-50.355905135714934,-49.661795412916234,-15.89601705196419,-7.720698616993069,-50.29973259362747,-6.254232710264277,-11.0410877486396,-7.424931381909578,-7.171563711002125,-8.419706806712613,-24.634566032137702,-14.868427549586835,-33.75521175069116,-16.45018018420492,-12.418618119285245,0.0,-7.171563711002125
7,0.9234781044870066,-30.295648396354267,-14.275148930312909,-9.967397357399602,-13.050104338477817,-9.071710349948916,-52.60256375667604,-51.826381278346,-16.702813978598563,-8.140639710307392,-52.53633416198673,-6.148344023964167,-11.660344870354239,-7.821121900291381,-7.520142135997237,-8.75535281405969,-25.05118237974042,-14.312694113659733,-33.21008474338842,-17.274733244472984,-13.020915151881189,0.0,-7.520142135997237
8,0.9315637797664189,-31.3473742879102,-14.82612338774732,-10.315222428060949,-13.564738101296562,-9.388388792675189,-54.21048450910147,-53.33202618746062,-17.30770842465527,-8.455455597835524,-54.14734123882495,-5.965568592171098,-12.12728647994725,-8.098464009213991,-7.795575938685888,-8.98868583553129,-25.286790976833718,-13.611352768957099,-32.61934173884048,-17.889716232255054,-13.457658055655,0.0,-7.795575938685888
9,0.9283498389213698,-32.31646614373818,-15.341621040111743,-10.644630549664459,-14.045659454689025,-9.689807844562797,-55.59091128001851,-54.59593394630134,-17.865646324381775,-8.746811942336915,-55.52792941066577,-5.804582842508614,-12.567462582386241,-8.369673607874569,-8.028448910913593,-9.17405297680174,-25.428494032228613,-12.793045313719961,-31.927829826710777,-18.454473895810747,-13.861992247927297,0.0,-8.028448910913593
