episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9207652557820627,-2.542950644430855,-0.022203489678558144,-0.01007286522506172,-0.0037331787388542306,-0.002362371590250572,-0.0007575907744889991,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9241206537090592,-2.5822685187778225,-0.04223632272335522,-0.019175298635846806,-0.007170555099673841,-0.0044745556798141935,-0.0014350036493767553,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9197326095697628,-2.62317828213299,-0.06318422671825438,-0.028630700969403698,-0.01068053631609964,-0.0066758226355171394,-0.0021540654444660912,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9221554882639319,-2.6616860352617664,-0.08323716908792039,-0.037516851834032486,-0.014513571991005348,-0.008745362149908653,-0.00290444888974425,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9208965608640912,-2.700070353460555,-0.10256798206912782,-0.04632362911986576,-0.01774358564716343,-0.010794869434632115,-0.0034343790090777967,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9232867999062636,-2.7356660028879873,-0.12097524506512579,-0.05446725408938031,-0.021091298015516704,-0.012596396213531222,-0.0040409388016964445,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9186965829975894,-2.7722991701342106,-0.13929404832484882,-0.06257292481794063,-0.02424695376028284,-0.014483947750204021,-0.004576501312345667,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9230872236077867,-2.8061035547413757,-0.15649117105667812,-0.07041820579148067,-0.027168766690757993,-0.016279979219406642,-0.00511690705697157,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9199233651514894,-2.8400181733076546,-0.17390579852597743,-0.07831615979374269,-0.030331570063832112,-0.018117777939429265,-0.0057102138205916975,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9190214108329418,-2.874006907951653,-0.19127889685907648,-0.08609194310213021,-0.033336225148599394,-0.01998892051200843,-0.006270422597480112,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9125673882740204,-2.9097751598601875,-0.20968314560377074,-0.09434999457267278,-0.0365160849010105,-0.021859062193810036,-0.006854583304095957,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9223292793855069,-2.940323975801433,-0.2250209707040531,-0.10128794037865221,-0.03905791485065411,-0.02347629637267159,-0.007301302811429279,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9218112545938838,-2.9703997816670555,-0.24042150335110887,-0.10817065369089057,-0.04184687401663393,-0.024988643848641377,-0.007830814135278695,0.007346,0.01,0.0,0.97,100,10,1,11
13,0.9215201788445699,-2.9999302288319316,-0.25551474290593634,-0.11486636265007619,-0.04456267323480735,-0.02650737579145636,-0.008319578390897272,0.007188,0.01,0.0,0.97,100,10,1,11
