episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,repaired_idle_away_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9339113227797156,-2.5344921886378713,-0.017405079915189154,-0.007273821653720337,-0.003228139873852995,-0.003330563095552048,-0.0007365096459218718,-0.005215898688430846,-0.003733135487156062,-0.00013869017513716244,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9354062588762092,-2.567399815180249,-0.03376842969145665,-0.013966529652408285,-0.00629314875750999,-0.006481329503365042,-0.0013993400367283849,-0.009840527618279554,-0.006966015082600267,-0.0004094656629007265,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9373544051349947,-2.598257659526762,-0.04930106536685326,-0.020369278365442917,-0.009144412982773097,-0.00955944468415241,-0.001959608814692703,-0.014264673624196441,-0.01028732690925633,-0.0005214211480394649,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9396749409972717,-2.626778743149525,-0.0636257277102723,-0.02609883263329335,-0.012075272862811218,-0.012269589144433818,-0.0026617635032771753,-0.018167755882637384,-0.013239194167049414,-0.0005500354229121579,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9357404430893635,-2.6558276619514594,-0.07785851614246071,-0.03208355753624537,-0.014663752201555308,-0.015137201440253233,-0.0031817051319905317,-0.02244382965068369,-0.016401462623800694,-0.0006621559621063965,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9328123431172395,-2.686376665024752,-0.0931434298984558,-0.03839837317545585,-0.017584443502745805,-0.018201300214417748,-0.003750938812951878,-0.026732839793264972,-0.019748799178485384,-0.0007443384299195306,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.9377271585294364,-2.7135307335424126,-0.10664567376851175,-0.043961910418840386,-0.02021093126202442,-0.020866764777835556,-0.0042982348229938525,-0.030595089328591174,-0.02255217036443283,-0.0008222333083723328,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9346731154102735,-2.7316992824118733,-0.11564295529823368,-0.04866521644705004,-0.021925409736678107,-0.023781237554113096,-0.004842762109940052,-0.03492275654024034,-0.025585520758955038,-0.0009252905371175829,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9387318926620756,-2.7567881526793907,-0.1281684990255495,-0.05382498065714978,-0.024375332371027906,-0.02619733896873099,-0.00542419606133061,-0.03876364851000104,-0.028328062255804483,-0.0010423512984907878,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9383664073395729,-2.7791923931771496,-0.13951180375031358,-0.05865058060816551,-0.026550281033422874,-0.02853807842138166,-0.006020103008494429,-0.042148916340519885,-0.031058440190617372,-0.001157659747958939,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9306017538554581,-2.806841811260872,-0.1534581752254427,-0.06453341792641332,-0.02905554125055189,-0.03147180805678157,-0.00647680340636699,-0.04614733062539336,-0.03408048931504241,-0.0012647853394231736,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9338414685444114,-2.8322651772850045,-0.16633312148542284,-0.06987529891457875,-0.03152984120930753,-0.03402013493267256,-0.007081373342033154,-0.04979500472457574,-0.03678705272209068,-0.0013771449014765393,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9386743127002868,-2.8551266140792078,-0.17785179645322097,-0.07468267163207734,-0.03372001089277003,-0.036304406621548914,-0.007529987331699024,-0.05317833149675799,-0.03931271283245475,-0.0015205758227666726,0.007346,0.01,0.0,0.97,100,13,1,14
13,0.9373402824478816,-2.877819454847686,-0.1892853045901094,-0.0794465872606973,-0.03592343557438181,-0.03869827877694091,-0.008019179569745946,-0.05650522468876017,-0.04164903553675487,-0.0016328537481940868,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9374614345513066,-2.9003851511259167,-0.200717368789935,-0.08424471649364433,-0.03809592428310746,-0.041010038979935146,-0.008479559965949174,-0.05991089453666148,-0.04395770401401875,-0.0018074624345742478,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.943666465175633,-2.9197760088681197,-0.2102987348076582,-0.08818131581664118,-0.03986550289632496,-0.04280970410957916,-0.008821547581756517,-0.0627243015282017,-0.045944156515094925,-0.0018590722650178469,0.006889,0.01,0.0,0.97,100,13,1,14
16,0.936364400369779,-2.940439527460407,-0.22069693526794662,-0.09263448716858182,-0.04186792170411645,-0.045016271390544836,-0.009233086023468663,-0.06592065702435443,-0.048276575061693354,-0.0018867246258155483,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9387344766410408,-2.9607979842139214,-0.23072563066920868,-0.09677627831445901,-0.043753406061551516,-0.04692041285353431,-0.00958802955620157,-0.06888549937734458,-0.05051862499505103,-0.0020320605299434377,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9368738644129952,-2.981262529672832,-0.2408362993258305,-0.10090414493423264,-0.04566706220659349,-0.0489110372870752,-0.00998200628976633,-0.07190763003399052,-0.05281592964032062,-0.0021446008066900455,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.93606685463872,-3.000782215541302,-0.25074216186651405,-0.10523715193474392,-0.047472792467017404,-0.05107350261281122,-0.010420267978189167,-0.07503398757939207,-0.05508247042571916,-0.002178735854045632,0.006362,0.01,0.0,0.97,100,14,1,15
