episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.9253139789621553,-5.88906265199395,-3.038539382925004,-1.307062449506248,-0.5623997486627063,-0.9015860491159914,-0.5304548804877723,0.01,0.01,0.2
1,0.9204553097047549,-11.284192243906778,-5.799020311056604,-2.541255211687607,-1.051278099919611,-1.8224769665233158,-1.0195700793413964,0.009708,0.01,0.198006
2,0.9190792119018898,-15.997193463804585,-8.199516083829044,-3.6078806064877327,-1.471884839100688,-2.616918897159156,-1.4638469694441119,0.009432,0.01,0.196032
3,0.9193448547002827,-19.977966457350515,-10.2270695462013,-4.502031927612226,-1.8613909221989722,-3.2684770195327935,-1.8476432082979166,0.009172,0.01,0.194078
4,0.9123815519183619,-24.017731103264722,-12.285170991262975,-5.438853995131186,-2.234246013863193,-3.9565972945206447,-2.228140269890771,0.008925,0.01,0.192143
5,0.9140135917779786,-27.39638559856621,-13.965664664822926,-6.1966256266300315,-2.5442765007731953,-4.503101226878729,-2.561250940541786,0.008692,0.01,0.190228
6,0.921343200552924,-29.85656368061302,-15.173720003429885,-6.74081879410524,-2.773917110061813,-4.935232948464849,-2.8429397690708513,0.00847,0.01,0.188331
7,0.9151699780727449,-32.38261859670675,-16.487187164182377,-7.344909197565269,-3.047098978723869,-5.361852197573357,-3.1294095553348846,0.00826,0.01,0.186454
8,0.926603482477408,-33.900112139043294,-17.180248955793715,-7.694196716167402,-3.1551928799467404,-5.66869367120757,-3.295773663624197,0.008059,0.01,0.184595
9,0.9271595409087858,-35.174850995103114,-17.738985520581892,-7.983047018437162,-3.241017608269651,-5.922655808515278,-3.4934614926884233,0.007868,0.01,0.182755
10,0.9095779520682532,-37.418886655304995,-18.819406642902948,-8.525135379692394,-3.413507409951501,-6.374185846919846,-3.7897864016906286,0.007686,0.01,0.180933
11,0.9223798133611831,-38.749316154241015,-19.41238477300041,-8.817768033505638,-3.5092569678601735,-6.623386714833452,-3.9559190149771477,0.007513,0.01,0.179129
12,0.9167874844060825,-40.073046447216335,-20.00392135556873,-9.141205710467414,-3.598647232789612,-6.887243469858601,-4.145032138354266,0.007346,0.01,0.177343
13,0.9225455095557461,-41.106264573054716,-20.475015929735072,-9.395501458412754,-3.667215256490421,-7.132336919597296,-4.300613714883078,0.007188,0.01,0.175575
14,0.924929962590797,-41.81323035990218,-20.75225569275076,-9.570272735789215,-3.706050083320182,-7.278835557792709,-4.406276302333387,0.007035,0.01,0.173825
15,0.9267445955691214,-42.50044747228778,-21.009636685926285,-9.742434995356717,-3.724553516957901,-7.437518588520688,-4.5332755316478615,0.006889,0.01,0.172092
16,0.9232912114652033,-43.1066148941073,-21.270758668775574,-9.908684099763294,-3.746928424272656,-7.5813225383576714,-4.640161954776253,0.006749,0.01,0.170376
17,0.920420192194018,-43.748464812477394,-21.511764301417582,-10.065492756927123,-3.7690825825296788,-7.744531999343239,-4.752951425575823,0.006615,0.01,0.168678
18,0.9168889185224697,-44.74921288910581,-21.94308193605577,-10.308055675779462,-3.8193070595499097,-7.98086925079214,-4.907709681528356,0.006486,0.01,0.166996
19,0.9221879030615708,-45.34136088830364,-22.152052929702457,-10.45349128328855,-3.8352969215925796,-8.139866442510995,-5.012626504932651,0.006362,0.01,0.165332
