episode,service_level,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity
0,0.9027213952789054,0.24284575046159237,-0.22760878146945432,0.2056501201065173,-0.030391902898477482,-0.04118313665881984,0.43547488130207346,0.29944864433899054
1,0.9174629448498984,0.2103812038150426,-0.3429177173251184,0.009936208203700368,-0.11759208172694947,-0.03428217299895696,0.4179774610883294,0.2791645969398941
2,0.9097805875790257,0.17060726016814784,-0.5007990669664302,-0.2005324303696697,-0.17069190430424194,-0.03737793743867073,0.4045068663392613,0.2548065688506687
3,0.9178444562013454,0.14428702520701264,-0.5978873972985288,-0.34132224899605496,-0.16488293384297906,-0.0371524766612623,0.401829524347283,0.23467782364211212
4,0.9196895058964024,0.12783604352952427,-0.6853739904993852,-0.46084474445106494,-0.18225998680141836,-0.028812992045272982,0.3933617699629891,0.2210018877749451
5,0.9172525894004687,0.10774235149930121,-0.7654133094712723,-0.5721116246033097,-0.1874319656331816,-0.03324479792922266,0.3848668472446999,0.21174200029580323
6,0.908804912254103,0.08400858360921845,-0.8242525193804332,-0.7243962376922718,-0.1652282056987499,-0.03129696577151683,0.382776461146244,0.19789257096788826
7,0.9075976899422485,0.0586963167868042,-0.9188211040541946,-0.8553488399914398,-0.16949370909329423,-0.03738699054021716,0.37767190450872073,0.18542644411028314
8,0.9123358609210283,0.045280631966788956,-0.9884103922051527,-0.9520564173849649,-0.18941702514878397,-0.02980843569088427,0.3737056694169452,0.17682779958932987
9,0.9138812128553583,0.03344296020640479,-1.0443339955536648,-1.0182082770656966,-0.1906999640641931,-0.0225055302290989,0.37394995908105766,0.16727302963027402
10,0.9232079972736567,0.027378476328472793,-1.0954622170079098,-1.0599276306661987,-0.21050183496096012,-0.016832268071871784,0.3701588176488314,0.15831120819740652
11,0.9183736095128501,0.021004557933070492,-1.1285709264098625,-1.1135499378560443,-0.18280699217925667,-0.024121416544567825,0.3739438713150142,0.14637295340474177
12,0.9191696278286889,0.016213868501655224,-1.1737679664084923,-1.1480716298592795,-0.16496943917636864,-0.014402838165058749,0.3739479176805183,0.13926436786680568
13,0.9190768882687884,0.009395549038621522,-1.210003528181715,-1.1780675329214836,-0.15153039233690496,-0.028081381735856035,0.3728582279656618,0.12980167375908333
14,0.9166570958232839,0.0039054333406220473,-1.2441158585405618,-1.2071237622275652,-0.12771204894812965,-0.013607062958342566,0.3733161143418758,0.12086549780770334
15,0.9218545594459407,0.0009372735662132379,-1.2844536238113944,-1.2374610443720837,-0.12479408094594212,-0.020445377280560263,0.3722515509988742,0.11155383849408229
16,0.9210910862152947,-0.006889737270222251,-1.316472475967889,-1.2832858143890469,-0.12080643187671446,-0.02438757594631166,0.3698625311738182,0.10363504755737203
17,0.9263315082130413,-0.005980472234790529,-1.3281182391939086,-1.2881440035090852,-0.10953871820042808,-0.012534089527790906,0.3683005120970702,0.1025272882805517
18,0.9214683486759859,-0.011328747895812813,-1.3491872387575659,-1.3232602127184019,-0.11540545120281936,-0.008938096813188676,0.364856833810768,0.0966708031835026
19,0.9100940391324132,-0.019932407996532054,-1.3817761827455421,-1.3729066042661267,-0.1376411928841983,-0.012191082944086825,0.3570511336289733,0.0923170365737651
20,0.9017518580312452,-0.025610027960699985,-1.4279901904490757,-1.4374988235237167,-0.15174962591292332,-0.01773923650692605,0.35532226477740403,0.08411443897626386
21,0.9254958147952643,-0.027637113546737344,-1.4457323799873816,-1.4456933827943477,-0.13562657068230782,-0.013041599023803035,0.3542283814910975,0.07890157791716507
22,0.9221284879948086,-0.028397729719703124,-1.4498224731010356,-1.4673535493062773,-0.13681600068808047,-0.008791805409699517,0.35421363804808675,0.07666686534234332
23,0.9133119939747694,-0.03303536914531539,-1.4835416072050285,-1.4906312918844147,-0.1249623859133797,-0.015893158388450283,0.35258215974873724,0.0712407236072203
24,0.9175828341799985,-0.0349082071060305,-1.4954632498850573,-1.5055300775183713,-0.10815427655101849,-0.00912653729447813,0.3524902432663064,0.06599043384246882
25,0.9125995736564568,-0.03587001065000629,-1.5185304145018852,-1.5409827990186085,-0.11114439544392563,-0.014085514244319683,0.35033772609938413,0.06338440508153546
26,0.9159017330032375,-0.04015569492270308,-1.5365717321506418,-1.5536893914938361,-0.10355488980727628,-0.0035750192316475666,0.3478119199908608,0.060738107018299244
27,0.9241415623001994,-0.041012603271769296,-1.544154873829237,-1.559343865354919,-0.09749442342498724,-0.018606107717741627,0.344459014945723,0.05673395169747627
28,0.9240159254807693,-0.04246414040569818,-1.5559831380813929,-1.5678169186301527,-0.09724324013739437,-0.014883131784762705,0.3423864552403741,0.053816860552139086
29,0.923420406340701,-0.04454823601192641,-1.5703090073761468,-1.572703006642505,-0.10575825870551758,-0.007902467681219768,0.33882628182355684,0.05251810491016936
