,pearson_r_with_value
rebalancing_imbalance,0.09949069522507654
squared_starvation_penalty,0.16367680793204148
squared_congestion_penalty,0.08948590134122043
exponential_starvation_penalty,0.17003358683725628
exponential_congestion_penalty,0.09070789271430894
starvation_severity_max,0.0509675941211252
congestion_severity_max,0.08223605578108988
starvation_count,0.17848035920393826
congestion_count,0.08424310433487371
gross_starvation_risk,0.09409047752720356
gross_congestion_risk,0.05233544837852876
net_starvation_shortfall,0.16401167143858997
net_congestion_shortfall,0.10266232598154858
destination_starv_ratio,-0.03074908089352886
destination_cong_ratio,-0.031804798342908204
destination_onsite_fraction,0.20948409478988567
destination_travel_penalty,-0.052725923546626176
destination_roi_starvation,-0.03074908089352886
cur_station_onsite_fraction,0.22326166341789172
cur_station_func_deficit,-0.1380394524428753
functional_load_late_pressure,-0.027739366435592237
depot_load_late_pressure,-0.021484324639552563
non_depot_late_load_pressure,-0.030799948730708168
late_depot_return,-0.004665385742952506
depot_slack_fraction,-0.005219631592207367
can_return_to_depot,-0.01295232813549312
depot_return_urgency,-0.006400916554761666
