,mean,std,variance,min,max
rebalancing_imbalance,0.5616624355316162,0.0653306171298027,0.0042680893,0.3296985328197479,0.9339320063591003
squared_starvation_penalty,0.20840424299240112,0.05051590874791145,0.002551857,0.027410918846726418,0.4066610038280487
squared_congestion_penalty,0.13569101691246033,0.03258820250630379,0.001061991,0.04418644309043884,0.2871394753456116
exponential_starvation_penalty,0.1847144067287445,0.049087829887866974,0.002409615,0.02449500560760498,0.38084831833839417
exponential_congestion_penalty,0.11593243479728699,0.030361635610461235,0.00092182896,0.03630208969116211,0.26326724886894226
starvation_severity_max,0.9490445852279663,0.07464628666639328,0.0055720685,0.29720279574394226,1.0
congestion_severity_max,0.841007649898529,0.09472770243883133,0.008973338,0.4049019515514374,1.0
starvation_count,0.10425447672605515,0.05160817131400108,0.0026634035,0.0,0.3283582031726837
congestion_count,0.045263174921274185,0.030367782339453697,0.00092220225,0.0,0.2238806039094925
gross_starvation_risk,0.14648044109344482,0.0851655825972557,0.007253176,0.0,0.5824020504951477
gross_congestion_risk,0.09302286058664322,0.05744342505931854,0.0032997471,0.0,0.3868313431739807
net_starvation_shortfall,0.04792642965912819,0.028732750564813614,0.00082557095,0.0,0.30281469225883484
net_congestion_shortfall,0.02029985375702381,0.012026182375848293,0.00014462906,0.0,0.1486206352710724
destination_starv_ratio,0.13066641986370087,0.26223161816596985,0.06876542,0.0,1.0
destination_cong_ratio,0.05675299093127251,0.13954906165599823,0.01947394,0.0,0.9333333373069763
destination_onsite_fraction,0.00721686752513051,0.02263016626238823,0.0005121244,0.0,0.22727273404598236
destination_travel_penalty,0.006153075955808163,0.004055920988321304,1.6450496e-05,0.0,0.02697775699198246
destination_roi_starvation,0.13066641986370087,0.26223161816596985,0.06876542,0.0,1.0
cur_station_onsite_fraction,0.007610725704580545,0.02251027524471283,0.0005067125,0.0,0.22727273404598236
cur_station_func_deficit,0.20149928331375122,0.22219522297382355,0.049370717,0.0,1.0
functional_load_late_pressure,0.2623768448829651,0.27353155612945557,0.074819505,0.0,1.2204257249832153
depot_load_late_pressure,0.0122927725315094,0.025824114680290222,0.00066688494,-0.28163671493530273,0.298635870218277
non_depot_late_load_pressure,0.25525805354118347,0.28159233927726746,0.07929424,-0.21513248980045319,0.9874671697616577
late_depot_return,0.05076999589800835,0.17977192997932434,0.032317948,0.0,1.0
depot_slack_fraction,0.4515388607978821,0.26942434906959534,0.07258947,0.0,0.9946698546409607
can_return_to_depot,0.99976646900177,0.01527993194758892,0.00023347633,0.0,1.0
depot_return_urgency,0.025292951613664627,0.04785607010126114,0.0022902035,0.0,0.8426023125648499
