,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_travel_penalty,destination_roi_starvation,cur_station_onsite_fraction,cur_station_func_deficit,functional_load_late_pressure,depot_load_late_pressure,non_depot_late_load_pressure,late_depot_return,depot_slack_fraction,can_return_to_depot,depot_return_urgency
rebalancing_imbalance,1.0,0.5777232460114542,0.7575670099144652,0.585072487162133,0.7408546900625751,0.41500262536178917,0.6191649469119864,0.5672027515612432,0.5445330074254482,0.1305762980439082,0.11728806914219188,0.28666446076349167,0.39927692962264716,-0.016485189535515664,0.07757372534688393,0.05997279315881168,-0.08472583783741576,-0.016485189535515664,0.07079762758756192,-0.02947904532246192,-0.06729351989785798,-0.05542723153821737,-0.08252999297470728,0.039070446890568176,0.12418229964465957,-0.009507956362855823,0.013389011003157692
squared_starvation_penalty,0.5777232460114542,1.0,0.2079720165458036,0.9953309408370247,0.2226074449184417,0.7395980314653353,0.3154034363372997,0.8748289715594805,0.2571016246045508,0.3513733082126034,0.3491461066990948,0.3365268831204895,0.4623542660661287,-0.07862108568771088,0.022220449871524602,0.15411700612825086,-0.029383509586434545,-0.07862108568771088,0.19482651010393906,-0.04775487356386425,0.022909951998876826,0.04516173759766233,0.012477100095433243,0.023095310947207046,-0.08188060434708092,0.014718612651463424,-0.12778686609790346
squared_congestion_penalty,0.7575670099144652,0.2079720165458036,1.0,0.22658812674949533,0.9934494876336459,0.18906980828783324,0.8186688656445353,0.28613674149014445,0.7686771857783139,-0.05948195700358777,-0.011069818335198907,0.21143520086602588,0.41558469000216214,0.01966016384378883,0.020847586516760414,-0.020384435598243787,-0.05217264801843395,0.01966016384378883,-0.023413053303073774,-0.023221340751331556,-0.05885639953668353,-0.10993966460034303,-0.07189955049623226,0.036142121322008364,0.09371060662206492,-0.01883548566539786,0.11998443554466216
exponential_starvation_penalty,0.585072487162133,0.9953309408370247,0.22658812674949533,1.0,0.23981889534514006,0.7595117797848496,0.32214627128285866,0.9116364976536357,0.26467235011068085,0.3567356689683362,0.34309595808672755,0.3648671607714449,0.4609163481441108,-0.08060100766001158,0.022668813026718186,0.15662069515112567,-0.030232504358066046,-0.08060100766001158,0.19495257722616197,-0.055850080382570236,0.01085292971801851,0.037144001451190393,0.0006923597490877731,0.019972578109076832,-0.0592277636746362,0.01405940688951935,-0.12834482321047797
exponential_congestion_penalty,0.7408546900625751,0.2226074449184417,0.9934494876336459,0.23981889534514006,1.0,0.19855582328788024,0.8529414076378052,0.2919082026709503,0.8253788766655438,-0.05101770024651564,0.008443420724814073,0.2069996097714442,0.45243568638311255,0.015895167872842637,0.016719775897508442,-0.02248023355221334,-0.04945737738419086,0.015895167872842637,-0.02564841109648053,-0.024281363404003272,-0.050663330124023125,-0.11191001613995313,-0.06395219516472819,0.035300361969747826,0.08215770650364297,-0.017642199141430486,0.11350538815840364
starvation_severity_max,0.41500262536178917,0.7395980314653353,0.18906980828783324,0.7595117797848496,0.19855582328788024,1.0,0.2720782753128547,0.7504016731865075,0.21099566349286267,0.296477294362916,0.28413007783097466,0.3227158119634351,0.35094663484294764,-0.06754565703082925,0.009282861083310846,0.07619731510887813,-0.00514193116815359,-0.06754565703082925,0.09443643674131937,-0.03209033630682537,-0.007902730101090357,-0.00268266489797048,-0.015504561227681008,0.008129720546411569,-0.02763726951558557,0.007199134596585333,-0.08424741209124743
congestion_severity_max,0.6191649469119864,0.3154034363372997,0.8186688656445353,0.32214627128285866,0.8529414076378052,0.2720782753128547,1.0,0.32212761567616677,0.8188771729997435,0.014697195653894712,0.0898085513286725,0.19128868360945622,0.5105508835562538,0.0030989125664431204,-0.002198292154628866,-0.0037351531695119827,-0.0305006133941571,0.0030989125664431204,0.001708178516331239,-0.01997642127264095,9.020018644608024e-05,-0.07910418434897981,-0.011597106927552194,0.03148105484681643,-0.013776075437479015,-0.008862829104805212,0.0825460444145219
starvation_count,0.5672027515612432,0.8748289715594805,0.28613674149014445,0.9116364976536357,0.2919082026709503,0.7504016731865075,0.32212761567616677,1.0,0.27146777605038735,0.3314761945967436,0.2779588539602763,0.4278278005231291,0.40855731570659504,-0.07795898509042583,0.024436931621066093,0.15349254100783682,-0.03289167994518267,-0.07795898509042583,0.17765475526230456,-0.08215936068934865,-0.03008800376849386,0.004857620800092721,-0.03847071504896144,0.007623161317724884,0.025873291148388777,0.00931940498024027,-0.10922461350119407
congestion_count,0.5445330074254482,0.2571016246045508,0.7686771857783139,0.26467235011068085,0.8253788766655438,0.21099566349286267,0.8188771729997435,0.27146777605038735,1.0,0.001326387298257292,0.09069114056699203,0.15710116623325376,0.5099080523534963,-0.004014859404122805,-0.002235364297383283,-0.01985620853686909,-0.031107841318285052,-0.004014859404122805,-0.025967066823462618,-0.024527681207982526,-0.010165332889299142,-0.0999523997859162,-0.02215282653707427,0.025593953659991134,0.01924478127906485,-0.008363999946472717,0.06232727188334247
gross_starvation_risk,0.1305762980439082,0.3513733082126034,-0.05948195700358777,0.3567356689683362,-0.05101770024651564,0.296477294362916,0.014697195653894712,0.3314761945967436,0.001326387298257292,1.0,0.7732599028045604,0.7546354199714493,0.41941402746252265,0.03481860978144318,-0.027292719526527388,0.05382299881733697,0.01589880812999677,0.03481860978144318,0.09330075151981598,-0.08119715609024358,-0.23046980105360265,-0.11297330762608537,-0.22417846629966479,-0.06389817415082918,0.36719497889946234,0.020009218119599034,-0.3202281895331071
