,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_travel_penalty,destination_roi_starvation,cur_station_onsite_fraction,cur_station_func_deficit,functional_load_late_pressure,depot_load_late_pressure,non_depot_late_load_pressure,late_depot_return,depot_slack_fraction,can_return_to_depot,depot_return_urgency
gross_congestion_risk,0.11728806914219188,0.3491461066990948,-0.011069818335198907,0.34309595808672755,0.008443420724814073,0.28413007783097466,0.0898085513286725,0.2779588539602763,0.09069114056699203,0.7732599028045604,1.0,0.3990725222140794,0.6782896167351692,0.00579504501369885,-0.06745196104118097,-0.019194579883366283,0.022810221158869503,0.00579504501369885,0.02578006621223843,-0.04390213100511974,-0.22176453966968268,-0.1359518271870161,-0.21863942678730142,-0.04129050348605434,0.2720005857616742,0.01977340919484872,-0.31355507727282156
net_starvation_shortfall,0.28666446076349167,0.3365268831204895,0.21143520086602588,0.3648671607714449,0.2069996097714442,0.3227158119634351,0.19128868360945622,0.4278278005231291,0.15710116623325376,0.7546354199714493,0.3990725222140794,1.0,0.3280302389723569,0.06816151442035609,0.006228323108167015,0.12516020607131892,-0.01547012577714181,0.06816151442035609,0.14187146673318793,-0.12166780356269231,-0.18078237824705728,-0.08253475259012229,-0.17556446850754318,-0.05671905282890835,0.35044808802502503,0.012195398177046266,-0.1868035156393549
net_congestion_shortfall,0.39927692962264716,0.4623542660661287,0.41558469000216214,0.4609163481441108,0.45243568638311255,0.35094663484294764,0.5105508835562538,0.40855731570659504,0.5099080523534963,0.41941402746252265,0.6782896167351692,0.3280302389723569,1.0,-0.0022652026891447903,-0.04778796490611531,-0.0064912001598499015,-0.006779138185425,-0.0022652026891447903,0.024490431227721564,-0.042663287160093044,-0.1199161605539721,-0.10890544298402821,-0.12405425339902683,-0.005920430770260197,0.11550836121127546,0.013143405287346135,-0.17247479977626104
destination_starv_ratio,-0.016485189535515664,-0.07862108568771088,0.01966016384378883,-0.08060100766001158,0.015895167872842637,-0.06754565703082925,0.0030989125664431204,-0.07795898509042583,-0.004014859404122805,0.03481860978144318,0.00579504501369885,0.06816151442035609,-0.0022652026891447903,1.0,-0.20264734258948203,-0.04487887726166708,0.14698411360203384,1.0,-0.005122953405994927,-0.045820289489370544,-0.23642659595107277,0.02982704883786346,-0.19257396690158385,-0.1407227532622692,-0.01404798453873647,0.007615558933065871,0.10515756964668967
destination_cong_ratio,0.07757372534688393,0.022220449871524602,0.020847586516760414,0.022668813026718186,0.016719775897508442,0.009282861083310846,-0.002198292154628866,0.024436931621066093,-0.002235364297383283,-0.027292719526527388,-0.06745196104118097,0.006228323108167015,-0.04778796490611531,-0.20264734258948203,1.0,-0.007019480467738393,-0.010755573804387606,-0.20264734258948203,-0.019609382573617634,0.11819031995941558,0.3891779903205507,0.025931434845178222,0.408450670278323,-0.11485428957708117,0.00803747028644227,0.00621562320742397,0.024634896456386078
destination_onsite_fraction,0.05997279315881168,0.15411700612825086,-0.020384435598243787,0.15662069515112567,-0.02248023355221334,0.07619731510887813,-0.0037351531695119827,0.15349254100783682,-0.01985620853686909,0.05382299881733697,-0.019194579883366283,0.12516020607131892,-0.0064912001598499015,-0.04487887726166708,-0.007019480467738393,1.0,-0.025324425745345335,-0.04487887726166708,0.181362779981139,-0.07903109719658714,0.012280035142427937,0.06046801067141459,0.03945758593394618,-0.0900629914026712,-0.0196641767811847,0.004873980950426934,0.019276974549943798
destination_travel_penalty,-0.08472583783741576,-0.029383509586434545,-0.05217264801843395,-0.030232504358066046,-0.04945737738419086,-0.00514193116815359,-0.0305006133941571,-0.03289167994518267,-0.031107841318285052,0.01589880812999677,0.022810221158869503,-0.01547012577714181,-0.006779138185425,0.14698411360203384,-0.010755573804387606,-0.025324425745345335,1.0,0.14698411360203384,-0.020682110493052352,0.04301349006832059,-0.011046120638946041,-0.01705427193934024,0.0388922478607384,-0.20568898972370506,-0.013641963803887248,0.014731183228134045,0.13430244534571223
destination_roi_starvation,-0.016485189535515664,-0.07862108568771088,0.01966016384378883,-0.08060100766001158,0.015895167872842637,-0.06754565703082925,0.0030989125664431204,-0.07795898509042583,-0.004014859404122805,0.03481860978144318,0.00579504501369885,0.06816151442035609,-0.0022652026891447903,1.0,-0.20264734258948203,-0.04487887726166708,0.14698411360203384,1.0,-0.005122953405994927,-0.045820289489370544,-0.23642659595107277,0.02982704883786346,-0.19257396690158385,-0.1407227532622692,-0.01404798453873647,0.007615558933065871,0.10515756964668967
cur_station_onsite_fraction,0.07079762758756192,0.19482651010393906,-0.023413053303073774,0.19495257722616197,-0.02564841109648053,0.09443643674131937,0.001708178516331239,0.17765475526230456,-0.025967066823462618,0.09330075151981598,0.02578006621223843,0.14187146673318793,0.024490431227721564,-0.005122953405994927,-0.019609382573617634,0.181362779981139,-0.020682110493052352,-0.005122953405994927,1.0,-0.05197320435152343,-0.009099863309471747,0.10069319255331013,-0.004579949006241674,0.005732390047452869,-0.04713554424600293,0.0015537233944982046,0.0014350391090425557
cur_station_func_deficit,-0.02947904532246192,-0.04775487356386425,-0.023221340751331556,-0.055850080382570236,-0.024281363404003272,-0.03209033630682537,-0.01997642127264095,-0.08215936068934865,-0.024527681207982526,-0.08119715609024358,-0.04390213100511974,-0.12166780356269231,-0.042663287160093044,-0.045820289489370544,0.11819031995941558,-0.07903109719658714,0.04301349006832059,-0.045820289489370544,-0.05197320435152343,1.0,0.04372721923118083,0.020810838755628825,0.015814271312463993,0.02597598870561984,-0.1446009587161588,0.0032288230774074928,0.07676190949084093
functional_load_late_pressure,-0.06729351989785798,0.022909951998876826,-0.05885639953668353,0.01085292971801851,-0.050663330124023125,-0.007902730101090357,9.020018644608024e-05,-0.03008800376849386,-0.010165332889299142,-0.23046980105360265,-0.22176453966968268,-0.18078237824705728,-0.1199161605539721,-0.23642659595107277,0.3891779903205507,0.012280035142427937,-0.011046120638946041,-0.23642659595107277,-0.009099863309471747,0.04372721923118083,1.0,0.07747964710101297,0.9508866079919431,-0.021306223832595637,-0.5177766824913245,-0.013939281155941004,0.3148290108116423
depot_load_late_pressure,-0.05542723153821737,0.04516173759766233,-0.10993966460034303,0.037144001451190393,-0.11191001613995313,-0.00268266489797048,-0.07910418434897981,0.004857620800092721,-0.0999523997859162,-0.11297330762608537,-0.1359518271870161,-0.08253475259012229,-0.10890544298402821,0.02982704883786346,0.025931434845178222,0.06046801067141459,-0.01705427193934024,0.02982704883786346,0.10069319255331013,0.020810838755628825,0.07747964710101297,1.0,0.15096846971061506,0.04482891262290434,-0.2790016755618957,-0.0005549876754289875,0.12485166951317297
non_depot_late_load_pressure,-0.08252999297470728,0.012477100095433243,-0.07189955049623226,0.0006923597490877731,-0.06395219516472819,-0.015504561227681008,-0.011597106927552194,-0.03847071504896144,-0.02215282653707427,-0.22417846629966479,-0.21863942678730142,-0.17556446850754318,-0.12405425339902683,-0.19257396690158385,0.408450670278323,0.03945758593394618,0.0388922478607384,-0.19257396690158385,-0.004579949006241674,0.015814271312463993,0.9508866079919431,0.15096846971061506,1.0,-0.25600239778969563,-0.4961311086859101,0.013854201272898046,0.3537002563808535
late_depot_return,0.039070446890568176,0.023095310947207046,0.036142121322008364,0.019972578109076832,0.035300361969747826,0.008129720546411569,0.03148105484681643,0.007623161317724884,0.025593953659991134,-0.06389817415082918,-0.04129050348605434,-0.05671905282890835,-0.005920430770260197,-0.1407227532622692,-0.11485428957708117,-0.0900629914026712,-0.20568898972370506,-0.1407227532622692,0.005732390047452869,0.02597598870561984,-0.021306223832595637,0.04482891262290434,-0.25600239778969563,1.0,-0.14555942948198888,-0.08069979237301769,-0.14926151447770902
depot_slack_fraction,0.12418229964465957,-0.08188060434708092,0.09371060662206492,-0.0592277636746362,0.08215770650364297,-0.02763726951558557,-0.013776075437479015,0.025873291148388777,0.01924478127906485,0.36719497889946234,0.2720005857616742,0.35044808802502503,0.11550836121127546,-0.01404798453873647,0.00803747028644227,-0.0196641767811847,-0.013641963803887248,-0.01404798453873647,-0.04713554424600293,-0.1446009587161588,-0.5177766824913245,-0.2790016755618957,-0.4961311086859101,-0.14555942948198888,1.0,0.025614220898471558,-0.4901315075441862
can_return_to_depot,-0.009507956362855823,0.014718612651463424,-0.01883548566539786,0.01405940688951935,-0.017642199141430486,0.007199134596585333,-0.008862829104805212,0.00931940498024027,-0.008363999946472717,0.020009218119599034,0.01977340919484872,0.012195398177046266,0.013143405287346135,0.007615558933065871,0.00621562320742397,0.004873980950426934,0.014731183228134045,0.007615558933065871,0.0015537233944982046,0.0032288230774074928,-0.013939281155941004,-0.0005549876754289875,0.013854201272898046,-0.08069979237301769,0.025614220898471558,1.0,0.00807765505997329
depot_return_urgency,0.013389011003157692,-0.12778686609790346,0.11998443554466216,-0.12834482321047797,0.11350538815840364,-0.08424741209124743,0.0825460444145219,-0.10922461350119407,0.06232727188334247,-0.3202281895331071,-0.31355507727282156,-0.1868035156393549,-0.17247479977626104,0.10515756964668967,0.024634896456386078,0.019276974549943798,0.13430244534571223,0.10515756964668967,0.0014350391090425557,0.07676190949084093,0.3148290108116423,0.12485166951317297,0.3537002563808535,-0.14926151447770902,-0.4901315075441862,0.00807765505997329,1.0
