Duration,Events,Trips,Random trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,102156,50725,650,11588,33260,11588,33260,600,9352,5877,5373,174,330,0,3475,2508,113,29.17,10237,2914.64,5983,2712.82,0,0,987,1671,1686,0,0,0,0,10
10080,102931,51136,656,11991,33393,11989,33392,572,9064,5752,5279,113,360,0,3312,2527,90,17.53,10110,2867.64,5839,2574.19,0,0,1005,1725,1729,0,0,0,0,11
10080,103779,51015,651,12007,33532,12005,33526,609,9344,5476,5052,135,289,0,3868,2748,115,30.07,9633,2735.48,6616,2937.16,0,0,968,1714,1724,0,0,0,0,12
10080,102234,50703,703,11679,33212,11679,33209,622,9331,5812,5353,125,334,0,3519,2499,107,25.48,9894,2817.37,6018,2715.92,0,0,939,1679,1701,0,0,0,0,13
10080,101793,50599,674,11698,32544,11697,32543,586,10080,6357,5692,238,427,0,3723,2643,131,33.44,10379,2967.9,6366,2845.2,0,0,910,1743,1775,0,0,0,0,14
10080,102651,50860,651,11693,33050,11693,33046,578,10054,6117,5481,195,441,0,3937,2533,127,29.0,10107,2880.6,6470,2983.35,0,0,940,1726,1738,0,0,0,0,15
10080,103379,51098,637,11737,33598,11736,33595,633,9474,5763,5209,147,407,0,3711,2602,105,23.49,10086,2872.06,6313,2799.99,0,0,987,1684,1704,0,0,0,0,16
10080,102253,50585,615,11717,32886,11717,32883,591,9958,5982,5372,177,433,0,3976,2498,155,39.29,10196,2916.43,6474,2988.93,0,0,951,1676,1690,0,0,0,0,17
10080,103077,51096,670,11689,33401,11688,33399,584,9628,6006,5502,197,307,0,3622,2685,157,36.95,10257,2904.28,6307,2745.72,0,0,930,1753,1783,0,0,0,0,18
10080,103045,51195,695,12085,33197,12085,33190,595,9392,5913,5347,165,401,0,3479,2494,122,30.48,10353,2944.12,5973,2676.01,0,0,851,1740,1731,0,0,0,0,19
