Duration,Events,Trips,Random trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,84759,52706,234,11667,12300,11665,12300,2218,32229,28739,16704,173,11862,0,3490,2378,129,31.36,7979,1108.83,5868,2637.4,0,0,0,0,0,0,0,0,0,10
10080,85093,52386,248,11621,11837,11621,11837,2229,33127,28928,17024,243,11661,0,4199,2821,146,34.28,7651,1068.58,7020,3212.34,0,0,0,0,0,0,0,0,0,11
10080,85365,52836,258,12056,12392,12055,12392,2172,31668,28388,16547,128,11713,0,3280,2629,81,18.08,7990,1125.68,5909,2550.47,0,0,0,0,0,0,0,0,0,12
10080,85239,52564,240,11786,12147,11783,12147,2174,32482,28631,17693,124,10814,0,3851,2717,126,28.7,7897,1099.95,6568,2959.61,0,0,0,0,0,0,0,0,0,13
10080,84744,52544,231,11590,12202,11590,12202,2175,32370,28752,17632,192,10928,0,3618,2615,158,38.11,7833,1094.88,6233,2788.31,0,0,0,0,0,0,0,0,0,14
10080,85273,52537,237,11694,12010,11694,12010,2185,32944,28833,16512,184,12137,0,4111,2736,121,29.62,7770,1091.44,6847,3169.53,0,0,0,0,0,0,0,0,0,15
10080,84829,52390,216,11672,12309,11672,12309,2202,32080,28409,16517,214,11678,0,3671,2585,114,27.32,8085,1126.83,6256,2794.31,0,0,0,0,0,0,0,0,0,16
10080,84079,52166,267,11360,11943,11360,11943,2199,32649,28863,17529,228,11106,0,3786,2625,144,41.37,7675,1073.94,6411,2855.92,0,0,0,0,0,0,0,0,0,17
10080,86311,53046,254,12019,12179,12018,12179,2151,32928,28848,17196,125,11527,0,4080,2836,111,27.52,8028,1121.99,6916,3168.35,0,0,0,0,0,0,0,0,0,18
10080,85126,52335,257,11552,12591,11551,12591,2214,32103,28192,15835,172,12185,0,3911,2523,104,24.53,8114,1129.54,6434,2962.52,0,0,0,0,0,0,0,0,0,19
