Accumulated time to find action,Accumulated time to find location,Accumulated action time,Accumulated driving time,Accumulated solution time,Accumulated time to find helping actions,Number of get_best_action
0,0,3327.0,16844.966073154894,0,0,0
0,0,3358.5,16828.49018563594,0,0,0
0,0,3258.0,16928.159123500103,0,0,0
0,0,3261.0,16920.031871556857,0,0,0
0,0,3277.5,16892.40009067919,0,0,0
0,0,3292.5,16886.08609660626,0,0,0
0,0,3303.0,16875.73916152026,0,0,0
0,0,3298.5,16880.380828083406,0,0,0
0,0,3256.5,16910.207919792596,0,0,0
0,0,3336.0,16844.984256296866,0,0,0
