episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,maintenance_restoration_value,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9293164743761739,-2.5376858500672053,-0.018964476793440602,-0.008453340001242163,-0.0029650755176748203,-0.003961931255459201,-0.0004818103528732275,-0.005922533033730517,-0.004504474941871363,-0.0001611098620581158,-0.001470393662706972,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9270521795792885,-2.575078149935121,-0.03757583253804235,-0.016913543995162785,-0.005681622062983463,-0.007903133568837843,-0.0008125792290719871,-0.011544344550301351,-0.00877227188116835,-0.0003063009641345752,-0.0026000950792916845,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.928455311803449,-2.6079643948829565,-0.05426935506463546,-0.024575603589532716,-0.008449725384101084,-0.011883140466699879,-0.0013712762274467381,-0.017101144633876592,-0.012759770483080728,-0.0004024484141531163,-0.003845525656200617,0.009432,0.01,0.0,0.97,100,14,1,15
3,0.9362937917412919,-2.6384676329410914,-0.06949152865636711,-0.03138302810850142,-0.010924789183811803,-0.015090626542902632,-0.0018131644800084405,-0.021929021180615776,-0.016282909141594016,-0.0004894008108774319,-0.004481161374797641,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9249531889509354,-2.6750656102966097,-0.08739251635655226,-0.039503319398245175,-0.013520777010865407,-0.019027117646348315,-0.0022449827497665028,-0.02760243187722615,-0.02049694016816427,-0.0006145481816879262,-0.0056309843996173595,0.008925,0.01,0.0,0.97,100,14,1,15
5,0.9311389270055892,-2.706552519138034,-0.10275592734606726,-0.046313989220259776,-0.015930645989698948,-0.022247082271038814,-0.0026190859171862525,-0.032169684227527744,-0.023936359832923516,-0.0007261422337985224,-0.007116881367841191,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9290176702118751,-2.7386617312013057,-0.11869494594546225,-0.05363442604678195,-0.018329819073998947,-0.025760995338832585,-0.0030411028996007476,-0.03723812275952779,-0.027431025074808747,-0.0008492777375115533,-0.007753432215663248,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9263509006004003,-2.7718391111613836,-0.13526947285542743,-0.06115100485123391,-0.020923161886948122,-0.029539356258605667,-0.0035048241971284656,-0.04260393151178105,-0.031237165192823033,-0.0009550249700430054,-0.009079785441832914,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9300471554093022,-2.801262832372208,-0.14995248094010893,-0.06796371845750483,-0.023174421600067583,-0.032872777262641074,-0.00388971180989851,-0.047414639121371976,-0.03465487742557224,-0.001055469273153846,-0.010054850494791058,0.008059,0.01,0.0,0.97,100,14,1,15
9,0.9329390217263455,-2.8242651498977707,-0.1610319913251174,-0.07314495990483168,-0.024878139654123464,-0.03553540226656207,-0.004260371237697939,-0.051479891563589425,-0.037535436489215535,-0.001143175926621577,-0.010703085945275448,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9200853408594564,-2.852712387449231,-0.17565373944928617,-0.0803125015425782,-0.02705025133974119,-0.039352887416966326,-0.004579305949487762,-0.056595879097147375,-0.04126246435282533,-0.0012675925718381204,-0.011966580090883415,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9220298487372335,-2.8660254646116754,-0.18361378466529066,-0.08521610624963198,-0.02806775190223447,-0.04205797803347059,-0.004812553269011567,-0.060942103479936005,-0.04407239304076066,-0.0005652618890208271,-0.012651991217771205,0.007513,0.01,0.0,0.97,100,15,1,16
12,0.9303929836397369,-2.892488398768686,-0.19665639386865433,-0.09108145984216694,-0.030052046401633864,-0.04494116918628416,-0.005121950927198164,-0.06502830279767152,-0.047061322557847736,-0.0006451419815847794,-0.013218854817778927,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9251008742434432,-2.921338806177782,-0.21097615960277918,-0.09770709307442138,-0.0321493535213695,-0.04811710694998615,-0.00546486977163453,-0.06963153142481043,-0.05029408448141599,-0.0007314332962589243,-0.013980428870098151,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9290395744042159,-2.9475737429671063,-0.22399837995634372,-0.10375314999628286,-0.03396566087347897,-0.05108780467800356,-0.005704606570824138,-0.0739391142687223,-0.05316385502429049,-0.0008255250348921299,-0.014860463221456136,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.9316609577540467,-2.971727141047735,-0.23599094519869088,-0.10925777598785587,-0.03570719154375264,-0.05371327474917583,-0.005943410032793696,-0.07781493928404662,-0.05594101637890948,-0.0008940901532567902,-0.015492000848091908,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9242793512059837,-2.9985515058263505,-0.24957316252458103,-0.11557940146119094,-0.037733322377693605,-0.05690031912929763,-0.00625402044399798,-0.08200443505998749,-0.059097436436260496,-0.0009947828679140636,-0.01599887791802359,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9296274393849793,-3.022123987116087,-0.2611246517509073,-0.12069589490921573,-0.039557887616290095,-0.05937977726623148,-0.006545611144877969,-0.0856098528976506,-0.06166643015473842,-0.0010711951701932215,-0.016576707475692055,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9312896934540181,-3.044962201655763,-0.27238796484618305,-0.1257495999775981,-0.0412711501527819,-0.061802345170261265,-0.00679876692207753,-0.08912040123143179,-0.06425955713071074,-0.0011638770478555362,-0.01717357771272319,0.006486,0.01,0.0,0.97,100,14,1,15
