episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,maintenance_restoration_value,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
19,0.9295784217141693,-3.067727661980272,-0.28355219544905397,-0.13088817259915222,-0.04291097486210888,-0.06429526177520538,-0.007047839327412673,-0.09287210124234452,-0.06674759455655141,-0.0012401534226044277,-0.017790379333963362,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9259203581212,-3.0917856489621247,-0.295816433902375,-0.13646233462570206,-0.04485648684465164,-0.06706871930395018,-0.007388115977460592,-0.0966722706521662,-0.06970070441256905,-0.0013396428141488643,-0.018371447569476715,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9287786997912743,-3.1143999345627726,-0.30690419205330993,-0.14164281573684728,-0.04644837234892079,-0.06958218042223371,-0.007627695847979121,-0.10034531331923711,-0.07236091901580391,-0.0014188663858508436,-0.01889472318695238,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.9308610201216658,-3.1358680158404577,-0.3174363277763023,-0.14633723722483244,-0.04809097140602468,-0.07176747096723948,-0.00789095984695525,-0.10367272774066255,-0.07484347438317697,-0.0015000835866228637,-0.019523073453594622,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9293709122783359,-3.1568985041753708,-0.3277662148882046,-0.1509459830962504,-0.049687398406175996,-0.07395456017269147,-0.008141961765748374,-0.10692565620671993,-0.07727812526475102,-0.001575946469510763,-0.02006544206631631,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9264044756735156,-3.178739723282663,-0.3388420927275172,-0.15611813479635045,-0.0513301090817239,-0.07649705537832528,-0.008379262882091074,-0.11034912581163153,-0.07987985891504866,-0.001650288543026752,-0.02073902435522678,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.9273015284541886,-3.1992369072313713,-0.3488898653997092,-0.1606900516942338,-0.05285534151871711,-0.07870213803835033,-0.008676094688850354,-0.1136231011278357,-0.08232799942974948,-0.0017232699554073439,-0.021274567766843677,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9252559956884937,-3.2205448250267388,-0.35933388270668626,-0.16546467026751163,-0.054413200945840116,-0.08100911121769863,-0.008928410483400148,-0.1169164481055053,-0.08477548460425058,-0.001798911985463893,-0.02209693920431901,0.00561,0.01,0.0,0.97,100,14,1,15
27,0.9300772663691468,-3.2402164593537353,-0.36919886080687025,-0.16993816677569143,-0.055927292506399946,-0.08327566385318527,-0.009161339097621846,-0.12005651755231345,-0.08705996753352202,-0.001860021808240247,-0.022598245248055513,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9357759563761213,-3.2576424730667783,-0.3778333184757578,-0.17369068320726086,-0.05735666683275292,-0.0849991404617031,-0.009400813011265663,-0.12274144951768486,-0.08914206465088746,-0.0019115253581442183,-0.023152554737945776,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9277765692196991,-3.277151666974356,-0.38724187061601684,-0.17797829568411022,-0.058685469902419664,-0.086999673715793,-0.009604599997610647,-0.1257887634776661,-0.09135839122742494,-0.0019769614310035095,-0.023963854551190884,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.9214151055554612,-3.2982562902706145,-0.39770143796952,-0.18281343406774495,-0.060205583125066735,-0.08944522316161342,-0.009816945776073196,-0.12902300573251194,-0.0936496301304271,-0.0020420339273115483,-0.02439908696208496,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9274934161658451,-3.3172350643219914,-0.40733907002034647,-0.18714169501902794,-0.061778724651169785,-0.09157818823264953,-0.010141902312707306,-0.13196874942105338,-0.095919283511485,-0.0021099579527934435,-0.024950869174714643,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9324818743286788,-3.333219047397198,-0.4151987205405633,-0.19081441295915108,-0.06300870745088158,-0.09334344013572857,-0.010335017623218807,-0.13441266678734948,-0.09784987958225809,-0.0021178239840537925,-0.0256229380015179,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9235236353785724,-3.3526663855396195,-0.4250177001700576,-0.19542941223203644,-0.06445283175708344,-0.09569738633147816,-0.010585293540395554,-0.13763965712913806,-0.10010573287758698,-0.002196534824168375,-0.026397506201202216,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9266411844235616,-3.371220047270753,-0.43426207094083624,-0.19958348917687885,-0.06587657071706844,-0.09777696798028963,-0.010810162893768394,-0.14042770149906594,-0.10224378990461477,-0.002252292075769334,-0.02690376932360732,0.004942,0.01,0.0,0.97,100,14,1,15
35,0.9307053028892538,-3.3863057282941544,-0.4416951848603218,-0.2028463174244158,-0.06717520748590983,-0.09928324195758478,-0.011065715947259734,-0.1427268179507113,-0.10396338134348133,-0.0022557872907953513,-0.027487683118603248,0.00487,0.01,0.0,0.97,100,14,1,15
36,0.9258615452121376,-3.4043157040145133,-0.45062406576437064,-0.20679844289265747,-0.06856261590364456,-0.10117485864441408,-0.011271426144666368,-0.1454956244323975,-0.10605609491680959,-0.0023157996165545755,-0.02823733983830578,0.004799,0.01,0.0,0.97,100,14,1,15
37,0.931506383557452,-3.4200571181401966,-0.45834814523670186,-0.2103722270815323,-0.06971082492932401,-0.10295498259373423,-0.011425774749636994,-0.14804877658298862,-0.10789233236103762,-0.002352484387467461,-0.028752396269688636,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.9258836561377597,-3.437719439378064,-0.46703488281624356,-0.2144205776011475,-0.0709165698973996,-0.10488969509845528,-0.011617475275525629,-0.15103619975699234,-0.1098424018395563,-0.0023941340533847467,-0.029344351729145825,0.004665,0.01,0.0,0.97,100,14,1,15
39,0.9296582730795685,-3.4541279855945795,-0.4752678869570375,-0.21815180357799543,-0.07221719065372034,-0.10675322889630512,-0.01189859746637943,-0.15359985024615963,-0.11175397072921134,-0.00243328126505335,-0.029881412044181065,0.0046,0.01,0.0,0.97,100,14,1,15
40,0.9272545424237373,-3.4709111641819512,-0.4836042237515202,-0.2219261277681068,-0.07348891514088926,-0.10860584841808732,-0.012082877201944786,-0.15632556996765265,-0.11372125227680899,-0.0024864441685606936,-0.03032105084096061,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.9304189986386326,-3.4864760467263936,-0.49141757070052683,-0.22563338398924407,-0.0745927147605221,-0.1104982259863041,-0.012227833160281887,-0.1589154014196949,-0.11556755988533544,-0.0025357256853468114,-0.031004420592864245,0.004476,0.01,0.0,0.97,100,14,1,15
42,0.9312403568793184,-3.5015603026808515,-0.49898730590929763,-0.22918202635942594,-0.0757232417770472,-0.11226905743572502,-0.012452135208657674,-0.16129744413109476,-0.11732906883617907,-0.0025865203083540026,-0.03158760856059806,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9325239085239085,-3.516561106693407,-0.5064544414285261,-0.23255692125185487,-0.07689564905987527,-0.11380830590168758,-0.01264117745421562,-0.16354504614584434,-0.11903723543049657,-0.0026074668088752646,-0.03208351203641939,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.926634581523653,-3.5324032080912073,-0.5143049861931647,-0.2362394694229199,-0.07801710803984523,-0.11563041534626534,-0.012819262971658437,-0.1660661340152438,-0.12086756625313852,-0.0026596366872736047,-0.03253333351541771,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9314761824608652,-3.5464126163399823,-0.5212754270159429,-0.23938374613027094,-0.07912473735813501,-0.1171422702589727,-0.013012552034714462,-0.16820632880171277,-0.12254742289577282,-0.0027127394835356217,-0.03288709770762302,0.004247,0.01,0.0,0.97,100,14,1,15
46,0.9243835708410963,-3.5625618866776083,-0.5291462264056284,-0.2431276497033848,-0.08018293695881169,-0.11893780481934046,-0.013170892894466128,-0.17101958302326867,-0.12453286098817819,-0.002763696790724407,-0.03320406231392773,0.004194,0.01,0.0,0.97,100,14,1,15
47,0.9326677852348993,-3.5763764405717446,-0.5360703094655416,-0.2461625383067069,-0.0813363885944871,-0.12042228887157162,-0.013356088077051558,-0.17313552220240463,-0.12600278807746262,-0.0028146240324329708,-0.033690721813451244,0.004141,0.01,0.0,0.97,100,14,1,15
48,0.9290475952986551,-3.5909799460233227,-0.543447097845875,-0.24955125815889614,-0.08252596712170672,-0.12207507267679327,-0.013597714329867732,-0.17552680332415044,-0.12770326584169409,-0.0028500123547754727,-0.03422195257298841,0.00409,0.01,0.0,0.97,100,14,0,14
49,0.9302944545515801,-3.604902469920502,-0.550401361032453,-0.2527271752750966,-0.08361348014232817,-0.12366330644376057,-0.013793955203652493,-0.1777850424194071,-0.12923786791623704,-0.0029055056017319395,-0.034737522288915954,0.004041,0.01,0.0,0.97,100,14,1,15
50,0.9299976509278834,-3.6187059717798453,-0.5572679980495415,-0.2559253402431039,-0.08463732014806698,-0.12522897698343818,-0.013993470259535859,-0.18003616859370764,-0.13095862035583633,-0.0029510935218362453,-0.035195930370571935,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9269454827086911,-3.633065305020901,-0.5643640945701786,-0.2591404914101748,-0.08572719559643162,-0.12679447912766478,-0.014177263718364178,-0.18241098829399555,-0.13270814198081274,-0.0029868857684025754,-0.035461191061859486,0.003945,0.01,0.0,0.97,100,14,1,15
52,0.9263799571275455,-3.6471737117228185,-0.5713445708087654,-0.26225467104612377,-0.08686488008387278,-0.12826928819307246,-0.014371191803167052,-0.18465913588178354,-0.13436602661387007,-0.003034877934278492,-0.03577977891846526,0.003898,0.01,0.0,0.97,100,14,1,15
53,0.9242733726225556,-3.6620415117417493,-0.5786515467036257,-0.26559986469928204,-0.08799725923940267,-0.12985546649073665,-0.01455496472083969,-0.18711244192415818,-0.13619754242079082,-0.003079501533330273,-0.03617294700120591,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9274856548437972,-3.675632572583945,-0.5855216505071773,-0.268778498193396,-0.08902038921047681,-0.1314808098074448,-0.014716535835847129,-0.18931291837085099,-0.13778209542083858,-0.003123748914243355,-0.03669292526267879,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9306418392806309,-3.6880102783476896,-0.5916283652775667,-0.2715712304522526,-0.09003452938717636,-0.13285359672502467,-0.014910202454327412,-0.19122060217732473,-0.1391979986766747,-0.003168057438274659,-0.03712789354868569,0.003766,0.01,0.0,0.97,100,14,1,15
56,0.9356402315874512,-3.696726921828375,-0.5959985928139858,-0.2737505136124337,-0.0907468921183131,-0.1339431587795889,-0.01506368255094954,-0.1930092984348135,-0.14047802841268645,-0.00320527180311186,-0.03745078353558165,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9229272220917357,-3.7107872422043138,-0.6028668732261133,-0.2769978697626081,-0.09171495080110315,-0.1355153380468371,-0.015211360747133047,-0.1953096073508521,-0.14215257790598068,-0.0032594964158033294,-0.037956391245298156,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9244153791839685,-3.7244186794052907,-0.6095972451238924,-0.2800877465905828,-0.09270243611060057,-0.13706171638675066,-0.015310968735271694,-0.19746532921259463,-0.14370065077500274,-0.0033028773661229237,-0.038372519019130004,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.925292985240974,-3.737747003227341,-0.6162857444596972,-0.28325910568029733,-0.09359854833061748,-0.13860230616239338,-0.015447276062036223,-0.19969186143203627,-0.1453423984474494,-0.0033432110144533947,-0.0386720805122352,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9312899624479853,-3.7496418575665933,-0.6222489782120625,-0.28605602238390004,-0.09449516361813746,-0.14000931473480782,-0.015580188903194599,-0.20167365766440346,-0.14677816184217907,-0.0033828718138300988,-0.039138378724165306,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9338033357894032,-3.760981701302505,-0.6280510407689585,-0.2886458977504556,-0.09546237208973303,-0.14129023099340868,-0.01573480272464631,-0.20346564582954182,-0.14810757423985813,-0.0034278727890535146,-0.03963882800037202,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9212682038834952,-3.774880146993756,-0.6350819002125571,-0.2919534685099133,-0.09649107797107426,-0.14297393104574602,-0.015865466845573554,-0.2058320441099407,-0.14977125740966174,-0.003463449988712852,-0.04024210136798075,0.003489,0.01,0.0,0.97,100,14,1,15
63,0.9218132493804005,-3.7883981896696857,-0.6418175567700123,-0.2951298604048033,-0.09743355302591629,-0.1445864566992359,-0.016007977905293028,-0.20808493236824646,-0.15132784683844316,-0.00351470566295826,-0.04065838190566694,0.003453,0.01,0.0,0.97,100,14,1,15
64,0.9348091628599635,-3.799193817887437,-0.6471353725378662,-0.2975792848606765,-0.09821773750244069,-0.1457633715061458,-0.016145127401736313,-0.20980255565426983,-0.15255569474676647,-0.0035586219219652703,-0.04088134590544068,0.003417,0.01,0.0,0.97,100,14,1,15
65,0.9257314076019257,-3.8115475842414153,-0.6532631396649998,-0.30039853682398443,-0.09919861792598017,-0.14721825562158875,-0.01631343544976407,-0.21187968420949252,-0.1540129641320881,-0.00360335845871291,-0.04130166126668334,0.003382,0.01,0.0,0.97,100,14,1,15
66,0.9194244362732752,-3.825095191030727,-0.6600053874870252,-0.3036287545462929,-0.1001286291479647,-0.14878521742939452,-0.01645542418312107,-0.21417795727427597,-0.15559214962787113,-0.003650731290271731,-0.04177261083369868,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9304275927238366,-3.836475967045818,-0.6656592555158657,-0.3061204578761509,-0.10105108368684086,-0.14997775251702963,-0.01663948600790332,-0.21593417320923197,-0.15689446063159104,-0.0036894852479908793,-0.042125509601073315,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.9273892598356678,-3.848271443500234,-0.6715997244875929,-0.3087996444723662,-0.10200094704848646,-0.15127048742133098,-0.016807170968821547,-0.2177214901718089,-0.1582706366014719,-0.0037216071137376613,-0.042551143267252636,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9342637167250952,-3.858547714724966,-0.6767283570893655,-0.3111135731013969,-0.10284588663165639,-0.15239452009523982,-0.016961960103880302,-0.2193329559012456,-0.1595111163330157,-0.003745581393619926,-0.04293810132624865,0.00325,0.01,0.0,0.97,100,14,1,15
70,0.9345855795148248,-3.868676288043273,-0.6818561633019677,-0.3133835468511107,-0.10368965247052234,-0.1534463012524765,-0.017076079078718095,-0.2209208351418719,-0.16068215049245807,-0.003779910794006531,-0.043325094605243405,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9288377614660491,-3.8799408988080364,-0.6873764736701327,-0.3158816229420999,-0.10454505801054394,-0.15466263055618815,-0.017220086662588202,-0.22266319292299888,-0.1619598917146925,-0.0038124191609545176,-0.043740174779409294,0.003188,0.01,0.0,0.97,100,14,1,15
72,0.926949522052658,-3.8913213958233923,-0.6930924602368588,-0.31852305832635824,-0.10536331220887821,-0.1559948615326358,-0.0173396634761392,-0.224478646226693,-0.1632332267488933,-0.00385170879995911,-0.04407277633304016,0.003157,0.01,0.0,0.97,100,14,1,15
73,0.9275014371216989,-3.901753445847261,-0.6983647558239683,-0.3209976338093493,-0.10617705193612025,-0.15725200686241184,-0.017496290984605957,-0.2261624731080707,-0.16444392245056363,-0.0038888752988632397,-0.04438761838828843,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.9244632159924615,-3.9132907838052526,-0.7041979766320211,-0.32367728956799485,-0.10708067527714313,-0.1585984242798665,-0.01765772686299976,-0.22795287758978838,-0.16584998472501666,-0.00392021798544737,-0.04475427356485679,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.9319194920977982,-3.923315762253012,-0.709272705913346,-0.32599153199279496,-0.10791888599305757,-0.15975235674178193,-0.017831122662207946,-0.2295457305495981,-0.1670680468510546,-0.003951998701021452,-0.044979513108030805,0.00307,0.01,0.0,0.97,100,13,1,14
76,0.9305954963590805,-3.9335959711490283,-0.7143338334361365,-0.32832003369071294,-0.10864529928820452,-0.16088680941998343,-0.01792534296413362,-0.23115071205861548,-0.1682644798154323,-0.003983794655000214,-0.04521459809032857,0.003042,0.01,0.0,0.97,100,14,1,15
77,0.9201816785225261,-3.945685164124242,-0.7204606645017303,-0.33117000134789465,-0.1095915707928185,-0.16230292377230035,-0.018104270559845825,-0.23317468232826405,-0.16974616840879161,-0.004026039692856636,-0.04569320198984549,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.9316906849407102,-3.9527384190552692,-0.7240505797067929,-0.3329820128266342,-0.11019346118840871,-0.16326683918441753,-0.01827291627879502,-0.23466649790007643,-0.17080421564696766,-0.004026270825202843,-0.045943219584385804,0.002987,0.01,0.0,0.97,100,14,1,15
79,0.9286151439937438,-3.9628786574250556,-0.7291569768365515,-0.33526131175187823,-0.11101326499225163,-0.1644085582335986,-0.018414299353306355,-0.2363608466745699,-0.17199820940908292,-0.004057946416769152,-0.04633845801359947,0.00296,0.01,0.0,0.97,100,14,1,15
80,0.9339468955208841,-3.9716001286936082,-0.7334241898270363,-0.33718761425070587,-0.11168651861362948,-0.16537044047761013,-0.018540876880156272,-0.23774014166044394,-0.17303123537741133,-0.004085560593911559,-0.046630557877601016,0.002934,0.01,0.0,0.97,100,14,1,15
81,0.926071147304747,-3.982109583811407,-0.7386339577084158,-0.3396120876366303,-0.11245336562856592,-0.16660956829108214,-0.018662159728997756,-0.23937275304064737,-0.17429386400466762,-0.004112854054676359,-0.04703214605885985,0.002909,0.01,0.0,0.97,100,14,1,15
82,0.9301992381080808,-3.991810944051173,-0.7434083790345811,-0.3417384815289773,-0.11323721272962908,-0.16764260621063354,-0.01879793892357273,-0.240942181650361,-0.1754925356773203,-0.004138476959422908,-0.04738937583491806,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9336508732347288,-4.000787611729838,-0.7478393109091175,-0.3437406100474207,-0.11398174276803126,-0.16861526099139368,-0.018936150805792074,-0.24237005427821065,-0.17652832268309415,-0.004170389643448534,-0.04769360665564181,0.002859,0.01,0.0,0.97,100,14,1,15
84,0.9224745366505259,-4.011748637532937,-0.7532758630821687,-0.3462946201008223,-0.11474353719255342,-0.16992188581258952,-0.019040914322709768,-0.2442366878788214,-0.17783575749384228,-0.004186265154494033,-0.048086911537013194,0.002834,0.01,0.0,0.97,100,14,1,15
85,0.9194585333582128,-4.022852749680596,-0.7588409559558928,-0.34893526898127186,-0.11552781425275493,-0.17123588802342068,-0.019179243537303985,-0.24612165487628046,-0.1791832476084909,-0.004211288265701593,-0.04840155542041871,0.00281,0.01,0.0,0.97,100,14,1,15
86,0.9242894714515992,-4.033230159291622,-0.7640771438434002,-0.3513615748042557,-0.11633023220661866,-0.1724544905191321,-0.0193262636449302,-0.24781277113580324,-0.18039181291857798,-0.0042435764120330125,-0.048711169959705966,0.002787,0.01,0.0,0.97,100,14,1,15
87,0.9270770265724857,-4.042870303583149,-0.7689697525454571,-0.35362726007704154,-0.11710680677888112,-0.17360974957377634,-0.01947000390214138,-0.24943353727158,-0.18157225153442041,-0.004273518127342558,-0.048872025688505114,0.002763,0.01,0.0,0.97,100,14,1,15
88,0.9348909553117474,-4.0511722231547695,-0.7730709080983418,-0.3554847555307396,-0.11773175132188714,-0.1745014748488283,-0.01957828595605305,-0.2507626189732039,-0.18255183975197142,-0.004291875637597301,-0.04917273444776711,0.002741,0.01,0.0,0.97,100,14,1,15
89,0.9246828708004662,-4.061039688918613,-0.7779397899844613,-0.3577580234350773,-0.11846033441555417,-0.17564740132659262,-0.019702331640803362,-0.2523827327169971,-0.18374142306205982,-0.004327572675035247,-0.04939699217050613,0.002718,0.01,0.0,0.97,100,14,1,15
90,0.9283886184573694,-4.070464678326624,-0.7826049525794412,-0.35986952856312426,-0.11918985102246983,-0.1766555558643547,-0.01982322181429147,-0.25392129225398463,-0.18483046495957495,-0.00435755517789337,-0.04984017074085669,0.002696,0.01,0.0,0.97,100,14,1,15
91,0.9308727569331159,-4.079225233861811,-0.7869400506478187,-0.3618757309994424,-0.11980996774504296,-0.1776287958175229,-0.019905579247250973,-0.25533995584418334,-0.1858306773328857,-0.00438447997623061,-0.05014437148520015,0.002674,0.01,0.0,0.97,100,14,1,15
92,0.933535510978585,-4.086551857995957,-0.7905504455744677,-0.3635374397563822,-0.12041447694335164,-0.17843596690248167,-0.02003437801435698,-0.2566944395813951,-0.1868643795276029,-0.004407287879231499,-0.05035299908143063,0.002653,0.01,0.0,0.97,100,14,1,15
93,0.9187295109386499,-4.097214025904413,-0.7959357351295389,-0.366120901357387,-0.12116133052985424,-0.1797839232832416,-0.020130450062289085,-0.2585496570952372,-0.18815426944883826,-0.00444256486303449,-0.050579449508703314,0.002632,0.01,0.0,0.97,100,14,1,15
94,0.9305227369315767,-4.105747115278212,-0.8000997778683643,-0.36802168395978313,-0.12176509983275985,-0.18069990105139686,-0.020225973826949427,-0.2598783400720216,-0.18910693549038968,-0.004471238001144278,-0.05079946031459359,0.002611,0.01,0.0,0.97,100,14,1,15
95,0.9195017254439862,-4.116081295912885,-0.8052274888962082,-0.37045722930461855,-0.12247742412242012,-0.18192210258825692,-0.02034589289260334,-0.2616947169933917,-0.19028450072667313,-0.004508670507099697,-0.051089681621221655,0.002591,0.01,0.0,0.97,100,14,1,15
96,0.9292416941415166,-4.124665584098445,-0.8094339066436927,-0.3723550839020489,-0.12310665163037796,-0.18284369705601847,-0.020457732988674784,-0.2630287028469198,-0.19135091196040335,-0.004534648001419094,-0.05127400000094038,0.002571,0.01,0.0,0.97,100,14,1,15
97,0.9317250184799408,-4.132933965676863,-0.8135704059615834,-0.3741606969992468,-0.1238205871924874,-0.18372401491210832,-0.020592514167661308,-0.2643048385080573,-0.1923632131790485,-0.00455370547963374,-0.05151596111209918,0.002551,0.01,0.0,0.97,100,14,1,15
98,0.9275528436098843,-4.1417703794004,-0.8180034778331653,-0.3762249205197555,-0.1244651717208147,-0.18476959129540468,-0.020687882474593796,-0.2657338542902007,-0.19339003864908152,-0.004580301988699813,-0.05183566246802875,0.002532,0.01,0.0,0.97,100,14,0,14
99,0.929658541584818,-4.149877817736562,-0.8220150913005217,-0.378074132662507,-0.12507018743909812,-0.18565395173776103,-0.020784293777553243,-0.2670497207101185,-0.19435305328965782,-0.004603802463182921,-0.05203272199984359,0.002513,0.01,0.0,0.97,100,14,1,15
