Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:00.000000;;0.7316141128540039;1;1;;;;6;;2;;;;;0;0;;3;
Mon 07:01.000000;;0.7316141128540039;1;1;;;;14;;2;;;;;0;0;;7;
Mon 07:02.000000;;0.7316141128540039;1;1;;;;30;;2;;;;;0;0;;15;
Mon 07:03.000000;;0.7316141128540039;1;1;;;;34;;2;;;;;0;0;;17;
Mon 07:04.000000;;0.7316141128540039;1;1;;;;46;;2;;;;;0;0;;23;
Mon 07:05.000000;;0.7316141128540039;1;1;;;;56;;2;;;;;0;0;;28;
Mon 07:06.000000;;0.7316141128540039;1;1;;;;70;;2;;;;;0;0;;35;
Mon 07:07.000000;;0.7316141128540039;1;1;;;;76;;2;;;;;0;0;;38;
Mon 07:08.000000;;0.7316141128540039;1;1;;;;90;;2;;;;;0;0;;45;
Mon 07:09.000000;;0.7316141128540039;1;1;;;;104;;2;;;;;0;0;;52;
Mon 07:10.000000;;0.7316141128540039;1;1;;;;112;;2;;;;;0;0;;56;
Mon 07:11.000000;;0.7316141128540039;1;1;;;;134;;2;;;;;0;0;;67;
Mon 07:12.000000;;0.7316141128540039;1;1;;;;148;;2;;;;;0;0;;74;
Mon 07:13.000000;;0.7316141128540039;1;1;;;;162;;2;;;;;0;0;;81;
Mon 07:14.000000;;0.7316141128540039;1;1;;;;168;;2;;;;;0;0;;84;
Mon 07:15.000000;;0.7316141128540039;1;1;;;;178;;2;;;;;0;0;;89;
Mon 07:16.000000;;0.7316141128540039;1;1;;;;194;;2;;;;;0;0;;97;
Mon 07:17.000000;;0.7316141128540039;1;1;;;;204;;2;;;;;0;0;;102;
Mon 07:18.000000;;0.7316141128540039;1;1;;;;222;;2;;;;;0;0;;111;
Mon 07:19.000000;;0.7316141128540039;1;1;;;;238;;2;;;;;0;0;;119;
Mon 07:19.447757;;1.2811872959136963;2;1;;;;238;;3;;;;;0;0;;119;
Mon 07:20.000000;;1.2811872959136963;2;1;;;;250;;3;;;;;0;0;;125;
Mon 07:21.000000;;1.2811872959136963;2;1;;;;256;;3;;;;;0;0;;128;
Mon 07:22.000000;;1.2811872959136963;2;1;;;;266;;3;;;;;0;0;;133;
