episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-0.9564839431550354,-0.7342054709442891,-3.58362795682624,-3.5394320871680978,-0.2692221827070171,-0.277513253633515
1,0.9312141899305132,-0.48277517672973985,-0.35781950678663504,-0.9976677040512243,-0.9404846642210201,-0.19005756716813502,-0.17155631400119387
2,0.9340429403202329,-0.6163978375309069,-0.4337462936707732,-1.5692803178517234,-1.3525751588542498,-0.23492720920467383,-0.20514637341697944
3,0.9372167300380229,-0.6426450892820904,-0.4193849194826519,-1.5106715442339722,-1.1859484651225523,-0.25599316912033926,-0.20945589931077893
4,0.9331090735889498,-0.740664361180908,-0.4635843072660002,-1.8381681113383819,-1.3912411190374487,-0.30038890392786766,-0.255083092145892
5,0.9294741255390513,-0.7752996426933229,-0.46108704800617667,-1.8510245679942599,-1.2744184149390625,-0.3331924039445428,-0.27592104546844776
6,0.9378122256199097,-0.7856004039006216,-0.45905591206038315,-1.8045196933955587,-1.207657270117928,-0.3535244658167531,-0.29443193138075713
7,0.9341884941992584,-0.8283645495273174,-0.47297163233565587,-1.8706309886648842,-1.2557451658252625,-0.3838058863739968,-0.32048390384225645
8,0.9300654783557657,-0.8853444612332526,-0.5036240059685738,-1.9845952218736904,-1.3583647801970693,-0.405108162227787,-0.3352973703073481
9,0.9413687683506372,-0.8506636212991672,-0.4801072530054567,-1.677382556156524,-1.0841758418053666,-0.40767705117887043,-0.3440948526923718
10,0.9318975903614458,-0.9383835353982818,-0.5291111000629302,-1.922045111952983,-1.2906147567264419,-0.4473394450626895,-0.3732132844675805
11,0.9362276629956615,-0.941408543278911,-0.5171290546692838,-1.7933492202189387,-1.1067948879587663,-0.46374215434436855,-0.3813705599852333
12,0.9274149536110605,-1.0348148863671967,-0.5677230702210881,-2.141847164654984,-1.3746473781967308,-0.5167497142703538,-0.4184325240341754
13,0.9315645399031375,-1.0360127960112848,-0.5559614283231742,-1.9992017084672733,-1.19998842372497,-0.5367676130915909,-0.4371894385807726
14,0.9404982118633617,-1.0176500717457337,-0.5402600786850789,-1.8215974153814751,-1.0399063259339139,-0.5503191647565792,-0.4446240743723839
15,0.9328162218286202,-1.1111564068343731,-0.5896284993597439,-2.1701680408232593,-1.3199755374560052,-0.5826323795564514,-0.4665162025697894
16,0.9360672594205528,-1.0445702999317106,-0.5387304269575329,-1.7938586942772572,-0.9384926090528976,-0.5709639694979667,-0.45881494297850245
17,0.928407234892021,-1.1323792401432486,-0.5941252705834464,-2.1139731461347253,-1.2165376833759443,-0.6119228420621659,-0.49480267107821796
18,0.9305008863916349,-1.146574727220371,-0.6008661376011054,-2.069922812833672,-1.2140404862681033,-0.6217194196594021,-0.5096123621695283
19,0.9333293200493634,-1.202469599689484,-0.6327794826311324,-2.2280901808242546,-1.3383261245947053,-0.6504888231994262,-0.533107253968836
20,0.9296224822096248,-1.1998734501085893,-0.6084829567085175,-2.1032768603961656,-1.1816756413504665,-0.6671237425722591,-0.5340604132044651
