episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9439761727475801,-2.2711466749311753,-0.8341580865877588,-0.6270803469443803,-0.6451309089889685,-0.579212752996446,0.1,0.1,0.2,0.2,1214,667,1479,33575,38510,38500,0,0,0,0,3747,3760,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9421903372726461,-2.860130888452158,-1.1252404914308656,-0.7617879939572908,-0.8679131839664199,-0.7549520957794429,0.095673,0.1,0.197012,0.2,1327,615,1278,33593,38290,38284,0,0,0,0,3861,3861,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9401734879422899,-3.03204516677929,-1.3081745391987158,-0.8141936602412374,-0.8129054723142626,-0.8534837706561065,0.091705,0.1,0.194068,0.2,1317,690,1434,33547,38255,38248,0,0,0,0,3843,3831,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9424294933078394,-2.9786183372821586,-1.4275096289089986,-0.7660976334929677,-0.8823795263717484,-0.9547090451936753,0.088053,0.1,0.191169,0.2,1128,799,1303,33472,38493,38487,0,0,0,0,3817,3817,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9394950970164824,-2.997714704333948,-1.5328336379149163,-0.744556464113235,-0.9145819208201741,-1.0282628876317828,0.084681,0.1,0.188312,0.2,1428,602,1401,33551,38230,38225,0,0,0,0,3832,3840,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9390440868576898,-3.0320158050748574,-1.7288587162051403,-0.7071967681193011,-1.1045650110511984,-1.2111469538525015,0.081557,0.1,0.185499,0.2,1258,780,1158,33434,38389,38379,0,0,0,0,3865,3873,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9472718522529026,-2.8867192056558055,-1.7496918362969502,-0.6563719176789504,-1.186326702072542,-1.2607158398283964,0.078656,0.1,0.182727,0.2,1258,495,1142,33246,38220,38216,0,0,0,0,3875,3869,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.937798900047824,-2.9160338442672984,-1.8354464384282738,-0.6150457846999114,-1.2898622278862337,-1.37471324566552,0.075954,0.1,0.179997,0.2,1227,854,1456,33456,38247,38245,0,0,0,0,3803,3795,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9401472185350549,-2.890629971210149,-1.9295343430700644,-0.5657291807031879,-1.4175982260921842,-1.5461996017433095,0.073432,0.1,0.177308,0.2,1199,785,1106,33148,38075,38065,0,0,0,0,3823,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9360520659183186,-3.2127649476105495,-2.0858569628740313,-0.6457759158819902,-1.5654710642678356,-1.6886057448823366,0.071071,0.1,0.174658,0.2,1370,772,1347,33496,38224,38223,0,0,0,0,3910,3904,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9449587711725658,-3.037897504263522,-2.094924402294235,-0.6096011016720139,-1.5873874125690501,-1.7150883707925697,0.068858,0.1,0.172049,0.2,1136,713,1275,33593,38641,38636,0,0,0,0,3849,3833,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9444545015689114,-2.8713960364937177,-2.087626215162251,-0.5646296808831808,-1.5131279156248498,-1.6995228837971779,0.066779,0.1,0.169478,0.2,1133,708,1235,33144,38061,38057,0,0,0,0,3775,3764,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9365219697639466,-3.1376052959449656,-2.2130230010453404,-0.6359611353327167,-1.6249733970561722,-1.8104281199536132,0.064821,0.1,0.166946,0.2,1424,730,1237,33933,38692,38682,0,0,0,0,3773,3769,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9368955082181214,-2.9960305515016143,-2.246511661483034,-0.5435019711717046,-1.673897538007015,-1.8522353009524293,0.062975,0.1,0.164452,0.2,1372,755,1301,33706,38501,38489,0,0,0,0,3771,3757,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.943290541358847,-3.2404220190148583,-2.341281583353482,-0.5892532100454715,-1.7115509458552283,-1.8776812291794454,0.061231,0.1,0.161994,0.2,1330,543,1144,33028,37802,37794,0,0,0,0,3790,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9396869107126822,-3.2075317684248317,-2.3922749423776692,-0.6027050333931494,-1.723492771805954,-1.9212440633754186,0.059581,0.1,0.159574,0.2,1303,712,1148,33409,38181,38178,0,0,0,0,3816,3806,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9433120828469665,-3.0202464861209894,-2.374717398149628,-0.5394756416908701,-1.7970682336036086,-2.014367502096829,0.058017,0.1,0.15719,0.2,1250,644,1170,33411,38227,38219,0,0,0,0,3786,3794,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9457732832747971,-2.803118481936228,-2.355756231889378,-0.460291934541119,-1.8049023157800848,-2.03321392772433,0.056534,0.1,0.154841,0.2,1203,588,1354,33028,37933,37929,0,0,0,0,3830,3826,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9405899086689624,-3.131503964985251,-2.500118243530887,-0.5453023334597363,-1.8507612827332605,-2.0970637725504817,0.055125,0.1,0.152528,0.2,1307,677,1212,33395,38249,38242,0,0,0,0,3703,3711,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9421388905475607,-3.0790965104236694,-2.514525433632199,-0.5259429039586471,-1.8908425341965036,-2.126525438268696,0.053784,0.1,0.150249,0.2,1312,626,1283,33494,38193,38190,0,0,0,0,3809,3813,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9452892069171139,-2.9437230353311232,-2.4769683901076807,-0.4631032104578528,-1.8560886333363744,-2.131779601045665,0.052507,0.1,0.148004,0.2,1163,672,1232,33540,38402,38396,0,0,0,0,3780,3800,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9390102195870452,-3.036472203952088,-2.5072690529075197,-0.4828056224363147,-1.912824119807122,-2.160128149860608,0.051289,0.1,0.145793,0.2,1230,817,1294,33563,38469,38459,0,0,0,0,3806,3805,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9416664178881691,-3.1139342272000614,-2.535427557588657,-0.4867112257120233,-1.9345654538851171,-2.199677778561168,0.050126,0.1,0.143614,0.2,1171,783,1250,33497,38389,38385,0,0,0,0,3765,3765,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.938192158036516,-3.1475725959651175,-2.5588932915794813,-0.5008661993038831,-1.9127813848970356,-2.1861389100004396,0.049015,0.1,0.141468,0.2,1326,739,1296,33410,38322,38318,0,0,0,0,3793,3800,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9402143091663433,-3.210834201928332,-2.606533774752225,-0.5040867802735538,-1.9142742275658555,-2.1924095823011474,0.047952,0.1,0.139355,0.2,1329,674,1324,33503,38254,38249,0,0,0,0,3860,3864,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.941139543226115,-3.2192622664086143,-2.63574467836008,-0.4745288940623015,-2.032299757826466,-2.3049401957672457,0.046934,0.1,0.137273,0.2,1215,754,1073,33452,38255,38251,0,0,0,0,3786,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9436879348278527,-2.9790652442217342,-2.5967393862396477,-0.3950906272901332,-2.0010830151107384,-2.3147653569120465,0.045958,0.1,0.135222,0.2,1210,684,1437,33634,38349,38344,0,0,0,0,3700,3702,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9448455615806345,-2.8478000407654402,-2.5560814021017424,-0.35628127602397786,-1.9583268013876074,-2.3076859983864177,0.045023,0.1,0.133201,0.2,1271,570,1252,33379,38292,38285,0,0,0,0,3733,3731,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9399745705077027,-2.9035703569218727,-2.5725936872245736,-0.38652512171820763,-1.9419940522222976,-2.30430849493375,0.044124,0.1,0.131211,0.2,1371,659,1370,33819,38603,38596,0,0,0,0,3715,3735,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9410364728981971,-3.1190344956603204,-2.63520374624401,-0.43304336008768596,-2.0498280450174304,-2.367814595654887,0.043261,0.1,0.129251,0.2,1236,746,1143,33614,38460,38458,0,0,0,0,3825,3830,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9437332449772583,-3.190825382970869,-2.681979045323719,-0.4295320295450075,-2.0295970952504656,-2.375651923216642,0.042431,0.1,0.127319,0.2,1122,746,1301,33199,38217,38209,0,0,0,0,3794,3794,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9489370633564211,-3.0964461343914613,-2.68096630085029,-0.38991690475188645,-2.0460367121643284,-2.41008937035025,0.041632,0.1,0.125417,0.2,1053,650,1143,33351,38546,38539,0,0,0,0,3809,3827,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9491525423728814,-2.978563060338339,-2.644781262097897,-0.35123689818562276,-2.0124705627431467,-2.3844099470368483,0.040862,0.1,0.123543,0.2,1025,655,1347,33040,38160,38156,0,0,0,0,3795,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9352591435949793,-3.2099901993212896,-2.754277669605948,-0.42958945843660795,-2.0721134080609946,-2.4615601162386134,0.040121,0.1,0.121697,0.2,1374,782,1362,33302,38258,38253,0,0,0,0,3904,3908,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9411868962868875,-3.2134159560309254,-2.7718275120078975,-0.41219789386231903,-2.0882001821836926,-2.4843947421202808,0.039406,0.1,0.119879,0.2,1229,762,1220,33853,38798,38791,0,0,0,0,3842,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.948942290405705,-3.122605610100363,-2.75132881397743,-0.3671970888609655,-2.045922861543681,-2.468880673999133,0.038716,0.1,0.118088,0.2,1033,671,1093,33374,38643,38638,0,0,0,0,3795,3815,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.942892186191217,-3.3246177887754995,-2.832575589098588,-0.41698495759653037,-2.1450163016100268,-2.5524613335533486,0.03805,0.1,0.116324,0.2,1133,776,1160,33428,38346,38338,0,0,0,0,3787,3783,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.938872225554889,-3.3968591691816257,-2.894322608763369,-0.42341113096179395,-2.1932214764641937,-2.615949505951452,0.037406,0.1,0.114586,0.2,1324,714,1352,33340,38014,38012,0,0,0,0,3833,3841,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9421863316883505,-3.4513930025843655,-2.9277789267527035,-0.42306935519349825,-2.2542281589280377,-2.670459921098848,0.036784,0.1,0.112874,0.2,1214,719,1134,33435,38402,38393,0,0,0,0,3781,3800,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9386741653703482,-3.328610264228286,-2.913510535058259,-0.3682523242587349,-2.300147600978869,-2.717837779666092,0.036182,0.1,0.111187,0.2,1223,827,1179,33428,38285,38284,0,0,0,0,3769,3756,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9458568173641924,-3.2754977403084125,-2.927988679873956,-0.34938987932077464,-2.317504327791239,-2.731085749176623,0.035599,0.1,0.109526,0.2,1080,726,1205,33356,38503,38496,0,0,0,0,3798,3791,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9418161878941116,-3.307382561086316,-2.9290564302774067,-0.36504165425658475,-2.3423093866784037,-2.7797284754624876,0.035035,0.1,0.107889,0.2,1229,681,1164,32827,37708,37701,0,0,0,0,3677,3697,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9380215967216057,-3.345696937876546,-2.950846305126312,-0.37003660444032355,-2.3300154984253036,-2.822555800323947,0.034489,0.1,0.106277,0.2,1413,659,1175,33431,38054,38046,0,0,0,0,3790,3792,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9434031047786858,-3.376740307800172,-2.9600777525579254,-0.3836632473014911,-2.298971658284032,-2.7826381499327932,0.033959,0.1,0.104689,0.2,1144,719,1106,32917,38056,38049,0,0,0,0,3784,3798,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9423762615579864,-3.2311435447042016,-2.9099183060881684,-0.3379673327282165,-2.2289655122605687,-2.721217686037847,0.033445,0.1,0.103125,0.2,1230,677,1259,33094,38001,37991,0,0,0,0,3865,3859,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9421457782054367,-3.3744099676071952,-2.961241451250533,-0.3732351979119402,-2.2857289993762615,-2.7420323467312393,0.032947,0.1,0.101584,0.2,1215,709,1193,33256,38009,38003,0,0,0,0,3877,3887,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9461396621460861,-3.284274168778121,-2.931433032213461,-0.364160211649769,-2.2117460683124306,-2.716066548376525,0.032463,0.1,0.100067,0.2,1126,685,1299,33624,38593,38587,0,0,0,0,3897,3902,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9440332887501858,-3.33359442936858,-2.942176560427848,-0.36725050630388495,-2.255082322579534,-2.7632179236190004,0.031994,0.1,0.098572,0.2,1323,560,1341,33645,38411,38404,0,0,0,0,3916,3914,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9365708327126471,-3.482572689180604,-2.991668757029759,-0.4051714421891026,-2.3114183696579875,-2.7938058465520546,0.031537,0.1,0.097099,0.2,1286,843,1157,33565,38264,38255,0,0,0,0,3829,3829,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9388387404295886,-3.6371748969072066,-3.0606701008116715,-0.44520747886722856,-2.3166537710733945,-2.843507883693923,0.031094,0.1,0.095648,0.2,1373,680,1300,33567,38189,38184,0,0,0,0,3888,3893,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9536116435074269,-3.354209057114221,-2.9761881399830337,-0.3478942344626485,-2.2676451841488183,-2.7857890769406173,0.030663,0.1,0.094219,0.2,1039,510,1237,33392,38522,38520,0,0,0,0,3835,3823,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9420307070947049,-3.4884218096567086,-2.9954279481030164,-0.3811493113752774,-2.2768113926524385,-2.8248092861878713,0.030243,0.1,0.092811,0.2,1305,647,1157,33673,38475,38470,0,0,0,0,3874,3882,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9379322842731583,-3.5045883628913983,-3.0019902631661286,-0.37702286594966306,-2.3172934761763315,-2.831603125914088,0.029835,0.1,0.091424,0.2,1265,790,1438,33109,37988,37984,0,0,0,0,3858,3855,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9382973649695958,-3.7018857940342382,-3.0671027225345675,-0.41615580657100837,-2.372206103645779,-2.875369891070941,0.029438,0.1,0.090058,0.2,1287,783,1263,33548,38431,38426,0,0,0,0,3824,3804,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9393848731450455,-3.786757341496497,-3.1014239660789227,-0.4270990016306115,-2.4630896058866685,-2.936652264591046,0.029051,0.1,0.088713,0.2,1339,687,1397,33424,38223,38211,0,0,0,0,3852,3842,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9440655249441549,-3.7469732025388365,-3.0842671375372417,-0.39797208908181947,-2.4317664067795315,-2.9220831974073924,0.028674,0.1,0.087387,0.2,1134,744,1304,33575,38471,38460,0,0,0,0,3816,3810,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9419447606494518,-3.7950848566079216,-3.1159784841969755,-0.39970467852002695,-2.4542793812930936,-2.935191932859867,0.028307,0.1,0.086082,0.2,1244,694,1186,33382,38489,38484,0,0,0,0,3810,3797,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9402426812746657,-3.802360233895244,-3.1261924883202394,-0.3924182880963188,-2.4474138067872295,-2.991672991572599,0.027949,0.1,0.084796,0.2,1387,642,1350,33954,38761,38757,0,0,0,0,3727,3719,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9451527543901852,-3.713751063972681,-3.119301093170367,-0.34938263722104895,-2.468709541064993,-3.004906609613441,0.027601,0.1,0.083529,0.2,1140,684,1135,33256,38199,38192,0,0,0,0,3872,3861,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9369410064143102,-3.789417701288993,-3.1464627694141694,-0.36162642580589444,-2.5537437554630884,-3.074744755500036,0.02726,0.1,0.082281,0.2,1294,800,1458,33207,38002,37992,0,0,0,0,3789,3797,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9500899417665173,-3.735829202960361,-3.1284767391226627,-0.33663333611683965,-2.5569863037077853,-3.080973515598751,0.026928,0.1,0.081051,0.2,938,699,1211,32799,38089,38081,0,0,0,0,3674,3669,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9378913623153668,-3.746678982911987,-3.118122984634032,-0.36313634070700185,-2.533566969981178,-3.075973066678268,0.026604,0.1,0.07984,0.2,1263,810,1316,33377,38046,38037,0,0,0,0,3856,3858,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9427547057066029,-3.888402203010593,-3.1581602482037394,-0.40012304305948737,-2.5844459347157214,-3.137145445635963,0.026288,0.1,0.078647,0.2,1103,813,1238,33470,38489,38484,0,0,0,0,3871,3872,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9295531623728208,-4.125108296288753,-3.226338145467327,-0.46385497415667976,-2.6495628338334405,-3.2068222502300503,0.025979,0.1,0.077472,0.2,1456,912,1395,33614,38331,38325,0,0,0,0,3940,3940,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9453045609420766,-4.031604875811232,-3.1896148376285938,-0.4243035520408348,-2.6123835188968734,-3.1661187435944376,0.025677,0.1,0.076315,0.2,1103,727,1070,33458,38331,38329,0,0,0,0,3783,3792,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.942863205116547,-4.031414150043742,-3.1952572793216585,-0.4220903496895952,-2.5536233322484785,-3.1393043924069874,0.025383,0.1,0.075174,0.2,1301,584,1179,32991,37733,37728,0,0,0,0,3793,3798,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.942291259765625,-4.027777464174721,-3.191813359903867,-0.4097285878540843,-2.58857472485273,-3.1596554040971303,0.025095,0.1,0.074051,0.2,1133,758,1393,32768,37661,37654,0,0,0,0,3849,3844,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9440810987573578,-3.92753773250491,-3.1478429574534728,-0.3756862608627938,-2.5669619903099687,-3.163314935587155,0.024813,0.1,0.072945,0.2,1120,761,1379,33638,38772,38770,0,0,0,0,3813,3817,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9517664480643114,-3.7490918746852224,-3.097249534325978,-0.32951664055241003,-2.4977488714499034,-3.115581265446617,0.024538,0.1,0.071855,0.2,1005,591,1065,33089,38131,38120,0,0,0,0,3768,3778,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9363376251788269,-3.8679118974849316,-3.1349775838892033,-0.3609003953918538,-2.55631568210101,-3.172583216467389,0.024268,0.1,0.070781,0.2,1395,741,1264,33552,38173,38166,0,0,0,0,3946,3952,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.945650202527054,-3.9313540303237158,-3.155660033559802,-0.3724966903318418,-2.56233431724099,-3.204868719720685,0.024005,0.1,0.069724,0.2,1089,709,1167,33082,37974,37968,0,0,0,0,3852,3850,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9422605157661701,-3.8444916635234567,-3.1323341632177115,-0.33715381118432125,-2.532310184142873,-3.1742936682911536,0.023747,0.1,0.068682,0.2,1222,708,1363,33426,38294,38289,0,0,0,0,3791,3771,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9460284528749259,-3.8524218384463698,-3.1303274763360927,-0.3415868249356738,-2.5427311217639295,-3.191758686130056,0.023495,0.1,0.067656,0.2,1092,729,1193,33740,38844,38838,0,0,0,0,3792,3777,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9441877321735979,-3.971057456412007,-3.1662203966684457,-0.37437685609603016,-2.5550657628209783,-3.2025260475839867,0.023248,0.1,0.066645,0.2,1188,660,1172,33111,38107,38104,0,0,0,0,3869,3872,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9506363636363636,-3.8746581582580637,-3.142371520575885,-0.3440068171467491,-2.5209351100229855,-3.1784692921119597,0.023006,0.1,0.065649,0.2,1009,620,1123,33000,38131,38123,0,0,0,0,3836,3841,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9410565449421359,-3.9370383642197146,-3.155284771409567,-0.35922794998287055,-2.5391336419291965,-3.1921202121756793,0.022769,0.1,0.064668,0.2,1341,625,1260,33354,38202,38199,0,0,0,0,3836,3837,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9422799422799423,-4.031749905735821,-3.187464071342862,-0.3914193538728254,-2.543570764202325,-3.1885015262954055,0.022537,0.1,0.063702,0.2,1195,725,1289,33264,38183,38177,0,0,0,0,3897,3883,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9474757776644569,-3.9143289105033414,-3.1664783196498107,-0.35222157923587777,-2.528032787955066,-3.2007512469844346,0.022309,0.1,0.06275,0.2,1085,666,1434,33337,38589,38586,0,0,0,0,3880,3887,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.944145521247325,-3.7876311973546186,-3.1356294150449933,-0.3163889723925496,-2.503828447930395,-3.1891954857550973,0.022087,0.1,0.061813,0.2,1157,670,1229,32710,37911,37901,0,0,0,0,3951,3959,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.943010752688172,-3.8813696016527484,-3.1658318858074654,-0.33626962600554516,-2.5244870383170714,-3.2130235261605216,0.021868,0.1,0.060889,0.2,1201,707,1225,33480,38367,38358,0,0,0,0,3875,3880,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9435699882625576,-3.962648901225069,-3.178443069053075,-0.3515024154087774,-2.5364463905177836,-3.2187196267000693,0.021654,0.1,0.05998,0.2,1162,713,1152,33227,38117,38111,0,0,0,0,3990,3970,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.952279735353112,-3.9010917892640484,-3.151551775023878,-0.33169237346804614,-2.5167937502229845,-3.1923218031652794,0.021444,0.1,0.059083,0.2,1046,548,1077,33403,38510,38508,0,0,0,0,3873,3859,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
