episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.8957455770850885,-0.3703768771607429,-0.263655487424694,-0.12028701397302939,-0.11318221560304664
1,0.9335854266078449,-0.5253147917939811,-0.36837544345646417,-0.17662775757070565,-0.1583713233489619
2,0.9334910462957418,-0.666710134336957,-0.4770491026622402,-0.2240808625135806,-0.20602935841068856
3,0.9428327123923532,-0.7778090333062105,-0.5514993793090188,-0.26039807535411447,-0.23887933306724016
4,0.9347754243653297,-0.9110038323723135,-0.6474725276321848,-0.3001858101212219,-0.2817531109748151
5,0.9389024795385219,-1.016812550424628,-0.7231217312926272,-0.33913267463832697,-0.31627767362208636
6,0.9370817788831646,-1.1312956575494302,-0.7997303924261869,-0.3821714565081904,-0.35660451590514264
7,0.9422254352671847,-1.2268126063066398,-0.8605301176241744,-0.42422003930004293,-0.38750893202173353
8,0.9358293582935829,-1.3343091343567293,-0.9343077852462596,-0.4605413145058732,-0.4206819266362489
9,0.9332181922855498,-1.4443562511383523,-1.0115563977176047,-0.4956216312270105,-0.45377464285357844
10,0.9306464750067875,-1.5482902818530149,-1.0832170156316703,-0.5332644442455101,-0.4897180839239281
11,0.9378110962729149,-1.6340281832060564,-1.1409185697981885,-0.566062484400643,-0.5193219757388864
12,0.9302767800549334,-1.7285426851473717,-1.2044034814221156,-0.6055027163918504,-0.5530445666491828
13,0.9348906259467975,-1.8100786658137984,-1.2588107734322285,-0.6329312697145082,-0.5782107239297403
14,0.9310282404055032,-1.8958178564507793,-1.3271666424334514,-0.6668051767972785,-0.6130629078355195
15,0.938077328117948,-1.9671494323991114,-1.3806432238601156,-0.6955733631177086,-0.6378817093055369
16,0.9261021440616719,-2.0638615045779134,-1.4489690847879202,-0.7319520160914409,-0.6727349743733321
17,0.940167865707434,-2.1269280609322765,-1.492850766731334,-0.7553731045084501,-0.694064157246322
18,0.9333473633575853,-2.205608518741347,-1.5496156605875628,-0.7844509535199855,-0.7213472633305446
19,0.9290683605565638,-2.2847842060982324,-1.6024036385085707,-0.8140357561765054,-0.7500965904908187
20,0.9315303907380608,-2.3534517836635938,-1.653755112229676,-0.8393295858008087,-0.7734725298371864
21,0.9346570397111913,-2.4199582301316838,-1.701659886915829,-0.86142214442736,-0.7949952407311967
22,0.9366946608859109,-2.4769805700764223,-1.737584559566974,-0.8797483787808721,-0.8097759509977888
23,0.9359880686055183,-2.530432688590741,-1.7750067139995265,-0.8988060821386418,-0.829696456591108
24,0.9356726892638495,-2.59249387715735,-1.8201363969821867,-0.920042863891746,-0.8491259715344552
25,0.9311130693731198,-2.6538567099792583,-1.8639399170662756,-0.9426930090003867,-0.8687174836443848
26,0.9311662320334768,-2.71693816505154,-1.9075246131632073,-0.9681527493905344,-0.8906428038961309
27,0.9360031174125476,-2.7690522306136245,-1.9438785592196477,-0.9898587206478914,-0.9086228746309147
28,0.9397210976158344,-2.8113182405751957,-1.9741229718277113,-1.006868011467409,-0.9215830948076897
29,0.9399047159570619,-2.84748370477584,-2.0002034446206625,-1.0203129265050996,-0.9320744268307927
30,0.9332971963742585,-2.890761083223616,-2.0311947602708162,-1.0370378748200404,-0.9478667894935183
31,0.933097217636642,-2.94298319632316,-2.070066564350875,-1.0571945475555413,-0.9659407991105821
32,0.9413160344775806,-2.981054202665969,-2.0950988236199164,-1.072686390603413,-0.9796333025284913
33,0.9383277387854745,-3.0228131910932885,-2.1230360113061004,-1.0892326726347639,-0.9928349307736029
34,0.936283722340103,-3.0678662309352487,-2.1534362613384834,-1.1061542245724536,-1.0074477895052523
35,0.9317478271222764,-3.123525944870016,-2.1892091983020103,-1.1272522559860823,-1.024101418443279
36,0.9373452503170481,-3.1598256858847256,-2.2158448518998712,-1.1415507425200446,-1.0365599598477755
37,0.9403784362727597,-3.197592834001856,-2.2403756063910727,-1.1557620419620658,-1.0470338752447046
38,0.9416464891041162,-3.227687943004116,-2.260187081668845,-1.166862578494031,-1.0578780013500484
39,0.9375264974865242,-3.265722735832132,-2.2868879074108968,-1.179673238252357,-1.0714474258712223
40,0.929679483310195,-3.313604843790232,-2.320175363521937,-1.1981194387034133,-1.0878343667546375
41,0.9371080505296007,-3.3486893319341755,-2.344868883830745,-1.2075531784395994,-1.0969296196581662
42,0.9375055851776831,-3.3856559567769424,-2.368993153383311,-1.2233898737101343,-1.10994688881296
43,0.9385360570414273,-3.416141750901082,-2.388270355169394,-1.234478319549786,-1.120978551416151
44,0.9421395404932762,-3.443143607173775,-2.406513984341299,-1.2441872123390276,-1.129911357654825
45,0.9425142891342729,-3.468717750549914,-2.426174538848243,-1.252487873749517,-1.1381086621265721
46,0.9315072666890101,-3.5043720851052926,-2.4502009071718343,-1.2639549854541239,-1.147118519619551
47,0.934396898762487,-3.539393167273514,-2.4750021774335687,-1.2790604435806228,-1.1609809449006983
48,0.9400397925961654,-3.567876440226998,-2.4930181958969824,-1.2908132551321956,-1.1713653166142939
49,0.9425159761183283,-3.5933008729929306,-2.510556872392229,-1.3017988913599114,-1.1799473784428705
50,0.9383592551367287,-3.6196802797648946,-2.528063653369639,-1.3141814074470617,-1.1898565883552215
51,0.9356492871328215,-3.6529622515120113,-2.550609878638146,-1.3297240795184397,-1.2018085931064684
52,0.9366292540547047,-3.6802158359407535,-2.5673227001345875,-1.342541241991689,-1.212730423718629
53,0.9315441109801432,-3.713437185799923,-2.591754588004199,-1.3537718801902865,-1.2233299393418255
54,0.9340349614704206,-3.745869090632061,-2.6144644417746323,-1.3669142339135432,-1.235736838990005
55,0.9344257419853684,-3.779334120349213,-2.6381072805365737,-1.3797661025621912,-1.2478634175802208
56,0.9414075384569253,-3.8026687504021615,-2.6528236944248,-1.386292581618208,-1.253311148392569
57,0.9326592082616179,-3.833905663216182,-2.676277534324295,-1.3999087925369789,-1.2658095567961858
58,0.9462375422876474,-3.8503288567033223,-2.6892309836996677,-1.4059166240233036,-1.2712679605409583
59,0.9394458983846223,-3.8780035377111672,-2.706926458835422,-1.4199163990944583,-1.2821182175471033
60,0.9381923501836315,-3.901790139357993,-2.7245535242712706,-1.425756340160051,-1.2876517847655562
61,0.9418249916935996,-3.9185228316749905,-2.737561432476834,-1.4305990046566128,-1.292677576252972
62,0.9347773694041092,-3.9486961851805367,-2.7554116912313344,-1.4412924714115702,-1.3021655233194573
63,0.9446020155693682,-3.9673592347982694,-2.768374938593507,-1.447018490398393,-1.30665640141515
64,0.9350983358547655,-3.9985552525879227,-2.789510869535671,-1.4564831058481744,-1.3138317907504058
65,0.9382477341389728,-4.02112759379874,-2.804725754347119,-1.464761730756824,-1.3222645244359676
66,0.9397702112381067,-4.042203529857781,-2.8180870623893677,-1.4760394219105235,-1.3306752544048244
67,0.9417277424005768,-4.062616980250124,-2.831897078212593,-1.4827069431759905,-1.336574304850797
68,0.9346361996392063,-4.085691708796183,-2.8491984831151065,-1.4896017932461099,-1.3435769954891363
69,0.937090200248095,-4.108777139235921,-2.8654308756062625,-1.4991546808652172,-1.35248928266533
70,0.9401959886436487,-4.129299203685446,-2.8816885865387394,-1.506141713708833,-1.3599658004136217
71,0.9379715766188903,-4.150968004142092,-2.896583059322487,-1.517688499833842,-1.370030486520352
72,0.9410731823457635,-4.171052961586541,-2.9117623101374885,-1.523906577229498,-1.3763322068955892
73,0.9481935717738038,-4.185977846248592,-2.9236126866003156,-1.5294549662450474,-1.3817926168743315
74,0.9433191080122618,-4.2012781334085325,-2.935960105851605,-1.5363247012986703,-1.3885436870583308
75,0.9379283628344955,-4.222864598586853,-2.9503589175872054,-1.5451787358279907,-1.3965720059201212
76,0.9401258010918585,-4.243895092799521,-2.96333813066508,-1.5533680023689163,-1.4037547394649128
77,0.9363919821826281,-4.267886800339148,-2.9783575754829297,-1.5623065191859289,-1.4106137413298616
78,0.9373142393947582,-4.28638844904143,-2.991850346928237,-1.5685689416941107,-1.4163554384371475
79,0.9354072738202585,-4.308075396510626,-3.007258814800864,-1.5783056398199822,-1.4270097813503346
80,0.9380983922442343,-4.325730218130983,-3.0192941301635443,-1.5850557517371595,-1.4330523700487983
81,0.9454797659972257,-4.337342700546193,-3.026354446967549,-1.5888695812352729,-1.4361422103387707
82,0.9424833448889157,-4.354633010033084,-3.0368495149142753,-1.5975788885629438,-1.4445193250624089
83,0.9391024668507449,-4.3741899900759345,-3.0502426710006088,-1.605137625231916,-1.4519152492228413
