seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9436,400.2616,2484,913,60282,57798,57796,193,42,224,193,193,191,7115,7314,0.0157,0.0328,0.9514,0.0117,0.0561,0.9322,9,43,222,205,224,191
43,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9463,397.876,2322,906,60062,57740,57742,175,42,191,175,175,169,7371,7560,0.0079,0.0329,0.9593,0.0261,0.0418,0.9321,20,32,207,180,191,169
44,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9439,398.4238,2528,807,59410,56882,56884,223,42,227,223,223,216,6899,7120,0.0157,0.0288,0.9556,0.017,0.0627,0.9203,13,48,230,244,227,216
45,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9442,396.5563,2498,822,59520,57022,57023,183,42,222,183,183,187,7087,7270,0.0105,0.0276,0.9619,0.0156,0.0639,0.9205,12,49,229,212,222,187
46,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9457,397.2985,2346,854,58938,56592,56591,202,42,193,202,202,187,7147,7349,0.0105,0.0316,0.9578,0.0169,0.0691,0.914,13,53,198,221,193,187
47,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9487,398.2586,2227,818,59402,57175,57174,192,41,230,192,192,188,7188,7396,0.0132,0.0448,0.942,0.0183,0.0875,0.8943,14,67,235,224,230,188
48,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9468,398.3751,2417,759,59646,57229,57229,185,42,204,185,185,172,7240,7419,0.0106,0.0317,0.9578,0.0277,0.0646,0.9077,21,49,218,207,204,172
49,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9464,397.4862,2184,988,59136,56952,56952,175,42,210,175,175,162,7401,7583,0.0131,0.0327,0.9542,0.0131,0.077,0.9099,10,59,210,203,210,162
50,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9484,398.0463,2233,833,59402,57169,57169,185,42,228,185,185,181,7157,7338,0.0143,0.0261,0.9596,0.0104,0.0587,0.9309,8,45,226,215,228,181
51,Imbalance_severity_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9472,398.9434,2323,838,59852,57529,57531,204,42,197,204,204,209,7222,7417,0.0119,0.0264,0.9618,0.0247,0.0664,0.9089,19,51,208,231,197,209
