Seed,Duration (hours),Total Runtime (s),Failed Events,Starvations,Bike Starvations,Long Congestions,Short Congestions,Total Trips,Bike Departures,Bike Arrivals,Vehicle Arrivals,Bike Deliveries,Bike Pickups,Maintenance Time (minutes),Maintenance Violations,Maintenance Starvations
1,120,16934.99,1784,1114,983,670,733,15456,14342,14338,412,914,932,2072.7099345838137,2,131
2,120,48210.97,1365,947,912,418,415,15530,14583,14572,734,1709,1713,4815.437116547318,0,35
