seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9519,401.4368,2026,876,60282,58256,58256,234,42,208,234,234,224,7296,7520,0.0157,0.0328,0.9514,0.0052,0.0209,0.9739,4,16,202,219,208,224
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9494,398.2342,2102,940,60062,57960,57962,246,42,178,246,246,224,7420,7664,0.0079,0.0329,0.9593,0.0013,0.0366,0.9621,1,28,173,234,178,224
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.945,398.8782,2385,883,59410,57025,57026,215,42,231,215,215,215,7371,7591,0.0157,0.0288,0.9556,0.0013,0.0144,0.9843,1,11,222,205,231,215
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9491,396.9297,2262,768,59520,57258,57259,242,42,224,242,242,234,7363,7610,0.0105,0.0276,0.9619,0.0052,0.0143,0.9804,4,11,221,228,224,234
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9497,397.9834,2109,857,58938,56829,56828,222,42,209,222,222,215,7395,7617,0.0105,0.0316,0.9578,0.0052,0.0156,0.9791,4,12,206,207,209,215
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9479,398.3608,2130,967,59402,57272,57273,221,41,218,221,221,226,7238,7465,0.0132,0.0448,0.942,0.0052,0.0235,0.9713,4,18,213,204,218,226
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9464,398.4098,2349,850,59646,57297,57296,226,43,203,226,226,208,7425,7647,0.0106,0.0317,0.9578,0.0092,0.0317,0.9591,7,24,203,222,203,208
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9483,397.4885,2109,950,59136,57027,57029,225,42,231,225,225,223,7260,7484,0.0131,0.0327,0.9542,0.0039,0.0261,0.97,3,20,224,218,231,223
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9529,397.9778,2023,775,59402,57379,57377,224,42,205,224,224,212,7392,7613,0.0143,0.0261,0.9596,0.0039,0.0274,0.9687,3,21,199,222,205,212
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,3,18,0.9499,400.0441,2062,936,59852,57790,57789,220,42,231,220,220,211,7421,7627,0.0119,0.0264,0.9618,0.0039,0.026,0.9701,3,20,226,216,231,211
