episode,service_level,squared_starvation_penalty,squared_congestion_penalty
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114
1,0.9339648419710356,-1.100746601328591,-0.9101648190168644
2,0.9352786110353604,-1.4326145411120252,-1.1875936254059534
3,0.9405379326981064,-1.702411164751298,-1.3959062995376885
4,0.9359749739311783,-1.982703630359192,-1.6229941389316933
5,0.9275944811037793,-2.3054676408155017,-1.8845142743013756
6,0.930398322851153,-2.6035824059483583,-2.1212876516838883
7,0.9303868712601457,-2.875493605775704,-2.3381608810018704
8,0.9346087267952009,-3.106228983033033,-2.516581592086129
9,0.9334661595121657,-3.3321033566182336,-2.7020796141074217
10,0.9331879164550154,-3.54325859326818,-2.8716778924207875
11,0.9337389514469064,-3.7359968853063714,-3.015072044708087
12,0.9343960578264613,-3.9394950406850913,-3.1611228832711085
13,0.9341175766283525,-4.134774857936159,-3.311098353803001
14,0.9374624534422684,-4.290216039237913,-3.423369034423951
15,0.9376025293047394,-4.44646343060903,-3.53390443174606
16,0.9333874410076052,-4.602672360760569,-3.6550331943437437
17,0.940618075103312,-4.7257297171698776,-3.7498955065960664
18,0.9397568770347361,-4.850249857507061,-3.8317216576450015
19,0.930582406959884,-5.021478357363662,-3.954462799370211
20,0.9409396779620284,-5.126023494162378,-4.022863547089598
21,0.9334850708274685,-5.263773941567056,-4.118824738152693
22,0.9323041433768078,-5.402590339960856,-4.220885863166172
23,0.9239964317573595,-5.567744241064485,-4.330355583876394
24,0.9295151569133933,-5.71020359493453,-4.433093659203741
25,0.935853311179682,-5.8398772294720045,-4.510952596497272
26,0.9303172596472217,-5.9747094732576125,-4.603044008703898
27,0.9309626588583331,-6.065964186073699,-4.679794324131055
28,0.9373134328358209,-6.153535596682604,-4.726288219308087
29,0.9305547315336695,-6.268337672009978,-4.810564053811329
30,0.9371203565214737,-6.338925456164137,-4.8545949785980715
31,0.935980283129452,-6.3973576777900725,-4.884411228005801
32,0.9333074255649887,-6.503885830364542,-4.961840709194827
33,0.9403164671199086,-6.586874315713955,-5.0086663187045035
34,0.9375575011129248,-6.683593993469793,-5.067616606672968
35,0.9384181807279487,-6.738576263499318,-5.098956114318591
36,0.9345058525401231,-6.797485661978252,-5.1315209782389415
37,0.9253166055154456,-6.924259346543146,-5.205176413372144
38,0.9289717385440704,-7.022668618776208,-5.273982518230048
39,0.9330546467951049,-7.111108621794009,-5.337095127231954
40,0.9352379809135106,-7.165346715354576,-5.382164974619133
41,0.9356523305021159,-7.221511511244927,-5.4145112991780255
42,0.9305717794351095,-7.301527498496296,-5.472016154711794
43,0.9357405690011069,-7.3396493922972255,-5.500847130752177
44,0.9342160952899208,-7.400417424313147,-5.528311590121687
45,0.9407339122160104,-7.455899154809243,-5.556769421670925
46,0.9296333890613805,-7.520165980216345,-5.598046729229498
47,0.9304425040698535,-7.596724008419841,-5.64079026918358
48,0.9338051498268333,-7.63817750761248,-5.668991221795478
49,0.9387124823843362,-7.68355209461276,-5.685671411212242
50,0.9264408192426768,-7.790021110250178,-5.74529145826506
51,0.9335700547418257,-7.8466161542861625,-5.788071481399996
52,0.9335447817550219,-7.8942528968701104,-5.818220354244553
53,0.9361854257284157,-7.929798004195903,-5.838729885283514
54,0.9395859361056577,-7.957064895066852,-5.8481383557865945
55,0.9317506527806957,-8.026221946149024,-5.891884244656771
56,0.9397757414998794,-8.05878382243308,-5.908748801863148
57,0.9349096547200191,-8.124829313057774,-5.941369975196804
58,0.9375151221872732,-8.190477327398153,-5.969517821701837
59,0.9423543871219161,-8.22382520917234,-5.982089896190773
60,0.9379174852652259,-8.25210099100497,-5.990679391914422
61,0.9311327126956623,-8.315374337520245,-6.018100943631967
62,0.9352364720920324,-8.36244770958443,-6.041781083651707
63,0.9330878020035357,-8.416807518188746,-6.061694507065266
64,0.9352284448759177,-8.448917674804708,-6.078650452448659
65,0.9395090153395329,-8.479174900633451,-6.085945925737176
66,0.9287437428381883,-8.546873218685647,-6.130440512979257
67,0.9319579096713171,-8.598962651934272,-6.164368330067643
68,0.9390365901718859,-8.62533261169823,-6.177757409802125
69,0.9433252355276411,-8.63667922022517,-6.176119831654467
