episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.42117910197412134,-0.3134925330174156,-0.505664797166537,-0.40224052390403814
1,0.9388996570746981,-0.5599708252568342,-0.43750836564784895,-0.7316032246484203,-0.5991681976320565
2,0.9379347404245156,-0.6974629798380522,-0.5587971547143459,-0.9204195354933159,-0.7930570998464405
3,0.9377562093079335,-0.8298096712357808,-0.6587625813081697,-1.0976074228936366,-0.9524112800294505
4,0.9374417555989779,-0.9492304847904115,-0.7532608083888962,-1.2565584648641446,-1.114886689996598
5,0.9415431164901664,-1.0423052618202764,-0.8444856245231711,-1.3808458864743562,-1.2378188674616233
6,0.9320689449513926,-1.1649376725543399,-0.946317623856444,-1.5538444515199394,-1.3914604395896173
7,0.9346870917943237,-1.2671545618262887,-1.0280343853783371,-1.7127467524376672,-1.5513018045443092
8,0.9339336661911555,-1.376794388765602,-1.1023158672390088,-1.8689002018260632,-1.684894193997884
9,0.9344074342264059,-1.4762708322504252,-1.1805878877268163,-1.988744807067473,-1.8134731853669857
10,0.934231402484658,-1.5498431027543098,-1.240184589164473,-2.0973469950299664,-1.9145829487732973
11,0.935483870967742,-1.6435635689120005,-1.2971629530527524,-2.195287472583495,-2.00050025301021
12,0.9358650040177375,-1.7155907618696566,-1.3394358513828626,-2.2879268309176957,-2.0921218448619916
13,0.9340652747780178,-1.787655533313905,-1.4001202729713476,-2.418895447337551,-2.2189730464499036
14,0.9381134785731386,-1.8417775689900049,-1.4694940759960526,-2.488914658760294,-2.293032416943197
15,0.9371190054352723,-1.8958204884819796,-1.52281854076727,-2.5710885705837088,-2.3821036005582368
16,0.940878634448049,-1.9564029500719349,-1.5571418270097876,-2.64899614724943,-2.4462751596218655
17,0.9408893709327549,-1.996705034978161,-1.5903946933192468,-2.6891864410124984,-2.493590444238389
18,0.934795100559504,-2.042884588435078,-1.6329775544532126,-2.7709134301181275,-2.586478682459816
