episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
0,0.8974962041144422,-22.764568016180974,-10.416024377745504,-7.3211219920083135,-1.50421767788151,-1.225156563242395,-5.151004844225992,-40.47194033977107,-40.47955896334085,-40.538786010815535,-1.6902905195735065,-23.885135471716854,-13.120619343521371
1,0.9310814491964042,-37.57897891736425,-17.729878828540578,-12.373300057228056,-2.7158612480032622,-2.1574678264272142,-7.069360927353811,-64.63106148113947,-63.67176756621255,-65.12933484982868,-2.6867799848145295,-42.72203956322952,-21.92657032036601
2,0.9304489697262674,-39.87435057757583,-19.56097736191977,-13.296797743806572,-2.996470076493934,-2.3771508912827115,-6.730987840403514,-64.8622144278304,-62.611175821360675,-65.86654395496853,-2.652766632429317,-46.89214085421043,-23.613734498841527
3,0.937386624743016,-41.72420045494757,-21.19213407970852,-14.100626638050242,-3.1495192460504446,-2.551402543840692,-6.691252088422154,-64.02159202256217,-60.51800807849594,-65.79010495468569,-2.578805853630049,-50.20587880016371,-24.97741910552992
4,0.9347961637815849,-43.38738368734838,-22.797994704280857,-14.706345556933202,-3.2891818096110375,-2.7421069117155366,-6.815451560953593,-62.742059219258024,-57.928876578025964,-65.3077194408322,-2.4833615157423505,-52.59416403009691,-26.271035121436743
5,0.9383942404082749,-45.3793404641996,-24.54511175195228,-15.376818940664133,-3.3635999438184303,-2.8341772605445317,-7.06538179975515,-61.5260319650931,-55.34370527096585,-65.07736899649896,-2.3869643474183815,-55.54955653094694,-27.7168397829663
6,0.9249985059463336,-47.775800083188415,-26.479990358941354,-16.265735778785093,-3.476682917906231,-2.899187880881776,-7.459599853403328,-60.38910796411961,-52.97306758185994,-64.86057860683059,-2.2918194786601713,-57.71971571164605,-29.36132201815317
7,0.934034157655351,-50.569035819626635,-28.653617797690355,-17.257320309398626,-3.716305102748745,-2.9386571677770825,-7.7679530894960775,-60.45794798913141,-51.609324524229336,-65.58365808037338,-2.2322874364506218,-59.749852442864245,-31.218118089264664
8,0.9386385426653883,-52.69642370849617,-30.545549783862825,-18.200534589942,-3.820628593698154,-3.038882238869325,-7.874379369154505,-58.489089605837925,-48.457798883603324,-64.17309269083849,-2.063604943913581,-60.55066882856701,-32.669084738238396
9,0.9380633373934226,-55.40355310987267,-32.5426737753235,-19.31384482699501,-3.8882566794392295,-3.2583121719640267,-8.07947166061954,-58.06939524581124,-46.962452079777414,-64.52019693282669,-1.9685718444186273,-62.30270938218647,-34.46494376671149
