episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.006421845221940052,-0.003886498907306571,-0.001928746031743038,-0.0007193658077905533,-0.0013482950990515953,-0.0006597502624829428,-0.0016504813786806533,0.02,0.02,0.2
1,0.9262895958033492,-0.013845236701053934,-0.007780108160440354,-0.0035353999897506988,-0.0015392547936195482,-0.0025101611732844522,-0.0013535306089583624,-0.0023070344120102947,0.019416,0.02,0.198006
2,0.9191462270473127,-0.022145399357315836,-0.012228724178653994,-0.0053847206239888016,-0.002451167430152603,-0.003737593389997164,-0.002182770008469964,-0.0032592410553127383,0.018864,0.02,0.196032
3,0.9193615846619712,-0.03001236047998869,-0.01638701674902364,-0.00709699304619067,-0.003335173035623581,-0.0048783744274699965,-0.002918825230499988,-0.004094678919914546,0.018344,0.02,0.194078
4,0.9179312172818236,-0.03783063830880678,-0.02054117260957302,-0.008861415158204702,-0.004174665024474287,-0.006091968602070763,-0.0036674152489203425,-0.005293160476823601,0.017851,0.02,0.192143
5,0.919487127983663,-0.04523604490301363,-0.024452275047410665,-0.01045921852937146,-0.004997273657998992,-0.007168612670540586,-0.004394782188136095,-0.006035597351556402,0.017384,0.02,0.190228
6,0.923669526811753,-0.052058734563023686,-0.028071135538701695,-0.01191220421267423,-0.005798765827964492,-0.008136453222326012,-0.005061486683441876,-0.006736746277144285,0.016941,0.02,0.188331
7,0.9156051755017325,-0.05953663724430208,-0.032049840388001016,-0.01361295945476614,-0.006582280035908924,-0.009306583720961142,-0.005724058274158371,-0.007771145331840696,0.016519,0.02,0.186454
8,0.9210084603516386,-0.06628591961452837,-0.035650332622535696,-0.015156165178191834,-0.007302720574163751,-0.01032329328992971,-0.00635031348621331,-0.008701902006899683,0.016119,0.02,0.184595
9,0.922360561111484,-0.07271321901266713,-0.038984969602833625,-0.016501535572341908,-0.00799858330943308,-0.011266365004477825,-0.006945711644755748,-0.009463660714845955,0.015737,0.02,0.182755
10,0.9134407067161547,-0.07984232605957639,-0.04270200777304523,-0.018072754910695488,-0.00873489558714183,-0.012298813840425624,-0.007598294897115114,-0.010471227724739398,0.015373,0.02,0.180933
11,0.9241485025098541,-0.08596529491903837,-0.04595193049364062,-0.019414246552737664,-0.009433819284450346,-0.013216687381259284,-0.008155340439272176,-0.011109070750629986,0.015025,0.02,0.179129
12,0.9281162547624667,-0.09148787957477073,-0.04883907331792116,-0.02056885637660755,-0.010072707801680323,-0.014017771021013401,-0.008693267686248321,-0.011562458950758008,0.014693,0.02,0.177343
13,0.9240414838720522,-0.09727220629838672,-0.05190148158965886,-0.021821101174336794,-0.01073043320272549,-0.014834413170075316,-0.00921756573474158,-0.012199204170080337,0.014375,0.02,0.175575
14,0.9253661237020013,-0.1028750393213484,-0.054795279811730935,-0.023008372466679163,-0.011319757751425713,-0.015616266296743295,-0.009742984634202069,-0.012777344914069611,0.014071,0.02,0.173825
15,0.9303168027906821,-0.10794704526029883,-0.057415812362642364,-0.02405095336957464,-0.011907813448274237,-0.016353492886810442,-0.010235996721148473,-0.013223557252344186,0.013779,0.02,0.172092
16,0.9191964959975835,-0.11365032425076564,-0.06045425817603259,-0.025332286209818353,-0.012513706398705407,-0.017232384654069607,-0.01075684466369191,-0.014011759938933629,0.013499,0.02,0.170376
17,0.9232068365675297,-0.11906847947243844,-0.0632969341108885,-0.02651475849475848,-0.013093316739558847,-0.018019827720119005,-0.011251593171958604,-0.014761301524347358,0.01323,0.02,0.168678
18,0.9179223896519536,-0.12471404524821596,-0.0662733856479026,-0.02776547078253416,-0.013699180833445911,-0.018849142200676846,-0.011795344320470694,-0.015541160175188126,0.012972,0.02,0.166996
19,0.92030412056208,-0.1300953101901201,-0.06907989275935787,-0.028921533810501585,-0.014270759336954828,-0.019646941802006445,-0.012278543440634617,-0.016226746948006035,0.012723,0.02,0.165332
20,0.9243445568823597,-0.13519984239971258,-0.07171977201768642,-0.03002872838628949,-0.014784826234536788,-0.02041314794855658,-0.012740597435548002,-0.016935220964317058,0.012484,0.02,0.163683
21,0.9226920402313472,-0.14023068782583886,-0.07431765049838364,-0.031135841585969264,-0.015305677892646273,-0.02116110287412244,-0.013203912741015452,-0.017554991578872407,0.012254,0.02,0.162052
22,0.9313858354665462,-0.14454634838500802,-0.07654826218211894,-0.03203751314123566,-0.015779490350130643,-0.02179990832705129,-0.013600186585858771,-0.01799307466490854,0.012032,0.02,0.160436
23,0.9217269631477798,-0.1494615995872653,-0.07911862474289656,-0.0330706093443958,-0.016341162091764522,-0.022496010823976655,-0.014093137387978077,-0.01849767136958983,0.011818,0.02,0.158837
24,0.9201663893510815,-0.15440911137594135,-0.08171956452589185,-0.034133726105604084,-0.016904625886862073,-0.023222979251925614,-0.014584141682407743,-0.01907472099129669,0.011612,0.02,0.157253
25,0.9224457474053107,-0.1591297698535025,-0.08416411993336283,-0.03513985974328075,-0.017408077818431712,-0.023918894525555328,-0.015027678828481262,-0.019645728162319492,0.011412,0.02,0.155686
26,0.9239691585652028,-0.16366785379404136,-0.08653864755532155,-0.03614946580012973,-0.017860335779906294,-0.024586580275938408,-0.015437893564373901,-0.020223188049980412,0.01122,0.02,0.154133
27,0.9231012447580377,-0.16824565073339945,-0.08894135729884535,-0.03713359642823978,-0.018372642448986804,-0.025242160213008107,-0.015855145083798282,-0.02067163568033608,0.011033,0.02,0.152597
28,0.9266089004795155,-0.17248537761983995,-0.09115141685733966,-0.038035481314072396,-0.01884630101195572,-0.02582748675845591,-0.016243543287128348,-0.021169341757581686,0.010853,0.02,0.151076
29,0.9240461670278716,-0.17680360324684685,-0.09343449701764828,-0.03898177508240995,-0.019327762647478486,-0.026445342186883297,-0.01664364312092674,-0.021688983263941943,0.010679,0.02,0.14957
30,0.9212554318305268,-0.18113318254979946,-0.0957211672042685,-0.03992178875191751,-0.01981720702748838,-0.027063054576665187,-0.017052726332228155,-0.022203264590599344,0.01051,0.02,0.148078
31,0.921858393643403,-0.1854305849665769,-0.09797196074645384,-0.04083413836787839,-0.020296267350242436,-0.027665169754580474,-0.01748254838419367,-0.022712888635374327,0.010346,0.02,0.146602
32,0.9195715414753906,-0.18977290534711377,-0.10029761141549212,-0.04181154395749002,-0.02077884797218011,-0.028306683192152057,-0.01789268109903216,-0.02319952763120605,0.010187,0.02,0.145141
33,0.9256086411810517,-0.19376833430478674,-0.10239005591038093,-0.04268150602667732,-0.021215135101595138,-0.02886841945939404,-0.018267646618113517,-0.02364484876237269,0.010034,0.02,0.143694
34,0.9183397360948722,-0.198097089281796,-0.10468707956106853,-0.043629858687985405,-0.02168491919376309,-0.029505856463289497,-0.01866905164956968,-0.024156132457348545,0.009884,0.02,0.142261
35,0.9259516156318728,-0.20184567314597968,-0.10665643020926242,-0.044415615415094006,-0.022115838240007703,-0.030036034283348213,-0.019013934345576623,-0.024493336130068155,0.009739,0.02,0.140843
36,0.9203111291084565,-0.20587980331088263,-0.10879493711449323,-0.04528762444468088,-0.022559561122790638,-0.030609504201634063,-0.019402095085513812,-0.024967706669729483,0.009599,0.02,0.139439
37,0.9280217369291525,-0.20950791635020738,-0.11067330520785952,-0.046043448059544134,-0.022963580369285475,-0.03110972020250035,-0.01975888894552357,-0.025272086038318514,0.009462,0.02,0.138049
38,0.9205836041408423,-0.21343609232360797,-0.11272745707384595,-0.04690743858133145,-0.023383600179268806,-0.0317000464003532,-0.020132314846738497,-0.0258095396620601,0.009329,0.02,0.136673
39,0.9221134176196385,-0.21719962886220665,-0.11471171719275536,-0.047727968275482285,-0.023785136366665797,-0.03225844670335406,-0.020473170737272908,-0.026333025131403807,0.0092,0.02,0.13531
40,0.9267992376326131,-0.2207476733681292,-0.11655849185329396,-0.048477558378482895,-0.024168509344466106,-0.0327551662997754,-0.02081998217327882,-0.026683032734635796,0.009074,0.02,0.133961
41,0.9235385080848488,-0.22440490070320343,-0.11846855790420922,-0.049273569111508465,-0.024553623524660347,-0.03329570568365782,-0.021160436297675077,-0.027111035750692805,0.008952,0.02,0.132626
42,0.9263157894736842,-0.2278201826192067,-0.12028637707234728,-0.05002741742168005,-0.02492686632685986,-0.033793506226396514,-0.021489979493270715,-0.027490656646714167,0.008833,0.02,0.131304
43,0.9235553338322109,-0.23137827058447757,-0.12216944438561754,-0.05079659269331509,-0.02531990219242467,-0.03430446582641856,-0.021808045786136543,-0.027966655169297232,0.008717,0.02,0.129995
44,0.9202916771435755,-0.23497487583449772,-0.12408915011560641,-0.051622379156131444,-0.025695012123480902,-0.034866330197141054,-0.022145636424875135,-0.028492080681321,0.008604,0.02,0.128699
45,0.9241285375573829,-0.23833953403301303,-0.12584132693365688,-0.05234843606659972,-0.026051551685583537,-0.03535874993410734,-0.02245293737233303,-0.02889840176131297,0.008494,0.02,0.127416
