seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9521,401.1822,2110,780,60282,58172,58170,244,42,207,244,244,245,6891,7145,0.0157,0.0328,0.9514,0.0065,0.0169,0.9765,5,13,201,228,207,245
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9506,397.8295,2139,830,60062,57923,57925,194,42,208,194,194,185,7264,7457,0.0079,0.0329,0.9593,0.0052,0.017,0.9778,4,13,207,179,208,185
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9489,398.2217,2316,721,59410,57094,57097,269,42,198,269,269,260,6728,6993,0.0157,0.0288,0.9556,0.0065,0.0248,0.9686,5,19,192,257,198,260
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9484,396.7408,2276,798,59520,57244,57247,235,42,206,235,235,226,7172,7406,0.0105,0.0276,0.9619,0.0,0.0235,0.9765,0,18,200,227,206,226
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9513,397.2757,2158,713,58938,56780,56779,222,42,206,222,222,219,7076,7302,0.0105,0.0316,0.9578,0.0052,0.0209,0.9739,4,16,202,208,206,219
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9493,398.8179,1985,1026,59402,57417,57417,231,42,221,231,231,223,7024,7262,0.0132,0.0448,0.942,0.0039,0.0326,0.9634,3,25,218,218,221,223
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9428,398.6668,2383,1027,59646,57263,57261,211,42,210,211,211,204,7069,7267,0.0106,0.0317,0.9578,0.0106,0.0369,0.9525,8,28,211,214,210,204
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.95,397.2383,2137,822,59136,56999,56996,232,42,202,232,232,215,7016,7251,0.0131,0.0327,0.9542,0.0013,0.0339,0.9648,1,26,195,226,202,215
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.9497,397.9524,2174,813,59402,57228,57228,213,42,219,213,213,207,7119,7326,0.0143,0.0261,0.9596,0.0078,0.0222,0.97,6,17,216,209,219,207
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,5,10,18,0.948,399.3552,2201,910,59852,57651,57652,225,42,232,225,225,228,7132,7348,0.0119,0.0264,0.9618,0.0052,0.0326,0.9622,4,25,227,224,232,228
