seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9477,401.2572,2234,917,60282,58048,58047,236,42,215,236,236,224,6842,7075,0.0157,0.0328,0.9514,0.0052,0.0248,0.97,4,19,209,222,215,224
43,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9482,397.3422,2246,866,60062,57816,57816,188,42,215,188,188,178,7297,7495,0.0079,0.0329,0.9593,0.0104,0.0248,0.9648,8,19,219,181,215,178
44,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9454,398.7971,2312,931,59410,57098,57100,232,42,222,232,232,222,6865,7087,0.0157,0.0288,0.9556,0.0144,0.0222,0.9634,11,17,223,225,222,222
45,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.949,397.1127,2201,833,59520,57319,57321,217,42,223,217,217,220,7124,7349,0.0105,0.0276,0.9619,0.0052,0.0183,0.9765,4,14,219,209,223,220
46,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9491,397.1982,2160,841,58938,56778,56777,208,42,230,208,208,210,7035,7245,0.0105,0.0316,0.9578,0.0065,0.0091,0.9844,5,7,227,194,230,210
47,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9499,398.7224,2073,901,59402,57329,57330,217,42,219,217,217,209,6935,7162,0.0132,0.0448,0.942,0.0013,0.0326,0.9661,1,25,214,203,219,209
48,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.944,398.5213,2414,928,59646,57232,57232,198,42,221,198,198,193,6956,7143,0.0106,0.0317,0.9578,0.0066,0.0356,0.9578,5,27,218,197,221,193
49,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9487,397.4031,2123,908,59136,57013,57011,220,42,219,220,220,226,6897,7130,0.0131,0.0327,0.9542,0.0144,0.0117,0.9739,11,9,221,209,219,226
50,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9515,398.2448,2077,803,59402,57325,57325,221,42,224,221,221,208,6958,7183,0.0143,0.0261,0.9596,0.0078,0.0156,0.9765,6,12,222,215,224,208
51,EX18_KSFiltered_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,0.9512,399.3244,2138,781,59852,57714,57714,242,42,238,242,242,231,7005,7229,0.0119,0.0264,0.9618,0.0039,0.0273,0.9688,3,21,234,242,238,231
