episode,service_level,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty
0,0.8996806256156165,-0.7138149370166452,-14.711973181809002,-10.359610042855705
1,0.928171727364462,-2.701827905020439,-60.39425840685132,-41.92366866158641
2,0.9347127968977218,-4.22264325213616,-98.87228936404456,-68.38654806748296
3,0.9384490238611713,-5.516865677936687,-133.77981009128138,-92.36779205541866
4,0.9329460034140936,-6.606946248032226,-164.8182853778709,-113.70478513279531
5,0.9372423959806252,-7.592736693243087,-193.4120050666071,-133.25874529717697
6,0.9375484409467597,-8.52522283380563,-221.3529348419073,-152.2634605961299
7,0.9369849156526138,-9.346950281667375,-245.08768728179825,-168.3050262285452
8,0.9425061869982495,-10.096086743668904,-267.99259085659884,-183.66768672231714
9,0.9287449146882021,-10.786647581225722,-289.3249193984013,-197.97350052923366
10,0.9301167221772136,-11.440772162243531,-309.0657849990542,-211.20394988480865
11,0.9337152454935365,-12.064739310455852,-329.66562984367056,-225.12107135627213
12,0.9409219304044715,-12.656011297150286,-348.64478337300335,-238.081120544125
13,0.9389285282379973,-13.194024551165764,-365.0431006325473,-249.06852345376134
14,0.9374388154674498,-13.69129579344972,-381.12308535656155,-259.93680248464625
15,0.9419504410923434,-14.124624329930404,-395.2363007091257,-269.43324191746274
16,0.9341015484335614,-14.548654431972736,-408.1148620694869,-278.14603222234945
17,0.9385034013605442,-14.978021042755753,-421.19731967077695,-287.0223049147403
18,0.9413912781047231,-15.38217772854002,-433.1174651300971,-295.102679130175
19,0.9392835458409229,-15.779566340890335,-444.5451167872577,-302.74297087094806
20,0.9416504500121625,-16.130692768900616,-455.35838537266494,-310.1028423228493
21,0.939534744289226,-16.45411163910976,-465.1009952508848,-316.57429726268765
22,0.9318587227970032,-16.818121309012643,-475.9132282269511,-323.9425520483398
23,0.9298928336227025,-17.12358671530562,-485.7062472022814,-330.63301739776267
24,0.93661394614614,-17.394403711249236,-495.46038461798105,-337.3425270010889
25,0.9295329545109241,-17.64815871021414,-503.85929018984143,-343.11765941397306
26,0.9371001171487789,-17.91843740417571,-512.2062370233463,-348.9969184975136
27,0.9362805705497421,-18.18324103355785,-521.0804985102517,-355.0060149872379
28,0.9364347541568756,-18.457571525500104,-529.4141396798701,-360.75077108301497
29,0.9332310506594282,-18.713732751635895,-536.4832291031129,-365.472943872478
30,0.9378681245658018,-18.94045866591555,-543.0756175467893,-369.9014307638069
31,0.9348623301671276,-19.142799114565697,-548.2819166753858,-373.49350367753414
32,0.9318290782692077,-19.335272035515906,-553.2755723917819,-377.0519421612564
33,0.9338343604388998,-19.49686831032462,-557.7611516683769,-380.06477633819014
34,0.9283239756301517,-19.7255818739173,-564.296570462576,-384.62411146221336
35,0.9364736650042573,-19.939363924038293,-570.8970147187792,-389.37140573635764
36,0.9388318863456985,-20.140626119456563,-576.7145933144257,-393.252531087961
37,0.9341317365269461,-20.298833800344216,-580.901324308643,-396.2396277604388
38,0.942550712514564,-20.47498054123099,-586.0652406950195,-399.9585981113962
39,0.932735701347742,-20.635694603569906,-590.9068080403001,-403.37496531522027
40,0.9312384919556884,-20.790215419937404,-594.5456468574542,-405.96792732398774
41,0.929670528602462,-20.948966582970915,-598.4853560786261,-408.7162462102109
42,0.9429712265301146,-21.091902847863786,-602.2030795547638,-411.22847246940245
43,0.9353269898806826,-21.25394560418138,-606.0704893730048,-413.85009296267845
44,0.9360111390259406,-21.38792715062752,-608.4885793558329,-415.4647026614883
45,0.9456264056896238,-21.5124923258061,-610.7003664577878,-417.01461924009953
46,0.9310032869937577,-21.633497030907748,-613.6364364501799,-419.1438773202972
47,0.9351336639651627,-21.784177690166615,-617.7523564436102,-422.1515278475681
48,0.9298346382901539,-21.936757769787985,-621.8266740110997,-424.8467505763054
49,0.9388074056263525,-22.05503989595333,-624.7500806978077,-426.85227971770223
50,0.9375075147288686,-22.171279729412966,-627.740284328511,-428.9478021637789
51,0.940136541156128,-22.285956084357498,-629.6176438520396,-430.39632507622656
52,0.9365397261911879,-22.395894804020998,-632.3865502301819,-432.3193159029443
53,0.9352030947775629,-22.490920970093367,-634.3663280601304,-433.7736305189606
54,0.9309108439543222,-22.57216487447564,-635.4555935139495,-434.5931143201537
55,0.9309315583679073,-22.661032095304083,-637.95321740542,-436.4289280508085
56,0.9413511729765405,-22.767151918073505,-640.4536879114279,-438.27974656212297
57,0.9352270346313868,-22.862483703189998,-642.474712546797,-439.6939329275957
58,0.9407465100952609,-22.97170815262107,-644.1348241393702,-440.93728459189475
59,0.9360889824139486,-23.07310486448631,-645.5212810490151,-441.9821877930157
60,0.9362650602409639,-23.17914013714027,-647.8408766292956,-443.5602714324117
61,0.9323370448034496,-23.286868711586138,-649.6635726659437,-444.8574367137584
62,0.9391844988380165,-23.369792272275813,-650.9333141153754,-445.85418241204167
63,0.9274108778568639,-23.481996349857123,-653.6071888141964,-447.8834613419378
64,0.9403684890745695,-23.560878417263332,-654.9897955313818,-448.8199166798946
65,0.9419440584788256,-23.63453183656706,-656.383401265799,-449.932824275174
66,0.9351298323063245,-23.725257386502342,-658.4254942676318,-451.5407801200531
67,0.9429321872015282,-23.79837292079525,-658.7176207562841,-451.6925759382454
68,0.9391455762706776,-23.879498917490494,-659.7435656895178,-452.5283386543681
69,0.9377254949519449,-23.953525701576208,-661.3539103158845,-453.7298275439776
70,0.933607201111581,-24.01194073901301,-662.1366023073289,-454.3773400951763
71,0.9423129169559574,-24.080092233911724,-663.4147517943794,-455.40401699411854
72,0.9374343900902793,-24.15567342472534,-665.3526092548052,-456.9242585664701
73,0.937956094777621,-24.20532051737348,-665.9227953847112,-457.43247746991915
74,0.9430818085588991,-24.26525705378803,-667.1467910654497,-458.44288109759674
75,0.9359270480247173,-24.333514683874977,-668.426502698626,-459.47978488772475
76,0.9331850560548225,-24.388637795858923,-669.0709891167813,-459.990163056972
77,0.9378372674926894,-24.451518408963,-669.8037387738099,-460.68040037678213
78,0.9418316452984915,-24.495737936799205,-670.6016015770401,-461.39213307780113
79,0.93050633671692,-24.553893697932494,-671.5955972636995,-462.24415865547667
80,0.940068803186674,-24.622548393654363,-672.4899715988244,-462.9731591678315
81,0.9445591450085014,-24.682510846154205,-673.2828258828492,-463.746563269186
82,0.9256662839185351,-24.732389423148476,-673.5162371736285,-464.05574958575875
83,0.9365563473849499,-24.78382002247076,-674.2885009395362,-464.7265382465465
84,0.9334416561352832,-24.81962443831835,-674.7163925261702,-465.2580061194698
85,0.9386640401146131,-24.88157392155476,-675.4659745955258,-465.8785870379451
86,0.9400471641069053,-24.928432001773924,-675.763545615623,-466.30701387252884
87,0.9337503383153399,-24.971796946945975,-676.0666011949014,-466.6853766174753
88,0.9346770499312872,-25.024404143743144,-676.6620022137272,-467.2162821257667
89,0.9310827250608272,-25.064205467617754,-677.4779181022125,-467.91402607620626
90,0.9395687822654115,-25.114488382275386,-678.4108058711367,-468.75556148506115
91,0.9414163997824642,-25.166093724178626,-679.2311511900591,-469.5165885513518
92,0.9361766211861089,-25.212077726585324,-679.1347954970108,-469.6212318343629
93,0.9384165989098684,-25.23231486114474,-678.8497987748057,-469.5599594743172
94,0.9427899686520376,-25.276308398067084,-679.2572183330077,-469.9440756874148
95,0.9348371685162227,-25.319830998365987,-679.6095449822561,-470.31787781900414
96,0.9390372717670137,-25.358699910040333,-680.4195414787865,-471.0210947302359
97,0.9413699285436661,-25.390032851289032,-680.5301449340355,-471.20744541774354
98,0.9329030686799805,-25.429285566146003,-680.6142264568981,-471.42175600294416
99,0.9300069720209767,-25.453292832711902,-680.3559318839787,-471.3275134371284
100,0.9387755102040817,-25.49839651372576,-680.8064145612108,-471.78939225004234
101,0.9380652890086852,-25.5288034663904,-680.7078429691192,-471.81824826612984
102,0.9292226487523992,-25.557759625724117,-680.9709558836934,-472.1026861647192
103,0.9354750471095982,-25.591405653747117,-681.4285475213019,-472.5665950213193
104,0.9368554752472253,-25.636640343884192,-681.9118471346876,-473.0072874435072
105,0.9350514546694741,-25.662758706810287,-682.307979928646,-473.42131851319147
106,0.9323712593042686,-25.69536768700565,-682.1045264979939,-473.38874906709907
107,0.9299851411589896,-25.726508690545625,-681.927866727833,-473.3889144238304
108,0.9394334982847081,-25.75087055452313,-682.0009683889638,-473.629489796466
109,0.9309551552089869,-25.787118977673416,-682.4941210675995,-474.146540684984
110,0.940872646467073,-25.8116964218178,-682.5863199894687,-474.3126384067609
111,0.9397179185165051,-25.840375217695925,-682.8328212911505,-474.61549107638615
112,0.93463934819075,-25.86434764642929,-682.5274072984109,-474.45346705817224
113,0.942123850697193,-25.895549785855493,-682.8139347018342,-474.69932108013774
114,0.9327501202501203,-25.914277855763086,-682.7942810104695,-474.78483820606806
115,0.9375619127667878,-25.936263264033617,-682.8545982034625,-474.87232178012624
116,0.9413436536252041,-25.963188556812636,-683.1183126318992,-475.1536975446677
117,0.9379281081408741,-25.986189783090644,-683.030559826484,-475.17629843016874
118,0.9319709758625796,-26.005408778773543,-682.7801406249382,-475.0147472422136
119,0.9353187944422957,-26.017379407875893,-682.7788774830714,-475.1162179179958
120,0.9364895722332166,-26.042324779437564,-683.0832880257893,-475.41693544946384
121,0.9322404699112923,-26.06944089256223,-683.3416538692336,-475.65487433037595
122,0.9288804759329368,-26.109079819938145,-683.9747864878856,-476.150608782523
123,0.9284232676987825,-26.129024430460614,-683.9150221161585,-476.15466254086
124,0.9355064311125977,-26.15523711293336,-684.299087353033,-476.49274040304647
125,0.9380246096452962,-26.187105876226433,-684.3993083507787,-476.66941859137404
126,0.942825146039529,-26.21476285814917,-684.5870285629452,-476.8349952066791
127,0.9441689232360726,-26.227138796520745,-684.7131271070837,-476.9854727150295
128,0.9332171035134895,-26.256453232381215,-684.8376563719152,-477.1530914151384
129,0.9414129810453762,-26.27870241952037,-684.8367912667475,-477.2439933333258
130,0.9417057902973396,-26.294695532317657,-684.8905615159807,-477.37407083202106
131,0.9445785313461654,-26.319897842281563,-685.1519010039078,-477.58752310171366
132,0.9373568069456167,-26.352553514080512,-685.5981545146885,-477.9294130582716
133,0.9357781591545479,-26.376030626282883,-685.941766626773,-478.2315627295734
134,0.936998406925366,-26.392470545203505,-685.8427490685609,-478.19889118298886
135,0.93375063643715,-26.415570798951613,-686.085992453724,-478.4013680113017
136,0.9313999880902757,-26.436113777786964,-686.0957075549998,-478.44902818255525
137,0.9408100625902744,-26.45198211472065,-686.2325298567247,-478.5467224816996
138,0.9374222330126551,-26.475709436882084,-686.5290571057242,-478.80312819970334
139,0.9368710245767014,-26.49656081786917,-686.5055266740746,-478.826515008792
140,0.9279992772825825,-26.51042276413367,-686.454031712864,-478.8478819319233
141,0.9309451219512195,-26.539797230937072,-686.9735098782692,-479.2428346605211
142,0.9350925537650512,-26.565616050205904,-687.2085114695984,-479.4565600886825
143,0.9374490073429427,-26.581699425706777,-687.2239733151245,-479.47909122435476
144,0.9379913959353212,-26.60601205698737,-687.7125231334714,-479.8406451274957
145,0.9366943049083096,-26.636907132517344,-688.1734314765761,-480.20915074655534
146,0.9328409532637623,-26.65783990206006,-688.2638465341771,-480.3224948797327
147,0.9362317095200818,-26.67222983859562,-688.4006087458106,-480.4600262475002
148,0.9306579224451731,-26.692031497618373,-688.7484268219399,-480.7173520210257
149,0.934653881992245,-26.70699096491916,-688.7978756608788,-480.7573296005979
150,0.939466947748833,-26.72373269206313,-688.8722266784443,-480.8226079866028
151,0.9380344490593696,-26.74918580358945,-689.3191848174343,-481.13619822501397
152,0.9361064492927356,-26.767333159690896,-689.4415578471868,-481.2381135248355
153,0.9444208224503432,-26.78614023477321,-689.6035149408895,-481.3550485960387
154,0.9371050255792959,-26.802986701394282,-689.5283809877934,-481.31536482186436
155,0.9324772540547119,-26.825277405031347,-689.8151303606422,-481.47783692906523
156,0.935119594534515,-26.848178604334514,-690.2750447561747,-481.7995157810545
157,0.9370739064856712,-26.867855506392633,-690.3317199328894,-481.8084301242583
158,0.9325889909358305,-26.89346888324517,-690.5373640945086,-481.912572516969
159,0.9390576732747503,-26.91233741897783,-690.5940518908867,-481.9468162812162
160,0.9384573715730236,-26.93844787739538,-690.9739336344606,-482.2263565743551
161,0.9298034737664523,-26.948413235123667,-690.8783082321169,-482.186724655047
162,0.9343233633131144,-26.965925533813007,-690.9721595232597,-482.2277359873428
163,0.9374942493482594,-26.979061288969405,-690.8766173006633,-482.1680681697406
164,0.9379807979008885,-26.99693659637087,-691.0397180425902,-482.281912876045
165,0.9371691737193097,-27.01864234993611,-691.2848164495434,-482.48267793990004
166,0.9373711652722202,-27.03052142582481,-691.3063324975444,-482.4846142507242
167,0.9413699809383262,-27.044351534834117,-691.3769403377729,-482.5331868801217
168,0.9402360222067166,-27.058746037815297,-691.5534656376606,-482.6604321348244
169,0.9391983593208071,-27.07782372980624,-691.7465229275002,-482.79592802834554
170,0.9409460772407092,-27.091859080853133,-691.9075704510791,-482.91005412385664
171,0.9362568752787275,-27.10483943484219,-691.8990581944823,-482.9020525457774
172,0.9410821764510178,-27.117340001741663,-692.1165832636043,-483.0209230321061
173,0.9293592279566025,-27.129938272780347,-692.3271942260704,-483.15260248355776
174,0.9381774144716925,-27.142170318479106,-692.4989614773308,-483.28873641753006
175,0.9369344666849465,-27.151187890608213,-692.6270544517939,-483.40864388066393
176,0.9308079899226201,-27.15861691396585,-692.5437220766996,-483.3645435530877
177,0.927633772927088,-27.16863623924477,-692.5897986671242,-483.4059452233158
178,0.936851829777089,-27.17074350059175,-692.4306590639518,-483.3015588775267
179,0.93234991838462,-27.187360097361925,-692.6175038816484,-483.45722152367006
180,0.9300440261120388,-27.197447816724512,-692.7245059644167,-483.60380231786934
181,0.9323448193060392,-27.21097434260918,-692.8177698898419,-483.7061698016378
182,0.9371656950537893,-27.217958228165656,-692.5804664067023,-483.55843689140784
183,0.9391172914147521,-27.22672701197376,-692.6865317153771,-483.6419132155599
184,0.9324145799555635,-27.240960433531388,-692.934661869353,-483.85254549171447
185,0.9321798051908766,-27.2532085378987,-693.1298433572975,-483.9695248946911
186,0.9370633618856692,-27.258456163891953,-693.1177244199864,-483.99221454396024
187,0.9359639909977494,-27.268908654346447,-693.190962083187,-484.03375735592465
188,0.9367199806131103,-27.269373533016342,-693.0794974346815,-483.9660498488489
