episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
0,0.8702443266384601,-3.0058336801212326,-0.0035409000678442537,-0.0017718922836761533,-0.0006509034472255853,-0.0012610693885943354,-0.0006212471296054024,-0.0014974024693527772,0.02,0.02,0.2
1,0.920942901338355,-3.012584829774314,-0.007128100978358233,-0.003299379554010396,-0.0014030219938568724,-0.002343643830986679,-0.0013327483085557447,-0.002105984029377241,0.019416,0.02,0.198006
2,0.9193975338426484,-3.01944878378587,-0.010797046836654119,-0.004836557362311797,-0.002156715418049751,-0.0033911639635674498,-0.0020363448013109384,-0.0029959159707741863,0.018864,0.02,0.196032
3,0.9214862897963964,-3.0260456462522582,-0.014359352111954065,-0.006347514687199773,-0.0029313220616038133,-0.004505033045975332,-0.0027002515044858887,-0.003651140040252804,0.018344,0.02,0.194078
4,0.9166887548870187,-3.0328975578589574,-0.01800408760395419,-0.007917853266633862,-0.003670912063964694,-0.00566121222964507,-0.0033816709005645386,-0.0046539516244688195,0.017851,0.02,0.192143
5,0.9216296742660105,-3.039102477397184,-0.021324885454663274,-0.009310991311246046,-0.004390529005852251,-0.0066034290062332345,-0.0040507293355548256,-0.005299472590793505,0.017384,0.02,0.190228
6,0.9230120867820839,-3.0448996787723446,-0.0244094749276764,-0.010583930499015185,-0.00504249360389852,-0.007497084307055438,-0.004612170538161035,-0.005968496839412818,0.016941,0.02,0.188331
7,0.9177476859213631,-3.0510759082520855,-0.027716790265716242,-0.011982313592063676,-0.005749837444819057,-0.008457271444495418,-0.005235766265709596,-0.0067190817075957745,0.016519,0.02,0.186454
8,0.9216527356267272,-3.0567626331287383,-0.030759694960278833,-0.013286565470686632,-0.006405345289154858,-0.009380451707043562,-0.005806444402838805,-0.007408022496053916,0.016119,0.02,0.184595
9,0.9262366601785355,-3.061938801168855,-0.03351061233030157,-0.014405311192934268,-0.006999309167020995,-0.010142916602787048,-0.006331123953265483,-0.007865067662647907,0.015737,0.02,0.182755
10,0.9116268914901836,-3.06828186165545,-0.03689851579780057,-0.01587342722781091,-0.007682720364457704,-0.011175625509804683,-0.006971233337235173,-0.008801357833428287,0.015373,0.02,0.180933
11,0.9261361722197892,-3.073248346629603,-0.039511267026520275,-0.016978363552692215,-0.00820539620928529,-0.011927133388462536,-0.007436405976476869,-0.00941787845836714,0.015025,0.02,0.179129
12,0.9263461343942817,-3.0780348647232203,-0.042068667215593034,-0.018051154623381343,-0.008754980822541942,-0.012679336833103749,-0.007923219675035204,-0.009941882914493444,0.014693,0.02,0.177343
13,0.9241255273729683,-3.0830467862363164,-0.044693933302126496,-0.019168362486412023,-0.009312801773533231,-0.013468779119727213,-0.008445888214553979,-0.010460819285884113,0.014375,0.02,0.175575
