,pearson_r_with_value
rebalancing_imbalance,0.007757295666244998
squared_starvation_penalty,8.514062607799549e-05
squared_congestion_penalty,0.03123824236656458
exponential_starvation_penalty,-0.0009000845019931681
exponential_congestion_penalty,0.03363398011968798
starvation_severity_max,-0.013583218270667514
congestion_severity_max,0.029884639755358842
starvation_count,-0.006068757309107487
congestion_count,0.03483963207624342
gross_starvation_risk,0.0003439404612495981
gross_congestion_risk,0.00812199250354375
net_starvation_shortfall,0.0005497141729451222
net_congestion_shortfall,0.01958124475015763
