episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.940853903944191,-2.529828126951869,-0.015081102081483031,-0.006144495187927428,-0.002901675082574197,-0.0028293038824039286,-0.0006058435068975005,-0.0041946837430724,-0.0032970954741946695,-6.72459286964596e-05,-5.3986922442577876e-05,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9389483884981036,-2.560924280156227,-0.03065337916025627,-0.01232312311500676,-0.005996604506661997,-0.005588896414051072,-0.001245699454881204,-0.008244180859776252,-0.006524054540819417,-0.00012636346812213448,-0.00011087121971264734,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9332986978162865,-2.593970856649901,-0.04757883640432871,-0.01937333903577546,-0.00919225294495402,-0.00908876852073662,-0.0019521378293671048,-0.013163367762811405,-0.010273386694503827,-0.00021150293256633125,-0.00019054029469473734,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9360092395761846,-2.624033582221438,-0.06300123895686094,-0.025716980655713106,-0.0123359313874709,-0.012232079684088818,-0.002748267609982081,-0.01733621763887908,-0.013474706366261763,-0.0002830764685813326,-0.00024236441366058564,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9359889973321844,-2.6543096262294545,-0.07831885743843842,-0.03204465777882184,-0.015248187667672445,-0.015226205916137258,-0.003360461807737176,-0.021851624044435344,-0.016691372559435827,-0.0003470711124750529,-0.00031189980759122363,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.9419157267646173,-2.6801460630912093,-0.09119989873936772,-0.03729545116205891,-0.017679022183927084,-0.01764084326362895,-0.0038522995903046064,-0.0253975423810782,-0.019309201971909298,-0.0004076467435620395,-0.0003634823669344455,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.935817770705971,-2.7082965068461515,-0.10522561838214825,-0.043111633095274514,-0.020329984132387957,-0.020387554356020233,-0.004404373405379963,-0.029578361309250997,-0.022486335725325133,-0.00046781746252684195,-0.00042992002412663876,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9373082054703136,-2.7351748277399235,-0.11895265560610002,-0.04866186148918736,-0.023089280763862196,-0.023079871604310864,-0.004994474278115649,-0.03341841258473519,-0.025515422572854784,-0.0005328190982255872,-0.0004903156025422021,0.00826,0.01,0.0,0.97,100,13,1,14
8,0.9418190453573972,-2.758742622859484,-0.1306249398383574,-0.053437938518678285,-0.0253308024974226,-0.025366494475017442,-0.00544162471562472,-0.03680350240485286,-0.02805954639633819,-0.0005944831234468826,-0.000539485160128257,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9333759010636331,-2.7858291376173274,-0.14439792909036195,-0.058938498032137784,-0.028145895621299835,-0.027952834013263254,-0.006155196197212383,-0.040632235284181986,-0.03120347357382945,-0.0006492243062727834,-0.0005883685521808802,0.007868,0.01,0.0,0.97,100,14,0,14
10,0.9305681550918926,-2.8116793080176197,-0.1576863745889001,-0.0645870863262342,-0.030793307479935018,-0.03072893113967673,-0.0067881931929578785,-0.04457330278427913,-0.03438775997561172,-0.0007107829224515619,-0.0006428945958502363,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9340097252368214,-2.8364797609528725,-0.17013276690122395,-0.0698331522797092,-0.03303848197034294,-0.033269455445310896,-0.007290909599951029,-0.048203749945234055,-0.03700989963963512,-0.0007668997870589391,-0.000689302515646717,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9357733175914994,-2.8597063156432094,-0.18169984279767182,-0.07465028324824527,-0.035296347653744106,-0.035646557687634375,-0.00786261916857313,-0.05162870582672063,-0.039556828450035594,-0.0008223391516862699,-0.0007322745251281639,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9366509751176866,-2.8828713897333005,-0.19362622198621562,-0.07937011337703412,-0.037787608568428874,-0.03795042571312796,-0.00847717950726847,-0.05479695720329987,-0.041934461309900584,-0.0008686416348100227,-0.0007714538296738355,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9422977502793389,-2.9033974832404774,-0.2040718829059131,-0.08354890987971655,-0.03988424946035193,-0.03991729431593273,-0.008985167528057489,-0.0576470796418871,-0.04413083828074792,-0.0009085370403202128,-0.0008090618009420374,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.9375209886493384,-2.9251810767629807,-0.21496590981665076,-0.08798350368847846,-0.04201196094634218,-0.042008060797061646,-0.009482004801415774,-0.06074583842847517,-0.04640760259266533,-0.0009584558980005291,-0.0008523146614224153,0.006889,0.01,0.0,0.97,100,13,1,14
16,0.9382637196403059,-2.943620826556452,-0.22450470094682914,-0.09220078805487729,-0.04376533817445065,-0.044083206518094754,-0.009779306245651669,-0.06361384571310247,-0.04859037912559017,-0.0010047026495034418,-0.0008931608465531264,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9362507392075695,-2.957901341531279,-0.23178060588142965,-0.09585632656694562,-0.04498395345838926,-0.04597198231468213,-0.010239606982352625,-0.06665383114349388,-0.050835457834003735,-0.0010492390669663751,-0.000936055269383763,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9317897684652698,-2.9799446226315385,-0.24303291949263695,-0.10058566015618366,-0.04699478996202755,-0.04829926688393691,-0.010633403490657787,-0.06995334578261972,-0.05325661559585416,-0.0011259896022766155,-0.0009776442455255501,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.9396677650575807,-2.9985359955463915,-0.2522968845183882,-0.1044038395946448,-0.048822467429575175,-0.050140230750802255,-0.011054877101092231,-0.0726722237551039,-0.05532179398536816,-0.0011761379566203364,-0.0010042427314116583,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9415714572058529,-3.0154977359107966,-0.2606961888518938,-0.10789038371203151,-0.05053053799336068,-0.051823158445680695,-0.011532293027380885,-0.07520191640868328,-0.057333524105051714,-0.001212559381053008,-0.0010384461735572254,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9368731863768264,-3.034802480307187,-0.27045086078571295,-0.11189609358896306,-0.05243465180252153,-0.05367775722704785,-0.011967709222148466,-0.07797494940648735,-0.05945567548570824,-0.0012657647795229412,-0.0010680546607431903,0.006127,0.01,0.0,0.97,100,14,0,14
22,0.9381977404906745,-3.053629496219289,-0.2798170559836985,-0.11569458218191145,-0.05431756973188553,-0.05546012470928894,-0.012453388893378178,-0.08081062898203413,-0.061466209749030914,-0.001305160335717271,-0.001104789536762086,0.006016,0.01,0.0,0.97,100,13,1,14
23,0.9394511496190412,-3.0701576764099765,-0.28825669229903333,-0.11918136126202768,-0.05601711860470728,-0.05721569377930147,-0.012926509740415253,-0.08317033995509725,-0.06337893875769784,-0.001336657683960542,-0.0011410785131344967,0.005909,0.01,0.0,0.97,100,14,1,15
24,0.9358620000666023,-3.0874561322636227,-0.29706246984178164,-0.12302849127970425,-0.057654825422049964,-0.05913821877084683,-0.01325388918830951,-0.08571538661889307,-0.06538053578227512,-0.0013779674674230082,-0.0011760785961711657,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.9352387051111373,-3.1054427133303575,-0.30631938225537036,-0.12689854686004157,-0.05951583641582786,-0.06109357663186947,-0.013659551276796177,-0.08853518378476016,-0.06749266707486119,-0.0014242294882882561,-0.001206043921768445,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9335084882780922,-3.1242531011863304,-0.3159512557362708,-0.13082379894275947,-0.061411595492552186,-0.0629326522252948,-0.01410492652806845,-0.09118038351804843,-0.06954213677883113,-0.0014773404760801627,-0.0012364609530981843,0.00561,0.01,0.0,0.97,100,13,1,14
27,0.938936255245454,-3.138942095927413,-0.3234955649149717,-0.13409969154872273,-0.06292531924469245,-0.0646113710417364,-0.014475820265787104,-0.09362286400431397,-0.07138349166497597,-0.0015132501950761734,-0.0012634183101298125,0.005517,0.01,0.0,0.97,100,14,1,15
28,0.9431139236245519,-3.1539059285793147,-0.33104602930881766,-0.1371975213259441,-0.06443939549928104,-0.0660607026526766,-0.014829982459980887,-0.09583175822865858,-0.07305768361790774,-0.0015438274975130744,-0.0012904210464073943,0.005426,0.01,0.0,0.97,100,14,1,15
29,0.9359761709533292,-3.1577300195744784,-0.33258961270894993,-0.13935148836673303,-0.06458601835657739,-0.06751585420215886,-0.015197782998979817,-0.0981647056847115,-0.07489417273589566,-0.0015750923572134562,-0.0013212626258467584,0.005339,0.01,0.0,0.97,100,14,1,15
30,0.934883404949133,-3.1684724733557035,-0.3381366524268934,-0.142181242969618,-0.06562384485016,-0.06912096108619858,-0.015590643644386294,-0.10052079249015222,-0.07665970848383327,-0.0016112251364155342,-0.0013449825834004493,0.005255,0.01,0.0,0.97,100,14,1,15
31,0.9389898034978729,-3.1839189822354905,-0.34597505609970963,-0.14539535096744216,-0.0671606651694807,-0.0706953689376387,-0.015969981865119796,-0.1027467493343976,-0.0783784974634748,-0.0016394455517106264,-0.0013830346805947045,0.005173,0.01,0.0,0.97,100,14,1,15
32,0.9404873791621912,-3.1989578597586923,-0.35346037805167413,-0.14843182495164078,-0.06861567838403765,-0.07211742278648195,-0.016287738383724205,-0.1048155595449129,-0.07998904400123312,-0.0016691313137085508,-0.001407718404838484,0.005094,0.01,0.0,0.97,100,14,1,15
33,0.9396925369091156,-3.2128587308166883,-0.36056004403603736,-0.15139119965995382,-0.0700060997860902,-0.07355488738628596,-0.016657544208762087,-0.10693516014165334,-0.08159315369112874,-0.0017087593831470198,-0.0014284594872852727,0.005017,0.01,0.0,0.97,100,14,1,15
34,0.9364557426849828,-3.2286674476172488,-0.36873288626321166,-0.1546722843914927,-0.07165676694771661,-0.07520383151025174,-0.01701933497941721,-0.10919022040155842,-0.08328055985346706,-0.0017449724221031723,-0.0014568735691976949,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.9352583740965793,-3.2442435443489086,-0.37645164577552065,-0.1577438294817327,-0.07315361521401545,-0.0765725880322051,-0.017356066502392697,-0.111328700671691,-0.0848240328718294,-0.0017694010203642418,-0.0014866665785944933,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.9392446079589564,-3.2585537909009448,-0.38360195360771965,-0.1606815821694024,-0.0745565730417913,-0.07799777758065927,-0.017688757392734622,-0.1133698664534776,-0.0863115523917404,-0.001796956325192001,-0.0015152151880199354,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.9438824949424545,-3.270896870999759,-0.3898522881572362,-0.16325461720886705,-0.07571716746042559,-0.07923428119789001,-0.017924019621604944,-0.11511619028771852,-0.08764900415777895,-0.0018262122681650366,-0.0015351766911444833,0.004731,0.01,0.0,0.97,100,14,1,15
38,0.939965090127891,-3.2848136945455586,-0.3966656082363488,-0.16602951726106152,-0.0770244231194598,-0.08050047850971552,-0.018225695243730605,-0.11717991435567654,-0.0892158986090956,-0.0018564570172617582,-0.0015608763089375727,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.9404116827995772,-3.2945967994558156,-0.40179380379431984,-0.16854831421556535,-0.07796955466460884,-0.08175750650585113,-0.018463698870461256,-0.11909473326889934,-0.090665639378878,-0.001883070563145079,-0.0015883200264772694,0.0046,0.01,0.0,0.97,100,14,1,15
