episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
40,0.9385397566261043,-3.301518672521525,-0.40487363043413777,-0.17050240185844598,-0.07845285803275752,-0.08275534630376691,-0.018603659317708177,-0.1211186727606134,-0.09202012935017072,-0.0019089750486656555,-0.0016114501887398477,0.004537,0.01,0.0,0.97,100,14,1,15
41,0.9375451688263668,-3.315398985502654,-0.4118343464223789,-0.1734082979254623,-0.07979273851400931,-0.08418724979526275,-0.0189075425630217,-0.1231503546909591,-0.09353947032004625,-0.0019359700508127812,-0.001643116190511788,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9402461930636614,-3.3180715902370927,-0.4131542672624497,-0.17512991973330005,-0.0800036993537068,-0.08529201010756389,-0.019229657782573847,-0.12489954126812067,-0.09478890094503001,-0.0019563014602832713,-0.0016625015078249679,0.004417,0.01,0.0,0.97,100,14,1,15
43,0.9374303534303534,-3.331003305827343,-0.4197889514247415,-0.17790300566238706,-0.08129768415305637,-0.08658502380239759,-0.01952112515050583,-0.12675835089583506,-0.09613414097126356,-0.0019832734093151636,-0.0016829111021283314,0.004359,0.01,0.0,0.97,100,14,1,15
44,0.9372327402612648,-3.3440859832404577,-0.4263958784324808,-0.180653791776231,-0.08259288823407687,-0.08789899084884967,-0.019807213856852465,-0.1286061214345954,-0.09749986016907126,-0.002011145066545011,-0.0017093572742665592,0.004302,0.01,0.0,0.97,100,14,1,15
45,0.9346911294394883,-3.3577685765075143,-0.43334915305147165,-0.18348983577291159,-0.08393991959708981,-0.08920886523197606,-0.020083312977500822,-0.13055302023872895,-0.09908744655121475,-0.0020477515618741835,-0.0017345159496533799,0.004247,0.01,0.0,0.97,100,14,0,14
46,0.9387683166322575,-3.370376856205167,-0.43964590523706176,-0.1861159475297804,-0.08510573841390662,-0.09044864504268228,-0.020306138088153684,-0.1324353170619318,-0.10045902458211689,-0.002074822270697068,-0.0017600023844435637,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.933741610738255,-3.3840272135148344,-0.44651171790757044,-0.18891007843411076,-0.08645063107930771,-0.09181378205682715,-0.02062304296453048,-0.13440825079969962,-0.1019136557918968,-0.002098693457773309,-0.0017845865138838147,0.004141,0.01,0.0,0.97,100,13,1,14
48,0.9389390387844331,-3.3964108589877515,-0.45281491997306744,-0.19148058027512765,-0.08770028287632149,-0.0930671607347252,-0.020907403565106297,-0.13626689628181124,-0.10326304692510903,-0.0021271005386660244,-0.0018039134321836338,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9378748062799003,-3.4086701180566537,-0.459022665532471,-0.1939883586895405,-0.08893293059983949,-0.09423638526183345,-0.021164577306869894,-0.13795735690512645,-0.10461722951464157,-0.0021526931708630206,-0.001831924549430138,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9402664518943589,-3.406836290564806,-0.45832274337583195,-0.19492382002589856,-0.08852715980185,-0.09470892896351986,-0.021269997949694606,-0.13910022341656855,-0.10577739259039767,-0.0021681147558214003,-0.0018430276556669928,0.003992,0.01,0.0,0.97,100,14,1,15
51,0.9389163888608277,-3.4186225016901766,-0.46416909466714107,-0.19728192727483823,-0.08970280982523644,-0.09582761425333174,-0.021543417662931753,-0.14086944721645173,-0.1071643231632525,-0.0021941777022682855,-0.0018660895002480425,0.003945,0.01,0.0,0.97,100,14,0,14
52,0.9340668542336549,-3.431382764327899,-0.4706245997085814,-0.19980158435232198,-0.09108482470511485,-0.0970167270467546,-0.021887168076326662,-0.1426165618407721,-0.10862471322418121,-0.0022184257860253516,-0.0018879856719553245,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9340677739083847,-3.443298909970779,-0.4765801382081224,-0.2023419862381301,-0.09221258641793922,-0.09824516972137923,-0.022154322306762984,-0.1444241459301471,-0.10994649219647942,-0.0022511607390083435,-0.0019117691349801085,0.003853,0.01,0.0,0.97,100,14,1,15
54,0.9382571054662595,-3.4546755807801555,-0.48228833927725523,-0.20472772552227664,-0.09326035636546359,-0.09941737445395205,-0.02240950977076108,-0.14605975350841943,-0.11118574557047664,-0.002285728867293106,-0.0019359962093535102,0.003809,0.01,0.0,0.97,100,14,1,15
55,0.9351462683568044,-3.466776726079309,-0.48833346082192325,-0.2072445887087517,-0.09440187777914356,-0.10064414391664048,-0.022664562903267682,-0.14788093158755794,-0.1124554560172012,-0.002309582944481647,-0.00196072329671403,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9432476100713613,-3.4759361255035706,-0.49308534769911405,-0.20927353776363636,-0.09534863339027747,-0.10167068213276594,-0.022890420870013046,-0.14930986113945063,-0.11348819004384658,-0.002325082042756792,-0.001978079848735821,0.003724,0.01,0.0,0.97,100,14,1,15
57,0.9331275374962252,-3.487856211614396,-0.49900238798049074,-0.21184502386831763,-0.09643258929213698,-0.10290638809147548,-0.023126841917133628,-0.15119206241983843,-0.11482259347195367,-0.002356685547997854,-0.002005923792673103,0.003682,0.01,0.0,0.97,100,14,1,15
58,0.9360489551636602,-3.4990617228118857,-0.5045192752598532,-0.2141139612455907,-0.09752634886466617,-0.10400735716834802,-0.02340750130784922,-0.15274029164099498,-0.11608881573134965,-0.002380951115384376,-0.0020282360951896596,0.003642,0.01,0.0,0.97,100,14,1,15
59,0.9380087135668209,-3.5097225880246135,-0.5099217099837586,-0.21639239605348135,-0.09852162280731534,-0.10510295121765162,-0.023621248873992685,-0.15432497942939855,-0.11728019613642895,-0.0024074845840237956,-0.0020519886787420927,0.003602,0.01,0.0,0.97,100,14,1,15
60,0.9367028654555296,-3.51904685192627,-0.5147074560940296,-0.21855864242748863,-0.09939953572331706,-0.1061016664280325,-0.023840516762684817,-0.15596497283736918,-0.11844528660497798,-0.0024339229813065584,-0.0020695557561401044,0.003564,0.01,0.0,0.97,100,14,1,15
61,0.9456929466139729,-3.5276543959414357,-0.5190764823268456,-0.22035538327368245,-0.10030495855493941,-0.10696867773010098,-0.024031514832455164,-0.15722008292551795,-0.11948233454417118,-0.0024517388854140005,-0.0020837313117113994,0.003526,0.01,0.0,0.97,100,14,1,15
62,0.9363032632146709,-3.538502933689326,-0.5246141742775311,-0.22258740746596972,-0.10143918096018574,-0.10804033441787518,-0.024299373002170235,-0.15880669222125385,-0.12063198215797882,-0.0024724558299759405,-0.002102169807090209,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9350425346640766,-3.546192421293948,-0.5286499791845763,-0.22471899661272998,-0.10215492325410219,-0.10922205670017628,-0.02449845840928885,-0.16053356190865004,-0.12181552752570309,-0.0025020531961653797,-0.002119050932071753,0.003453,0.01,0.0,0.97,100,14,1,15
64,0.9390592841724813,-3.556317599305491,-0.5338102943600762,-0.22673169771364787,-0.10323015220336382,-0.11018563018969274,-0.024766354972445496,-0.16192013758578006,-0.12297028080878046,-0.0025218328633476866,-0.002137193168571638,0.003417,0.01,0.0,0.97,100,13,1,14
65,0.935006564993435,-3.5670729638192777,-0.539177991896343,-0.22896795831829408,-0.10428659656753625,-0.11125416932235638,-0.025029129396750047,-0.16358928586780633,-0.12421614457985325,-0.002547054151796184,-0.002161173095284595,0.003382,0.01,0.0,0.97,100,13,1,14
66,0.9408485703252237,-3.575920042746163,-0.5435808430706776,-0.23084148897860676,-0.10517116201953125,-0.11217448782717751,-0.02525381004160112,-0.16500992693487904,-0.12523242880186197,-0.002562029342521822,-0.002176684659453088,0.003348,0.01,0.0,0.97,100,14,1,15
67,0.9435388613276636,-3.584008248542298,-0.5475712147145295,-0.23249133015005571,-0.10596508616401097,-0.11297837689551164,-0.025452852423579062,-0.1662353853770179,-0.12612766489329938,-0.0025769236608952834,-0.002192111085292148,0.003315,0.01,0.0,0.97,100,14,1,15
68,0.9323593888582091,-3.592412544046491,-0.5518057981202057,-0.23450889598480706,-0.10682253106583775,-0.11408695115292632,-0.025725235238625466,-0.1677274107276493,-0.12734626171668076,-0.002601543806039064,-0.0022072627045502434,0.003282,0.01,0.0,0.97,100,14,1,15
69,0.9342301692470268,-3.602957945581862,-0.5572210527221387,-0.23676791496380645,-0.10786183530395445,-0.11517510534728688,-0.02594993324934186,-0.16930087238521205,-0.12851234075941034,-0.002625703244994992,-0.002229392242639559,0.00325,0.01,0.0,0.97,100,13,1,14
70,0.9445586253369272,-3.611275083062793,-0.5613585822262104,-0.23847405169399505,-0.10865641062324218,-0.11597334054974337,-0.026120191715031302,-0.17057716698909003,-0.12945152922334818,-0.002644481749324266,-0.0022452597652759935,0.003219,0.01,0.0,0.97,100,14,1,15
71,0.9358603507950575,-3.621293274335628,-0.566378403734249,-0.24055426503841856,-0.10961823822046059,-0.11697526892916053,-0.02632813163043107,-0.17201714177993033,-0.13054837099344468,-0.002672032631261732,-0.002264161994861101,0.003188,0.01,0.0,0.97,100,13,1,14
72,0.9365084688914975,-3.631033179896534,-0.5713733955440337,-0.24265266534307264,-0.11053700267011704,-0.11803564513143018,-0.02650464433420961,-0.1734845375758943,-0.13153734081218904,-0.0026917966428816158,-0.002284540244982448,0.003157,0.01,0.0,0.97,100,13,1,14
73,0.9417204882832313,-3.639375697987053,-0.5756030654072138,-0.24445674174735502,-0.11131616615636812,-0.11890993879847167,-0.02669015986803252,-0.17476606753137675,-0.13251797210386498,-0.0027136070788383072,-0.0023043554281079216,0.003128,0.01,0.0,0.97,100,14,1,15
74,0.9364272733391668,-3.647879779450369,-0.5798391460443775,-0.24629950145458773,-0.11212357663006185,-0.11981916816637844,-0.026913884381812116,-0.1760885280002987,-0.13355583062148982,-0.0027334201952308006,-0.002320775991399971,0.003098,0.01,0.0,0.97,100,14,1,15
75,0.934047007969742,-3.6554827734480067,-0.5837561607819977,-0.2481757870865493,-0.11285222188353063,-0.12078454285230793,-0.027043400128268266,-0.17752180582405094,-0.1347036036258166,-0.002755406846752266,-0.0023413893541363914,0.00307,0.01,0.0,0.97,100,14,1,15
76,0.9402653751072095,-3.6640048893067565,-0.5880926544870044,-0.24994578447155916,-0.11372156210747508,-0.12163847348184009,-0.027269578728055285,-0.17870320548786958,-0.13557717399915611,-0.0027747097735513035,-0.002353384039709359,0.003042,0.01,0.0,0.97,100,14,1,15
77,0.9338910596800588,-3.6735474305778073,-0.5930142081460336,-0.2520005910307765,-0.11469508645427154,-0.12267998032038901,-0.02752042340040169,-0.18010027492860248,-0.13667713430651496,-0.0027952739070424004,-0.0023724633423383074,0.003014,0.01,0.0,0.97,100,14,1,15
78,0.937804427424502,-3.682325459172722,-0.5974297110084489,-0.25382879300165384,-0.11557975611548828,-0.1235628593096433,-0.027723118117465837,-0.18140922232421117,-0.1376172892508154,-0.0028155490644474297,-0.0023867596016732225,0.002987,0.01,0.0,0.97,100,14,1,15
79,0.9382883954982829,-3.6905054647162876,-0.6015796452061382,-0.2555466532990293,-0.1164032054987238,-0.12439113637765689,-0.02793585905471179,-0.18264916816887533,-0.13856145259781288,-0.0028325242560002075,-0.002401880566359861,0.00296,0.01,0.0,0.97,100,14,1,15
80,0.9378432393396369,-3.6987017365015,-0.6056812137020507,-0.25727110257427127,-0.11720005400277891,-0.1251748393722166,-0.028121347470530227,-0.18386054545450922,-0.13952658734723666,-0.0028475329673692882,-0.0024220472100483555,0.002934,0.01,0.0,0.97,100,14,1,15
81,0.9423415271703615,-3.704002341895047,-0.6085552458718305,-0.25865404201736375,-0.11781905022629346,-0.12592186370508418,-0.028260898697690964,-0.18495856452420278,-0.14037063199022903,-0.002864966246902033,-0.0024314745165713567,0.002909,0.01,0.0,0.97,100,14,1,15
82,0.940717392037218,-3.711483331315029,-0.6123406216409792,-0.2602936760765088,-0.11857368830303569,-0.12671254970706056,-0.028457231784123814,-0.18622146810087864,-0.14133020002061408,-0.0028833239527233765,-0.002446016121705742,0.002883,0.01,0.0,0.97,100,14,1,15
83,0.9382134202389906,-3.720016928157831,-0.616639918658389,-0.26199915298077103,-0.11946648750082392,-0.12752568262110311,-0.028691343612017424,-0.18740965108475838,-0.14227282088912072,-0.0029002019201573525,-0.0024599561753642085,0.002859,0.01,0.0,0.97,100,13,1,14
84,0.9431123726832527,-3.7276549055696595,-0.6204651744780777,-0.26355996980642604,-0.12020665335320897,-0.12826401366385623,-0.02884778655376652,-0.18843898804167158,-0.14308752897734292,-0.0029155836203650586,-0.0024744284089967686,0.002834,0.01,0.0,0.97,100,13,1,14
85,0.9355905752234907,-3.73598513552814,-0.6247024496385232,-0.2653496286198064,-0.1210053314822244,-0.1291285884998071,-0.02903413936414841,-0.1897042541919049,-0.1440530165369471,-0.0029383250340243388,-0.0024891126532576666,0.00281,0.01,0.0,0.97,100,14,1,15
86,0.9385085263425808,-3.7410906263580217,-0.6274359100436837,-0.26677045704077096,-0.12145508110294415,-0.12990987757742925,-0.029147770256210178,-0.1907997319613015,-0.14488050266856498,-0.002953691607532694,-0.0025024228264082815,0.002787,0.01,0.0,0.97,100,14,1,15
87,0.9339556004036327,-3.7452635925468023,-0.6295979496276213,-0.2681733533739865,-0.12183568350645294,-0.13076652453715476,-0.02939022675955922,-0.1920307577343206,-0.14574557730262805,-0.0029705111907502822,-0.002517541004191571,0.002763,0.01,0.0,0.97,100,14,1,15
88,0.9400086968156275,-3.752300758374392,-0.6330641736729072,-0.26964271022626196,-0.1224736405655179,-0.13145215949116584,-0.02953197472384822,-0.1931273172563073,-0.14662499385171388,-0.002989087549891467,-0.0025308214699162326,0.002741,0.01,0.0,0.97,100,14,1,15
89,0.9361349931591304,-3.7603268534845458,-0.6371036640848012,-0.27129306287634114,-0.12330297870376834,-0.13226079263733923,-0.029728763543607258,-0.19429025677313735,-0.1475371909468962,-0.003005915293986514,-0.00254504580811132,0.002718,0.01,0.0,0.97,100,14,1,15
90,0.9370201234505947,-3.7685183423918294,-0.6412339029126012,-0.27300432335467034,-0.12409657501904398,-0.13305061136715546,-0.02990422464466832,-0.19552035340633642,-0.1484576117101268,-0.0030263959396663316,-0.0025584717403709612,0.002696,0.01,0.0,0.97,100,13,1,14
91,0.9434475258292551,-3.7749611071935862,-0.6444106002113078,-0.2743284959926002,-0.12471520419125698,-0.1336816793307137,-0.030031087328299576,-0.19647808143817524,-0.14919268955062384,-0.003040296823660439,-0.0025718546187501303,0.002674,0.01,0.0,0.97,100,14,1,15
92,0.9416339116291678,-3.78221831391161,-0.6480613525843778,-0.275818738789382,-0.1254184012936006,-0.1343561704911137,-0.03020583254194585,-0.1975725985901603,-0.15002622979297914,-0.0030558476384200954,-0.0025883854487991176,0.002653,0.01,0.0,0.97,100,13,1,14
93,0.9320766709038603,-3.791018599928019,-0.6525007224718109,-0.2776878904138354,-0.12620943628078005,-0.13526111380850284,-0.03035419703775551,-0.19893537030669659,-0.1509918992229499,-0.0030801100506985465,-0.0026073931204477867,0.002632,0.01,0.0,0.97,100,13,1,14
94,0.9395325116872079,-3.7983936235269335,-0.6562455952179298,-0.27919112125164997,-0.12697825328024426,-0.13597548548722677,-0.03053963027860577,-0.19996683859981132,-0.1517786437078497,-0.003096728034968269,-0.0026186004221869143,0.002611,0.01,0.0,0.97,100,13,1,14
95,0.9387256964901944,-3.80592811588804,-0.6600551250397692,-0.28077970993444235,-0.12769959529344568,-0.13676294368895486,-0.030692131169619236,-0.2011549573328723,-0.15255407903433027,-0.0031133833343083106,-0.0026337705067601713,0.002591,0.01,0.0,0.97,100,13,1,14
96,0.9372897117254206,-3.8111027443748795,-0.662632485200429,-0.2819993089342783,-0.1281936898740726,-0.13741244137389128,-0.030845225096207025,-0.2021513062873118,-0.153337592635518,-0.003128938563944168,-0.002644794570590681,0.002571,0.01,0.0,0.97,100,14,1,15
97,0.9393689940192191,-3.8184105553383407,-0.6662894750514576,-0.2835101458856201,-0.1289012758600132,-0.13811353038951743,-0.030996128374109606,-0.20324744624060673,-0.15419599216232435,-0.003141414656151045,-0.002662792088016058,0.002551,0.01,0.0,0.97,100,13,1,14
98,0.9343289620065401,-3.8257050298618878,-0.6699883367596445,-0.28510933784403386,-0.12961156867580234,-0.13888900985389174,-0.031188358458922514,-0.20434878287019362,-0.15504911625043147,-0.0031618784267284333,-0.002678270502761717,0.002532,0.01,0.0,0.97,100,14,1,15
