episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,imbalance_weighted_distance,starvation_severity_max
0,0.9225560727888278,-30.523595883169335,-16.380656009873146,-10.666461838301904,-19.300749154654493,-0.002108727185381097,-83.421106585685
1,0.9172451423201673,-26.279598048332485,-15.715333926614424,-8.249571239408086,-10.060410190462827,-0.3694308090434489,-62.80228168103019
2,0.9160360577647804,-40.46522856116107,-24.95559034682403,-6.406125018045689,-16.74215373312923,0.0,-110.19129105766994
3,0.9158032268846282,-46.491110250111205,-28.433767712724258,-7.0702521269206,-13.461033500079001,0.0,-110.28059384628637
4,0.9195107991685996,-47.469610814249116,-31.006378893731647,-5.230184325562083,-10.28096349143748,0.0,-122.6722937428055
5,0.9195128568414072,-45.38236771385731,-29.8086649133461,-2.9665757281193703,-3.7618477998327853,-0.5754957402301047,-89.26089222678799
6,0.9204548882386655,-51.89117730558,-35.05684745270168,-1.782122578852628,-8.189253187663592,-0.972895465532687,-108.3180536800932
7,0.9077687553023875,-50.280053292021776,-37.873788882177564,-3.8635064827836483,-5.496065114135636,0.0,-114.28187001886317
8,0.9227108780650441,-44.87551589072815,-37.732592818518974,0.0,0.0,0.0,-97.73178401437558
9,0.9204798002861753,-50.78443430116749,-36.21364197555511,-3.5762707946404166,-0.11320364311254874,-1.786837241415544,-90.43211676341716
10,0.9140861536616804,-55.27850884502752,-41.10943898423338,-1.553420944067408,-0.3629172976748169,0.0,-93.65392581459567
11,0.9154574132492114,-58.16506519678556,-42.16460217630376,-0.24710007070063522,-2.17101171462659,-0.14587860871287112,-102.10638661382947
12,0.9136352686099735,-59.30234649562884,-42.092050182174376,-1.8620780194336455,-0.7846358201455039,-0.3612982669022628,-97.37973567140638
13,0.9230839694656489,-58.33619634092455,-40.28570705397324,-0.1098065896944632,-3.875922308657188,-2.711990084472915,-54.46124072894454
14,0.9066019122780391,-70.24814864030317,-47.18242720406459,-12.799803834269815,-3.8782003063103776,0.0,-101.96312994392358
15,0.9170534874548709,-63.1737060710504,-42.42784502713655,-3.184413190540912,-5.159061683279543,0.0,-76.81166611751958
16,0.9153385846003541,-69.34728546121174,-48.24913949248056,-0.44380434569311555,-9.559745136061302,-1.797181188984725,-80.71263135525642
17,0.9173678532901834,-67.936630268521,-47.82249880769019,-6.3599493957442865,-5.760949936453773,-0.3634258246617942,-75.04955830476456
18,0.9190880105877399,-68.15066106799044,-50.510431351747144,-2.4033270855935887,-9.059002375824974,-0.2052155678320462,-70.2769795052476
19,0.9118472259933026,-68.27672888550639,-54.064060767479255,-1.670577949832722,-7.998167595851231,-0.5732123871557474,-52.23218938869617
20,0.922260418551354,-71.31336484213162,-59.37618817409239,-3.2809141669119763,-8.184828601522204,0.0,-59.003525071529936
21,0.9225377643504532,-72.88235874645832,-61.68868274166941,-3.9325872770250694,-8.091013951520717,-6.006462415657286,-69.49983789522406
22,0.9078278651550236,-81.71775316559119,-67.1584682033571,-5.194132670507601,-9.816476678380205,-0.4177375372574085,-90.98583805012252
23,0.9209755514376233,-77.73066391951781,-66.58358014979,-5.398528540946917,-5.7658750612131735,0.0,-72.04783322874599
24,0.9092012256166004,-86.08947304564575,-71.7474720583771,-4.420388984597547,-12.273975037605963,-0.006122033824000485,-84.49757277120165
25,0.9077270673294171,-90.86902984381513,-75.6832860576087,-4.69307689936419,-10.509639504245394,0.0,-86.88988011963976
26,0.9173878595806924,-90.37821015907316,-75.53901369176666,-5.517769970245971,-6.9682299074118434,-0.41299095063452024,-68.37451691670783
27,0.915785625057128,-96.95571932031879,-76.47024653692719,-3.3583004050795564,-11.217114832897119,-0.9768774286985016,-70.51089049239533
28,0.9199289327872802,-97.87282364314048,-78.7159234886379,-5.369679917270118,-11.89221565959381,0.0,-72.84965261245974
