episode,service_level,rebalancing_imbalance,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,station_starvation_count,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
0,0.8909780045960546,-23.92313629518938,-0.640523750221299,-11.055303272425709,-7.7522845174301,-32.794203660769405,-1.8231090850894385,-1.376023670943166,-5.059226648173992,-41.663241248930966,-41.630663175203,-21.838268471750293,-41.663241248930966,-1.721039308731646,-25.38125750366404,-13.798065912014534
1,0.919865889388951,-29.929930336849793,-1.2566534295013476,-14.69452857173151,-9.878719077475079,-31.95793409488825,-3.2199133227580568,-2.616600550732623,-3.8412559921216327,-48.9016548545458,-48.146750431941356,-25.311545454351002,-48.90009980722748,-1.9103677468512144,-36.7086660950227,-17.703182200929763
2,0.9189690228441574,-31.832000975363897,-1.7606087127655328,-16.77926070927401,-10.57218904765371,-25.281678097070674,-4.438476001367301,-3.335588541412572,-2.663364920825556,-47.771781476639305,-45.96073857587647,-24.442543357130294,-47.73084043556524,-1.7243395780640958,-42.23029963332578,-19.313091178685703
3,0.9239473364882902,-34.179988800308166,-2.244746302178859,-18.865867781272268,-11.498388255311873,-20.496100845699413,-5.36478446491499,-3.7210833773249457,-2.267573698481646,-47.55440954586828,-44.89750708834914,-24.037190065687405,-47.478218045980945,-1.5650885321529036,-46.87943120594887,-21.074152625198522
4,0.9271950527290652,-35.933375770704956,-2.6543564170996223,-20.575151498521553,-12.208047608913134,-15.926631331793265,-6.120263438546941,-3.746434592291197,-2.2118491825825015,-46.46565820628341,-43.04282131817025,-23.281107825589903,-46.34695015982915,-1.3768465639548264,-48.89231054238268,-22.420435777221318
5,0.9344964892549925,-38.91611960551388,-3.0183955548145756,-22.82521089246799,-13.331235830274103,-14.193716695846812,-7.019345417279463,-3.591143195023336,-2.3532368586364645,-47.83468429865634,-43.44304305378011,-23.632300439685842,-47.67975694982381,-1.3186821666775956,-52.99025584699362,-24.369417082133573
6,0.9338879942744677,-41.65034936572065,-3.403900971973238,-24.902090769831133,-14.352359589892915,-11.812242279572464,-7.7368269563696055,-3.475540650213483,-2.5293784164887163,-48.49076172768925,-43.20478969900068,-23.70717939494069,-48.38554615472794,-1.2364081040358086,-55.62763189475578,-26.174221129525936
7,0.9287261505593306,-43.347694228579996,-3.7158474931656116,-26.47962364571878,-15.008960215884192,-8.571384907125111,-8.302243600293895,-3.2379776051073463,-2.6608439451470174,-47.34413354418811,-41.133869530592214,-22.627316764666432,-47.29899060292192,-1.0870533718903763,-56.79061131232241,-27.33247929715176
8,0.9362982222759705,-46.02361220367957,-4.020315799728602,-28.507053715720545,-15.90276818694735,-7.592130788343172,-8.788632811200817,-3.1445631667863037,-2.7510241313984674,-48.51885570923629,-41.37064849860052,-22.802292549278754,-48.46608621719748,-1.0363060466387357,-58.46546500035691,-29.05631336157655
9,0.9338665393338904,-48.06731094380632,-4.317647928613078,-30.271850053185865,-16.665346708206023,-5.469472335983368,-9.145024871421004,-2.9205330483973855,-2.9529045461748207,-48.194842804590266,-40.04248406837188,-22.22454582842926,-48.156107041901706,-0.9587431772567271,-59.4198572955578,-30.395805681366518
10,0.9366037735849057,-50.63450692509652,-4.601130066657571,-32.21149019591028,-17.502669760005812,-5.029149789591044,-9.554518788100788,-2.8422243223745634,-3.2749124671656227,-49.775839170293224,-40.64866425403826,-22.671991174511067,-49.839684151807404,-0.9705656678575258,-61.75929817667358,-32.060102880146104
11,0.9337866966210268,-52.27005047036747,-4.874331908121542,-33.65039717365643,-18.159839928137664,-3.156392883660973,-9.912561176595112,-2.627256358078441,-3.386842698901982,-49.243536313022055,-39.389659444386275,-22.080945401154544,-49.51032221738286,-0.891419642448298,-62.84485312723728,-33.13286418680871
12,0.9311446479644617,-54.56120638707431,-5.143262259411451,-35.39220632624707,-19.004364137544155,-2.637429414798097,-10.252119880209257,-2.3857121026185752,-3.7193458161109016,-50.165231130908055,-39.3728857915453,-22.243785416729523,-50.57973582184778,-0.8535286169441322,-64.5863724930808,-34.56155674960553
13,0.9236264721707419,-56.0419068941403,-5.376416200279669,-36.69822993020027,-19.524588482791952,-1.1025963694373788,-10.479184291931064,-2.231838139945029,-3.9128970395694167,-49.76304302570857,-38.320090501028176,-21.75391683801286,-50.477492333222266,-0.7845677233431387,-65.43534374693431,-35.50773978986576
14,0.9372216203202118,-57.073636068395984,-5.599426923177517,-37.762646284556965,-19.90430309547626,-0.19089183025848994,-10.631756752788712,-1.9336471370909187,-4.025910705377385,-48.75760196502394,-36.79478810229124,-21.20224678428048,-49.93375692648265,-0.7027841017273876,-65.94063902907858,-36.203339523292655
15,0.9298720842738901,-59.77203891925999,-5.84937381588489,-39.63473091677809,-20.815468663156754,-0.6283827253442056,-10.883810681046565,-1.7304266612059223,-4.516461286212739,-50.6477103110618,-38.07909691412994,-22.020470855789466,-52.14571051343182,-0.7327679500476073,-68.33131866573216,-37.82960797070837
16,0.9314530631818727,-61.26857583799447,-6.094165606265645,-40.90603709360877,-21.445975893966132,-0.053282642734049576,-11.022981848298187,-1.4878940444457032,-4.782505867980841,-50.07942942380497,-36.997667056942134,-21.378325272794278,-51.87563350083044,-0.6550147439786345,-68.69611757069728,-38.73727243173186
17,0.9312584168786473,-62.7834752363817,-6.329962985999256,-42.16778795885698,-21.969403057526367,0.0,-11.188211392343096,-1.3748919258255954,-5.034330968513093,-50.037359415906856,-36.2565276327682,-21.00271017017305,-52.0874022898256,-0.6074068807499564,-69.61981545962946,-39.677387996018375
18,0.9297279501990243,-64.45811036595786,-6.569175166937174,-43.479859164968786,-22.614851224353576,-0.8353683684112058,-11.338217883303349,-1.2380998208681244,-5.27945989974884,-49.894439129144544,-35.621332098025796,-20.837160682209227,-52.4266452198919,-0.5573872623015139,-70.32050834479458,-40.67764412364518
19,0.9359091185225685,-66.8097463631296,-6.8021172059212,-45.08360059139937,-23.405229886619907,-1.1971591931083965,-11.459556961040693,-1.2689644664016815,-5.735701269101984,-51.46063448000282,-36.602977546425386,-21.532284641597116,-54.42835136963034,-0.5757249021782659,-72.73353840960343,-42.10248806166489
20,0.9313737145574511,-67.88675389452669,-7.0329447432340615,-46.17394194240583,-23.814773134234805,-0.06782948294210966,-11.621227593423107,-1.063832240688841,-5.858366641491674,-50.05946693449438,-34.50453654667594,-20.512097089217917,-53.35653902426232,-0.4799317199124682,-72.55598311419809,-42.76786978138964
21,0.9351237175618587,-69.62219818020468,-7.26687351563922,-47.50931034340143,-24.476495985949807,-0.7609354891666206,-11.68622569181795,-1.082282398646651,-6.076501861933984,-50.02512746771791,-33.78237542887795,-20.3864698939191,-53.62307895982492,-0.43235166343358006,-72.92097146511308,-43.818821984505966
22,0.9374362971401163,-71.15537238244767,-7.483418103973656,-48.68002179792924,-25.090095986707077,-0.012598630404309844,-11.799438484251109,-1.0113804193430362,-6.286268534352682,-49.90347703421023,-33.19935012606315,-20.052017678541088,-53.83245488155385,-0.4025062085195755,-73.82178902981413,-44.6905702506249
23,0.938320527557626,-72.10211432071334,-7.708374370934232,-49.671899346228194,-25.485358409408445,-0.14631821292784652,-11.83509723813589,-0.9825511661594771,-6.268675078622688,-48.318332891449316,-31.131271100192066,-18.99425836530958,-52.583209228721984,-0.326669714547553,-73.1307008710363,-45.267332059291675
24,0.9367069531932849,-73.16247091507819,-7.917565162640006,-50.63760976957601,-25.93948781623854,0.0,-11.927554046790927,-0.9151534562902348,-6.361004137772517,-47.482614677167625,-29.999925220549922,-18.37541928166922,-52.206647554274866,-0.2772452716195067,-73.12450356021522,-45.89151415142148
