episode,service_level,rebalancing_imbalance,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,station_starvation_count,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
25,0.9350891434412676,-75.13606105793677,-8.13126296550333,-52.02437327154082,-26.67157320039309,-0.6870770084310504,-12.002410081758638,-0.9589593132893698,-6.638263879542099,-48.267067347840445,-30.26178614345194,-18.61079047036015,-53.2877073480367,-0.2953618159746321,-74.17708042932155,-47.047857356521796
26,0.9305917212893957,-76.43943475476004,-8.326826311513948,-53.074211534391125,-27.193732400826313,-0.1747736240104015,-12.024012489537029,-0.8931827481784785,-6.872685186075567,-48.06347355886334,-29.549385478179087,-18.33262018597042,-53.3860013064591,-0.2725007352939392,-74.76208339579956,-47.803306307877456
27,0.9375974085505607,-77.80959468619913,-8.536673744580291,-54.22586358877814,-27.707502473024125,-0.23278518619821167,-12.11240206142592,-0.825790861259162,-7.124085875258731,-47.907113798998736,-28.863983142128635,-18.16669495322334,-53.517077182174376,-0.2554785919336136,-75.33915297917238,-48.64097797676841
28,0.9378493519050065,-79.44313932324944,-8.748476103712543,-55.414452947790124,-28.324599586934287,-0.5004342970864564,-12.147706878323977,-0.8397685488730877,-7.399142989201217,-48.30726872309285,-28.835734055376022,-18.10816911760757,-54.21718774819452,-0.26410199748721286,-76.3143442421882,-49.57100159583253
29,0.9307265553149198,-80.5914346091218,-8.958148708729455,-56.42715982371487,-28.7623416958467,-0.1180641075366672,-12.170777764140464,-0.8253462778541036,-7.559866416737995,-47.51636628006717,-27.745152006077163,-17.46046851162907,-53.75979160727201,-0.21630764565776994,-76.33222184531024,-50.25513754463919
30,0.9390612132857535,-82.15831598645497,-9.174267750730435,-57.648174373046196,-29.317508346647546,-0.31506272151758485,-12.23896990725374,-0.8385350509055953,-7.722208378792205,-47.97339559660992,-27.60200889641974,-17.54470367627782,-54.489236099462765,-0.21908334969618404,-77.2928362534424,-51.18954616640857
31,0.938533924718293,-82.78832738881147,-9.373999085965202,-58.400470318666045,-29.598737659135864,-0.2947470224136659,-12.267307708644411,-0.7679382602408549,-7.803503560530916,-46.278189228877686,-25.491847939951413,-16.53688995735515,-53.16108844837154,-0.1394770914751313,-76.48019974275437,-51.570570710181386
32,0.9367069667225282,-84.11834168421548,-9.582818141629456,-59.40910741393369,-30.1409005859974,-0.14331161273926635,-12.345937600740779,-0.7358276876155617,-7.891130539444544,-46.14164345326628,-25.092934650546745,-16.33472826987289,-53.380254486644844,-0.11822835477010518,-77.2360691561605,-52.31791583786273
33,0.9307358009890604,-85.62937885893778,-9.784203767821692,-60.52929151341759,-30.667334508194116,-0.005942768415878322,-12.458667686106535,-0.7550243114381437,-8.087091331674575,-46.65421884292031,-25.323217623759646,-16.439371193137102,-54.245638411748246,-0.1568139903005001,-78.15579967515917,-53.1863930572753
34,0.9340502877915783,-86.70378938687168,-9.965001692132937,-61.426467867630585,-31.070844021187476,-0.0802484548444333,-12.475427698434997,-0.8110642515799331,-8.223213705878772,-46.642349334039054,-24.977961945013288,-16.14292203663667,-54.52803969457703,-0.1680286144827711,-78.82544188435602,-53.80648333476623
35,0.9364075642784704,-87.59522078814913,-10.1509427558027,-62.26501271433065,-31.450058458336542,-0.028614881319587886,-12.480134504622542,-0.8523089420581414,-8.297419140074767,-46.01123966454603,-24.12410630550898,-15.644542499486752,-54.23132738599636,-0.14535472023316948,-79.37532547237754,-54.317447467267684
36,0.9339825546660294,-88.19142648413401,-10.326248617147126,-62.97070428932671,-31.767355236573117,-0.2067159454239548,-12.547018889449017,-0.7652810213159723,-8.439993017247863,-44.68907012399645,-22.814688452366447,-14.796555005821089,-53.160067048569985,-0.08759883414851571,-79.0148659382574,-54.63583160893335
37,0.9265795007771784,-89.7302551080494,-10.506380112287445,-64.02751939408033,-32.27630835024509,-0.08642447001010195,-12.647731333202042,-0.7829642820186885,-8.68464743182362,-45.96819430952668,-23.737053649607937,-15.407656925461822,-54.7750905007083,-0.13966411726397163,-80.34987301123559,-55.54315741406522
38,0.9364322132442828,-90.31799686341373,-10.681903486045343,-64.67098620528733,-32.5308198934325,-0.18200307915739797,-12.678800008282883,-0.7230049482816437,-8.836140221777535,-44.851842331419384,-22.40526012616696,-14.618188701853997,-54.01585575542562,-0.09609878072729207,-80.42735872038638,-55.88140567466256
39,0.9359721671193579,-91.31116648447318,-10.855542889709252,-65.4871309025692,-32.91677194611927,-0.328932209405159,-12.690396626080615,-0.777803073291328,-9.059737597411996,-44.70433436994378,-22.16880121813624,-14.45184850210128,-54.19531800146019,-0.09249460864904795,-81.06263942482397,-56.44779007508923
40,0.9382640773147161,-92.59349356631738,-11.036466741319174,-66.4904538589477,-33.36803842995633,-0.35733426753095876,-12.734279921092638,-0.8165357487479298,-9.22076435562005,-44.987669740079085,-22.318444527227665,-14.457035544888514,-54.8622916468389,-0.09860921704454838,-81.74970274955456,-57.198264701449645
41,0.9257707273271476,-93.04591241705889,-11.204238221831881,-67.05878774802297,-33.5718366438827,-0.25624096079882097,-12.780651967587612,-0.7334390598685931,-9.282179511911236,-43.696929190433714,-20.970426422565353,-13.67002306529938,-53.951766717905535,-0.05581149317320401,-81.48958251228876,-57.45164645251416
42,0.9312118674482593,-94.49698787701011,-11.378182448387532,-68.08296561590639,-34.06056712861526,-0.7530741156655701,-12.84113127272722,-0.7955732374544875,-9.547535119406351,-44.812866557088974,-21.86159662639442,-14.048420954555022,-55.33031087086806,-0.09703731850399666,-82.70973867189214,-58.28536466548218
43,0.9353730218538056,-95.17487129428822,-11.554632190946448,-68.77143806592349,-34.34182983932108,-0.36518221379725146,-12.841969013195463,-0.8232585232886188,-9.565802685029922,-43.799782868979015,-20.714545715899966,-13.340350031554616,-54.697849303380075,-0.058644166386514276,-82.52990695636177,-58.63543091669129
44,0.9387492730111114,-95.56057247454716,-11.734387104894463,-69.34503777910307,-34.55319090194854,-0.07599340727844436,-12.902106956216043,-0.7435982605705433,-9.521202752629554,-42.16579974968899,-19.08889564080243,-12.36283465200287,-53.322216981120164,-0.0046592203342377915,-81.92934856620356,-58.845922279902844
45,0.9346794062856799,-96.86257974928415,-11.909238620948257,-70.23008452833494,-35.060071957765224,0.0,-12.947826431399873,-0.7743292368144662,-9.674333419767624,-42.75849786442943,-19.81244331497183,-12.603407009858213,-54.24722952595905,-0.038846893958255295,-83.01504456507506,-59.56330145703507
46,0.9319376500258272,-97.55730739500301,-12.090292968989973,-70.89847960114635,-35.36514772927776,-0.007318657910626539,-12.978857361228382,-0.7228362472477271,-9.796482872549891,-41.89613521077616,-18.92484242027394,-11.991276082349728,-53.618348168694446,-0.017514413927854244,-82.55397581198721,-59.94521006359689
47,0.9273866456807313,-98.65446101212872,-12.274372326901954,-71.71879606021601,-35.78752367967454,-0.0016146822174567636,-12.95106765278943,-0.8331273081223957,-9.874081140138026,-41.739876724841906,-18.779880690660722,-11.937323428196315,-53.75900617606751,-0.0191462090204746,-82.66042228520938,-60.56898787435752
48,0.9357119019447225,-99.21946321669927,-12.433360887101003,-72.3148767011938,-36.08441743878852,0.0,-12.950132725821776,-0.8746016918512904,-9.974612071010425,-40.88725655140683,-17.881422834868893,-11.464085737156202,-53.174802480266884,0.0,-82.49707044144289,-60.88098936387532
49,0.9332121356619181,-100.82296084488061,-12.602932999443702,-73.29977170264483,-36.685513879338835,-0.17567659820096998,-13.046460669149388,-0.93791380644996,-10.199429965822377,-42.1361818278871,-19.18216182540166,-12.096024475622508,-54.74049834254406,-0.07075185964738386,-83.9245386841045,-61.749709184597215
50,0.9329813886900501,-101.67105519576879,-12.76797628185349,-73.98084376443214,-37.04395344714636,-0.3518649246222433,-13.08667058800062,-0.9408000726365493,-10.351420349137525,-41.97736593783739,-19.02370218430783,-11.972884904721184,-54.83503294028474,-0.06637257243768378,-84.24278963325324,-62.23423710170907
51,0.9307535038075202,-101.99069167999355,-12.921554552596247,-74.39561494514693,-37.271603560359104,-0.19353382516354445,-13.02231921859054,-0.9566160820179945,-10.329104496163385,-40.72578318404472,-17.843530364712347,-11.172617153209572,-53.84936285877478,-0.01689079101444351,-83.98954814056358,-62.37738121319897
52,0.9325495424519726,-102.94975346271923,-13.080883454511177,-75.11358482934051,-37.62821374470358,0.0,-13.11306010274917,-0.9590775254075764,-10.529206205738578,-41.11397855261192,-18.18479919896745,-11.185725164969512,-54.43051977315415,-0.04987028125732311,-84.65033024915779,-62.91593530387063
53,0.9379128137384413,-103.40797938362662,-13.236514506212066,-75.59692321703794,-37.856694672986706,0.0,-13.175609650164196,-0.9010987503541575,-10.55350206228649,-40.16563286185103,-17.354103213929783,-10.621421895370869,-53.803366916724954,-0.024030648942279142,-84.59640492738492,-63.169502168487575
54,0.9388074526683322,-104.42438873300281,-13.39171773872465,-76.3428055641793,-38.25896267681959,-0.332279339436605,-13.220554527704282,-0.9913928201587449,-10.740652039709516,-40.494342052890026,-17.891116738870462,-10.7448260009924,-54.45517929153276,-0.06437835741172959,-84.89826407180428,-63.74668549248206
55,0.9272287140252832,-104.87621487511933,-13.531283853285398,-76.81537752552332,-38.52319863641449,-0.09366225017890167,-13.23324959394871,-0.9875739484881751,-10.817364170852176,-39.58399894771146,-17.07448102316565,-10.201047516830256,-53.79710711189737,-0.03848233929288908,-84.6476149783063,-63.97309229814636
56,0.9340924152057353,-106.21460971156645,-13.686405040809607,-77.64759114280056,-39.02291007787978,-0.33583347671410624,-13.271221575343185,-1.0911500589496417,-11.028750891001616,-40.58149304554939,-18.240918128377658,-10.623198472296256,-55.19310899588706,-0.09271202623652165,-85.83358226427984,-64.695882200821
57,0.932987044363241,-106.87967706120266,-13.837388927737042,-78.18270038508223,-39.36478504900933,-0.059096394143073765,-13.328224140733543,-1.0573424183016396,-11.139570159097433,-40.15882169488497,-18.04972997308667,-10.401353355794942,-55.095152700667576,-0.08638493439513806,-86.2539387416682,-65.03942631354019
58,0.9345532174443428,-106.64443240815153,-13.975088561312845,-78.36716096222074,-39.40006913480113,0.0,-13.276717078800493,-1.0213633251705074,-11.001088508598762,-37.798643055074926,-15.670048206646642,-8.980221781811919,-52.941325084176036,0.0,-85.04431599292674,-64.87426839811968
59,0.9364100704204068,-107.79172870659082,-14.121547259848413,-79.10450300895675,-39.83384549773172,-0.10883715980182614,-13.289344710673127,-1.10286453820888,-11.302689014045702,-38.73192863717717,-16.711570881668003,-9.370414648618997,-54.05206541202602,-0.06226714049938911,-86.07705883668831,-65.50513721639543
60,0.9296669849606112,-108.13435070252511,-14.265665822994094,-79.53413062715059,-40.05706545796086,0.0,-13.298683058541652,-1.1025057462892658,-11.346279215390714,-37.548412867508446,-15.687496855431942,-8.590579445663668,-53.103622800469736,-0.014867993491005402,-85.63143513915219,-65.68763618487439
61,0.9315340993438437,-109.48158242741985,-14.420528776687668,-80.35318163113698,-40.548040003221224,-0.05045945373154873,-13.383517716631621,-1.1768266628753024,-11.546827929968098,-39.01808626148833,-17.137318554921862,-9.238417063447892,-54.79315341476203,-0.08995764490567178,-87.0034899513079,-66.43084840891257
62,0.9304719718955247,-109.75293953421583,-14.559813102513901,-80.70322030153223,-40.73679925171575,-0.02513885872325381,-13.355064230481542,-1.1641145516439966,-11.73281639483848,-38.075649857109084,-16.227924532496992,-8.595146762008222,-54.037502863888136,-0.05942308175978661,-86.72773283637498,-66.55730760431824
63,0.9305344194790082,-110.619684976077,-14.702953181436968,-81.33006338578758,-41.10191622914281,-0.014485389890984506,-13.427729725601212,-1.1735100486822099,-11.9420854723532,-38.27620863443509,-16.471561303358285,-8.701547510085312,-54.51113998640069,-0.08290822609156827,-87.31999177670065,-67.02538905075605
64,0.9291975930847002,-111.55587679617369,-14.84363150823943,-81.94816062523392,-41.48068287658636,0.0,-13.474685432914672,-1.2047094131415637,-12.12391893707232,-38.647057578006546,-16.886876679693057,-8.808209679928062,-55.175684632621184,-0.1205253473885069,-88.10992554711042,-67.51654744770818
65,0.9343204941860466,-112.2947952800253,-14.982118377652851,-82.45930214377836,-41.79375886285454,-0.31500168803056205,-13.516376259764298,-1.2040512001310841,-12.318199997505303,-38.71206352177923,-17.058532546246642,-8.77106244584452,-55.54133828693119,-0.14438071400513666,-88.5366495646926,-67.89207297055529
66,0.9351771043365735,-112.91746317328652,-15.127110326512193,-82.99194887864786,-42.104569890665275,-0.0983958496150975,-13.547555914724256,-1.1819010682168336,-12.395261123260152,-38.18425551529588,-16.69790201941047,-8.477355549477505,-55.222323793065,-0.1351147621494141,-88.22287566613028,-68.20817656138871
67,0.9367940398942562,-113.69148810831544,-15.274060155288126,-83.60065347193768,-42.45974558432155,0.0,-13.568066944707853,-1.2280966431462557,-12.639217637965938,-38.14450481476619,-16.727234194275066,-8.345715940840478,-55.34518618646925,-0.14063725024184853,-88.4234340417429,-68.64071829984796
68,0.9382727190686762,-114.64554332602866,-15.411883441748747,-84.23538574646132,-42.878811740453926,-0.05891086268406957,-13.614242363163656,-1.2842411483309257,-12.872375802610456,-38.5418670293366,-17.198790915729067,-8.455766226102352,-55.99946719560445,-0.16433771120899074,-89.44022550509364,-69.13491120224967
69,0.937046296575198,-115.06017744466173,-15.551003790070002,-84.65137261228932,-43.10056112595516,0.0,-13.67262985854336,-1.2694744121208517,-12.982255027712842,-37.71835167748499,-16.406670829479808,-7.889473689592042,-55.36891682126263,-0.14457975037950965,-89.33670115682087,-69.32155778193506
70,0.9251906548843966,-115.81354350966689,-15.682169277029418,-85.18156219736011,-43.41154980421432,-0.002213586662463415,-13.74328959951436,-1.287977347154197,-13.158784527173678,-37.93475919668538,-16.714121936388935,-7.924502471597185,-55.807813641022015,-0.172105099893413,-89.85605439753411,-69.70530376844323
71,0.9353918392819994,-116.33302362999493,-15.813099282911077,-85.64748654344223,-43.73385711710681,-0.02354271432609471,-13.722559914620602,-1.3411751396578437,-13.34645046730904,-37.054087239531945,-16.038142642252502,-7.396953892227201,-55.137812133796906,-0.13916755290278035,-89.25405498289452,-69.95664198551907
72,0.9339941900512114,-117.0364566414854,-15.947405684648984,-86.18309733965195,-44.06407170428679,-0.04098857818423426,-13.738817381296391,-1.4009214705858943,-13.504575495419527,-37.00586909174282,-16.10462772670853,-7.370189857666545,-55.28660965295556,-0.14900363030754726,-89.40116448094017,-70.3451336701215
73,0.9348776353742305,-117.57441774265943,-16.080100476869575,-86.60038538510886,-44.359972556977866,-0.037403677145340826,-13.794660230553413,-1.4678842712121778,-13.628883509713688,-36.66151907687245,-15.89270809543325,-7.138008675445383,-55.20386283167134,-0.15776887179060248,-89.54872865489307,-70.62362203743564
74,0.938172445829712,-118.49199483357629,-16.20119485031389,-87.16855698220496,-44.774293042920185,-0.0519290344348847,-13.842972331900462,-1.5636639203389266,-13.987031842419297,-37.078111555166565,-16.5137620611489,-7.373989947138724,-55.959278276120685,-0.18909026542431567,-90.6791696748992,-71.08718497561149
75,0.9260522300996141,-118.91755341010537,-16.328495332048625,-87.54760779082757,-45.03135873063384,0.0,-13.815393035499493,-1.6628722872362058,-14.122887871556125,-36.44950817539871,-16.06624575143843,-7.019709229787202,-55.57734767702379,-0.18146188859984183,-90.59966694191937,-71.30317677827254
76,0.9284273282948421,-119.39593652516716,-16.452794539849425,-87.92812506314698,-45.34663739317707,-0.06930023065947713,-13.866699860062095,-1.67310846096328,-14.289709376460767,-35.78036433102988,-15.590246938518348,-6.593224887208731,-55.16707622564211,-0.1662047531760774,-90.52915532237891,-71.51091120133762
77,0.9327388379949478,-120.39243143567661,-16.577157091019135,-88.55279987729655,-45.73839323912246,-0.03122789197610256,-13.912168127723477,-1.7744498030654063,-14.56347546617432,-36.53996833047116,-16.532730995881803,-6.9856420150036875,-56.21672793390206,-0.22883440455524406,-91.43646905854173,-72.04705231338379
78,0.9393754760091394,-120.86635845950768,-16.69491619131725,-88.94682234938915,-45.99720258892293,-0.2180730033856907,-13.933604116486352,-1.8619526645465811,-14.744208034524656,-36.2056584978989,-16.211055481907202,-6.735096442473522,-56.10316304724076,-0.23637519669631718,-91.74029654491942,-72.2754674879568
79,0.9319915254237288,-121.06203598619983,-16.81640803034801,-89.22950031511968,-46.21071430904631,-0.21315553908562754,-13.937783215722243,-1.870047088307995,-14.815985098097174,-34.79599807525151,-15.060838644394055,-5.896164869816569,-54.91357074020344,-0.19031855077128135,-91.14254441169712,-72.33634048810006
80,0.929722951994268,-121.920750274803,-16.931851960405847,-89.77494446051115,-46.60551782840424,0.0,-13.917576924394865,-2.0206197412276885,-15.071855946720026,-35.213653249944834,-15.626095363876328,-6.07209030588072,-55.532200552714265,-0.21407076772209377,-91.9646470870752,-72.77931434492363
81,0.9386815317498788,-122.40184179331426,-17.040512297609858,-90.1390400559914,-46.900942083246505,-0.2813182741090287,-13.982768407491788,-2.029298671015709,-15.228989266270572,-34.81317864984927,-15.342590793787572,-5.76808640311022,-55.33423600597067,-0.20000586079428748,-92.40222772488391,-72.98289755894717
82,0.9389902676399027,-122.9939750303676,-17.157173600316714,-90.54728980928785,-47.208074759184655,-0.21485798361975852,-13.989225140946322,-2.0938008189495116,-15.341160410708278,-34.61993560105848,-15.333690802511036,-5.647076648735107,-55.34691497181292,-0.20310374112076562,-92.61289326351242,-73.27313916784948
83,0.9341881896447193,-123.12702535521152,-17.262622929667923,-90.78385633255057,-47.38169665715243,-0.01529523780354361,-13.989915181885129,-2.0871091930954484,-15.405098772917569,-33.33827158229822,-14.236080857147769,-4.895301205337533,-54.243352782097176,-0.15893295099555682,-91.78257927566054,-73.28837774251991
84,0.9345060563637471,-123.70829060624297,-17.370330780650548,-91.2183497748119,-47.67618750499735,-0.15227697164680315,-13.996835931503202,-2.1444055055450684,-15.628017637189053,-33.09067457685582,-14.117971832749092,-4.752250986071125,-54.2097229105121,-0.16343255592238914,-92.04654939601514,-73.5789747610937
85,0.9328067971040508,-124.09614365384948,-17.468797556747,-91.53835969057202,-47.878016124206056,0.0,-14.010728171194442,-2.1672002662653487,-15.792754065604367,-32.76476121493209,-13.851419983538147,-4.543864078612398,-54.05432884826733,-0.1638063035884781,-92.11914669049744,-73.77483652442552
86,0.9276182533063267,-124.21318170370353,-17.563343118967513,-91.73037843221407,-48.000200011458084,-0.2304860265929532,-14.032958169166768,-2.1902725026538326,-15.854784825058102,-31.951879605313746,-13.083305647509752,-4.036212303860592,-53.48471815259028,-0.15148010640796555,-91.851520558663,-73.7941765485392
87,0.9314853398556633,-125.02195712584962,-17.669601179163067,-92.22271974329325,-48.37472712995908,-0.4076533565811998,-14.073103258039636,-2.254350100081764,-16.037187629392438,-32.31993317833683,-13.598057523597957,-4.21763387583713,-54.10990336938109,-0.1748673149329524,-92.31444861686076,-74.20352437352577
88,0.9341486359360301,-125.90430306550822,-17.77235724394307,-92.74948539654639,-48.75522436962493,-0.3200012738612449,-14.107507819887697,-2.3172930917942405,-16.216833670969947,-32.88334127618286,-14.295331785778844,-4.519165743624385,-54.83630456520376,-0.19699177940332516,-92.77728971378018,-74.66434053151045
89,0.9220178041543027,-126.50425464553558,-17.873775598941457,-93.144248162871,-49.07346529512961,0.0,-14.12299127194438,-2.379713747051164,-16.34272893645557,-33.00933755098829,-14.50003821988123,-4.451156601932809,-55.11324855831864,-0.2194680186856703,-93.33897255236266,-74.95542046151772
90,0.9321869113447165,-126.54175179216313,-17.979069789588426,-93.31480572638888,-49.193643931639045,-0.08388093338673666,-14.156385021783583,-2.356331667581419,-16.314439573856884,-31.866215093076555,-13.484472223520209,-3.8223468421115014,-54.17414594170761,-0.18918803880505441,-92.70323232000497,-74.94413579027429
91,0.9373010629992192,-126.71104211452075,-18.080960446338906,-93.52040246684854,-49.33664579600277,0.0,-14.181445892694097,-2.3523907393986456,-16.37944266111359,-31.16633943874343,-12.884934675652959,-3.388849707136135,-53.674313087727874,-0.1721530430704362,-92.6089995189931,-74.99628822933049
