episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk
0,0.8939495287321374,-143.59173422914006,-107.85578358208885,-16.2932693332104
1,0.9298743657888379,-370.56651720080936,-276.000961857006,-38.82254506719203
2,0.9324810947065179,-473.4477750812657,-348.11620212566487,-45.99487871761633
3,0.9417186229330442,-503.31273936879273,-368.1847958161405,-45.97609969140041
4,0.9319354451643869,-527.9903681764202,-381.12178252879966,-46.104029582502164
5,0.9378852253007002,-531.5340765587524,-377.8735443521115,-45.28092256775882
6,0.9320290254431891,-543.2062099740122,-380.1151295730299,-45.10200987665232
7,0.9396087498859107,-537.2405152797552,-369.4880253070634,-44.03086157045525
8,0.9354422788605697,-534.3275648555631,-362.72428984329,-41.2624373309167
9,0.9433254702715781,-531.0690369071667,-356.47880450301903,-39.45486524257042
10,0.9356389249977327,-526.9794029188326,-349.9245591752479,-36.54281752215096
11,0.9240471620510008,-525.3009720646446,-346.6647784844052,-34.1256352167082
12,0.9349303688487448,-525.8976714658032,-344.6740666848824,-32.29326657633994
13,0.935283498056975,-523.4334691642309,-339.0082788309712,-30.997675256801802
14,0.9320269259536276,-524.9403973867499,-338.86675534655495,-29.746994544367574
15,0.9337360205729323,-526.0597853618594,-338.0735562992093,-28.299551485618483
16,0.9377028489001082,-521.4885039659048,-332.7438547441996,-27.597651323479276
17,0.9353436566150503,-535.5227487527478,-341.6276645708807,-27.01685501737323
18,0.9334297682548293,-534.335233648792,-336.86564660784165,-25.886045898825273
19,0.928785787167637,-537.3482678776519,-336.14269278335325,-24.36466869508871
20,0.9294096622386371,-537.2530732155071,-334.5103364589468,-23.9751911951976
21,0.9371134651889046,-541.9785974924656,-336.1319497896472,-22.45353036129888
22,0.9377585787296179,-535.5214954088673,-328.7538598915545,-21.34267374081332
23,0.9319280545296219,-543.3372036192042,-332.14904269581865,-21.028010745599037
24,0.937002892263196,-555.938876614237,-339.45275052050505,-20.969072062553277
25,0.9322691332239296,-551.2926265657277,-333.8278413243668,-20.377982094114305
26,0.9322013451156619,-554.7598650655482,-335.0994267812513,-19.907801381439448
27,0.9346218086375566,-554.7220781476931,-332.9266433760589,-19.30927719176516
28,0.939302612941141,-553.4305981921957,-330.7798551184676,-18.442276083879207
29,0.9301769777643322,-555.032191939572,-331.42927963238526,-18.02598564804643
30,0.936304759577198,-557.5301793157374,-333.4105570036343,-17.740265982391254
31,0.9396057724040683,-553.3928789127335,-330.7284034676312,-16.829982940082534
32,0.935397565008267,-548.2021100455353,-326.01783742271164,-15.947198287464852
33,0.9316615734915213,-551.3954366951164,-329.0725775019172,-14.611393299154296
34,0.9352955485283386,-553.5030929408942,-329.0010784042839,-14.112512235374288
35,0.9391409925633631,-546.6780890959725,-324.59013968575647,-13.222713178252013
36,0.9365552607256791,-547.3199842230056,-325.4799788785275,-12.92888762715495
