episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
19,0.9273191233863705,-2.343795827825945,-1.828360477208281,-2.920005939369312,-2.7265274211175656,0.074478,0.1,0.17844,0.2,1492,929,1449,33310,37829,37821,0,0,0,0,3222,3215,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9270957017335549,-2.4182936226380485,-1.869748035403737,-3.0085893160299895,-2.807977019463371,0.07349,0.1,0.177372,0.2,1705,751,1431,33688,38008,38001,0,0,0,0,3113,3133,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9311484274084533,-2.461806977500942,-1.9093639704069891,-3.076177463544497,-2.872485459621104,0.072529,0.1,0.17631,0.2,1429,863,1234,33289,37996,37991,0,0,0,0,3161,3157,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9258508068124198,-2.514328353745603,-1.930032724759923,-3.096414720534924,-2.945642043962993,0.071593,0.1,0.175255,0.2,1532,954,1579,33527,38058,38047,0,0,0,0,3329,3349,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9281726943405191,-2.567206424617378,-1.9875492145948632,-3.1381647682151765,-2.9952716995141446,0.07068,0.1,0.174206,0.2,1600,819,1441,33678,38316,38310,0,0,0,0,3265,3272,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9318981328362248,-2.5921862485068035,-2.0221089818177242,-3.178048742958048,-3.042688054951832,0.06979,0.1,0.173163,0.2,1555,710,1543,33259,37784,37776,0,0,0,0,3358,3358,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9283504216465449,-2.6396424722131813,-2.0563564287346323,-3.2180080803186315,-3.097925271723827,0.068923,0.1,0.172127,0.2,1610,752,1344,32966,37374,37370,0,0,0,0,3185,3198,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9331731624844278,-2.6521364227353477,-2.081591328651917,-3.2436731119955384,-3.1474370068574467,0.068076,0.1,0.171096,0.2,1306,947,1487,33714,38333,38328,0,0,0,0,3256,3265,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9307915086734542,-2.696961272908239,-2.106722312894814,-3.297443142040235,-3.221860647182804,0.067251,0.1,0.170072,0.2,1349,969,1320,33493,38328,38319,0,0,0,0,3187,3204,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9191428486275445,-2.7265163334099562,-2.1361059439726735,-3.375609768448888,-3.287683642203352,0.066445,0.1,0.169054,0.2,1883,830,1491,33553,37825,37819,0,0,0,0,3187,3187,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
