episode,service_level,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-3.2140302363317463,-3.1479839385487143,-0.5056647968551261,-0.4022405242736568
1,0.9398286747487922,-0.9693296067597257,-0.9358247422631654,-0.3301202450617657,-0.2588264332396051
2,0.9297902014896584,-2.0100044190889377,-1.7950173441943336,-0.5039064279470906,-0.407902901549521
3,0.9379933030375508,-1.76294471326464,-1.4162100982496106,-0.5276192295287374,-0.42994011357713857
4,0.9284326328061941,-2.0040349140524927,-1.5711103397563653,-0.6018985204561051,-0.5115162031045357
5,0.9368175200194128,-1.7619687565341342,-1.3711129420013788,-0.6225108721363058,-0.5277534267476298
6,0.9383769322235433,-1.6829347992697994,-1.2549124604740707,-0.6512804322508086,-0.5442249714740616
7,0.9360837070254111,-1.888333822336934,-1.4232233389631692,-0.7117369494653819,-0.597997423013751
8,0.9321819713563606,-2.0742139288248,-1.4653138466804239,-0.7968989982088985,-0.6749728659266703
9,0.937845052478311,-1.8885818161569061,-1.226963494497449,-0.831205995055963,-0.7061331393266674
10,0.9320265760755193,-1.8654234216171306,-1.1658339066997296,-0.8487672779639255,-0.7182560262255998
11,0.9325129377783127,-2.096036788676836,-1.3227689134740144,-0.9403318782811215,-0.7865991224323253
12,0.9287529524322062,-2.2146891031873253,-1.4601577755781296,-1.014191937953527,-0.8753559520608708
13,0.9342987075155577,-2.2253993846225932,-1.4485431065564884,-1.0495315588482934,-0.9188297912325762
14,0.9357524920982252,-2.0068716088310707,-1.1616003605749845,-1.0700666013832774,-0.9326119569975934
15,0.9371174345346511,-2.275589586496748,-1.389235043192533,-1.1315560062911854,-0.9865240314460098
16,0.9336402459339128,-2.1585266209939826,-1.1837944019112914,-1.1645085495759486,-1.0106522223590118
17,0.9369504097625172,-2.058679631971888,-1.0590707706827858,-1.1694656169957003,-1.0254370623002613
18,0.9341436595441173,-2.136096998301937,-1.0791238788896054,-1.2192231794113906,-1.046911146594712
