episode,service_level,squared_starvation_penalty,squared_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.8957455770850885,-0.4074810007528868,-0.29460088157793507,-0.12028701397302939,-0.11318221560304664
1,0.9327539021382816,-0.5844355283797569,-0.4137493137557654,-0.17642935817109895,-0.15978282442320385
2,0.9301127117111687,-0.7546249929044767,-0.5268080905233172,-0.22894037873821432,-0.20162541529560019
3,0.9387643187911284,-0.8921807823758878,-0.6208771447872763,-0.27202130154795184,-0.24127061144343503
4,0.9394487791853324,-1.0266611636121659,-0.7174440063833464,-0.3090222548675618,-0.27663632870429855
5,0.9303411558252282,-1.1826185250513501,-0.8241476509531752,-0.35747140209355777,-0.3179107424977824
6,0.9383900555153271,-1.296073945742025,-0.8989305318465237,-0.3938328581664627,-0.34770578682012554
7,0.942505565918527,-1.3965843802184283,-0.9712984424431159,-0.42161525682181356,-0.37407144956511873
8,0.9342448502293784,-1.5205122931351527,-1.0554335316962624,-0.4604681625499573,-0.40548416839070817
9,0.9424438932552371,-1.6156720282431318,-1.1272987075293617,-0.4909875910770394,-0.4331023736012341
10,0.9344583396112701,-1.7171072119823854,-1.2002599779835805,-0.523599938234232,-0.46276203158166923
11,0.9379170205022443,-1.8074652529735995,-1.2629940921694716,-0.5488779779759909,-0.4865695648637951
12,0.9285094931977874,-1.922227828208581,-1.3418033083770895,-0.5857669090938918,-0.5217369097014984
13,0.9377547916032857,-2.0106714077089807,-1.401567919814105,-0.6153915006528091,-0.5479931982481204
14,0.9450024201355276,-2.071478884325839,-1.4439091574838083,-0.635513258902802,-0.5654113518487882
15,0.9361650558972339,-2.1527701994641717,-1.5011846528429524,-0.6565683046512991,-0.58794969388835
16,0.9390045248868778,-2.230682424684213,-1.554048291751443,-0.6840144019163018,-0.61271304793818
17,0.9451256342111621,-2.2865651576687362,-1.5920252231285783,-0.7004079745535817,-0.627473314226091
18,0.9355260755796264,-2.358697198335661,-1.6432336798903593,-0.7225146669584408,-0.6478886030338337
19,0.9303499123708225,-2.4354976797281576,-1.693284952921916,-0.7468875717477081,-0.6698850312769499
20,0.934108994453822,-2.511550632005434,-1.7449651671330992,-0.7662081097612288,-0.6895332843362351
21,0.9368639730234238,-2.571730938413781,-1.7866960066902928,-0.7865121287024873,-0.7095456553127469
22,0.9325118254948631,-2.6424959217275004,-1.8378167500308111,-0.805828456178642,-0.7268651352768078
23,0.9356225756983492,-2.7022986268550175,-1.8838646488215554,-0.8277187984476182,-0.7496544143063482
24,0.9420479952302877,-2.7587240092038248,-1.9228941983092964,-0.8479375485844057,-0.7669057996600882
25,0.9333977708641676,-2.8235032361242767,-1.9679556416446902,-0.8669758565229287,-0.7895815926584775
26,0.9348184314922185,-2.886119219577868,-2.0102902234042443,-0.8875982141550705,-0.8047948692131801
27,0.9322807972658258,-2.9477721700290567,-2.0531705428891383,-0.9035094678088113,-0.8220319084538846
28,0.9417044451881826,-2.985415196227161,-2.082180531222385,-0.9149340761524518,-0.8326669847808464
29,0.9373155009337912,-3.0319111454866023,-2.113753963239735,-0.9298995501725784,-0.8447149012042386
30,0.9451181173089015,-3.0694773617087154,-2.1379852295681507,-0.9430877955750805,-0.8555783221198204
31,0.9405710795541304,-3.1103019795601523,-2.1656998782961083,-0.9577238797026081,-0.8683919092926501
32,0.9376974218585482,-3.1643708559418267,-2.201031166488728,-0.9755635508743568,-0.8833009541802105
33,0.9368145112691334,-3.2138825775410793,-2.2356791140004733,-0.9908405108603427,-0.897074656202203
34,0.9386525250090394,-3.2590563594323427,-2.2654141876796823,-1.0049686709943486,-0.9116658449473272
35,0.9308674859252981,-3.314028661664024,-2.3048053740556957,-1.0204088615645452,-0.9262441795806464
36,0.9417376079212703,-3.352141507811509,-2.3281070915744855,-1.0336276380095424,-0.9369010823210128
37,0.9330513595166163,-3.3949987279737086,-2.358300467882376,-1.0454670202611105,-0.9470007050259338
38,0.933104527938343,-3.442299513838683,-2.390535414212166,-1.0605976612436208,-0.9606071351610466
39,0.9376094703146706,-3.486593648324253,-2.421056567187643,-1.0761590705998358,-0.9727471202327869
