seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_demand_weighted_depot_backlog,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance
45,0,6,0,S0,False,0,0,0,0,0,0,0,0,0,[],3.0,S16,10.19,0,0,0,0.0,-2.90117,,,-2.90117,False,False,,,,,,,,0.15683,0.102184,,,,,,,0.073079,0.06325,,,,,,,,,,
45,0,6,13,S16,False,0,0,0,0,9,0,0,0,0,"['B159', 'B160', 'B161', 'B162', 'B163', 'B164', 'B165', 'B572', 'B18']",7.5,S48,4.23,9,0,9,0.0,-2.865017,,,-2.865017,False,False,,,,,,,,0.145244,0.116232,,,,,,,0.059228,0.067111,,,,,,,,,,
45,0,6,24,S48,False,9,0,9,9,0,0,0,0,0,"['B159', 'B160', 'B161', 'B162', 'B163', 'B164', 'B165', 'B572', 'B18']",7.5,S54,6.34,0,0,0,0.0,-2.910596,,,-2.910596,False,False,,,,,,,,0.161932,0.109727,,,,,,,0.063407,0.055253,,,,,,,,,,
45,0,6,38,S54,False,0,0,0,0,12,0,0,0,0,"['B617', 'B618', 'B320', 'B514', 'B206', 'B484', 'B402', 'B578', 'B580', 'B743', 'B212', 'B403']",9.0,S51,6.18,12,0,12,0.0,-2.911368,,,-2.911368,False,False,,,,,,,,0.15427,0.123994,,,,,,,0.056514,0.053545,,,,,,,,,,
45,0,6,53,S51,False,12,0,12,12,0,0,0,0,0,"['B617', 'B618', 'B320', 'B514', 'B206', 'B484', 'B402', 'B578', 'B580', 'B743', 'B212', 'B403']",9.0,S55,5.48,0,0,0,0.0,-3.278099,,,-3.278099,False,False,,,,,,,,0.178407,0.137789,,,,,,,0.067224,0.052782,,,,,,,,,,
45,0,7,8,S55,False,0,0,0,0,15,0,0,0,0,"['B619', 'B620', 'B621', 'B622', 'B623', 'B624', 'B625', 'B626', 'B627', 'B628', 'B629', 'B630', 'B631', 'B632', 'B633']",10.5,S66,6.13,15,0,15,0.0,-3.18096,,,-3.18096,False,False,,,,,,,,0.134475,0.137257,,,,,,,0.13148,0.049444,,,,,,,,,,
45,0,7,25,S66,False,15,0,15,14,0,0,0,0,0,"['B619', 'B620', 'B621', 'B622', 'B623', 'B624', 'B625', 'B626', 'B627', 'B628', 'B629', 'B630', 'B631', 'B632']",10.0,S35,8.23,1,0,1,0.0,-3.382552,,,-3.382552,False,False,,,,,,,,0.142092,0.150045,,,,,,,0.141427,0.047192,,,,,,,,,,
45,0,7,43,S35,False,1,0,1,0,9,0,0,0,0,"['B269', 'B313', 'B706', 'B703', 'B576', 'B655', 'B344', 'B191', 'B658']",7.5,S52,6.71,10,0,10,0.0,-3.342693,,,-3.342693,False,False,,,,,,,,0.142975,0.143669,,,,,,,0.140221,0.048555,,,,,,,,,,
45,0,7,57,S52,False,10,0,10,0,10,0,0,0,0,"['B582', 'B583', 'B584', 'B585', 'B586', 'B587', 'B588', 'B589', 'B590', 'B146']",8.0,S27,3.68,20,0,20,0.0,-3.347171,,,-3.347171,False,False,,,,,,,,0.137709,0.149212,,,,,,,0.137698,0.051863,,,,,,,,,,
45,0,8,9,S27,False,20,0,20,15,0,0,0,0,0,"['B633', 'B269', 'B313', 'B706', 'B703', 'B576', 'B655', 'B344', 'B191', 'B658', 'B582', 'B583', 'B584', 'B585', 'B586']",10.5,S39,5.98,5,0,5,0.0,-3.079266,,,-3.079266,False,False,,,,,,,,0.132242,0.125705,,,,,,,0.111984,0.066812,,,,,,,,,,
45,0,8,25,S39,False,5,0,5,0,14,0,0,0,0,"['B432', 'B433', 'B434', 'B435', 'B436', 'B437', 'B438', 'B439', 'B440', 'B441', 'B442', 'B443', 'B444', 'B445']",10.0,S22,5.77,19,0,19,0.0,-3.159836,,,-3.159836,False,False,,,,,,,,0.124197,0.140102,,,,,,,0.113116,0.07241,,,,,,,,,,
45,0,8,41,S22,False,19,0,19,11,0,0,0,0,0,"['B587', 'B588', 'B589', 'B590', 'B146', 'B432', 'B433', 'B434', 'B435', 'B436', 'B437']",8.5,S57,12.19,8,0,8,0.0,-3.112401,,,-3.112401,False,False,,,,,,,,0.130507,0.126698,,,,,,,0.120497,0.066691,,,,,,,,,,
45,0,9,2,S57,False,8,0,8,0,11,0,0,0,0,"['B650', 'B651', 'B652', 'B392', 'B608', 'B104', 'B37', 'B609', 'B393', 'B38', 'B105']",8.5,S18,8.45,19,0,19,0.0,-2.93647,,,-2.93647,False,False,,,,,,,,0.135344,0.113523,,,,,,,0.08247,0.078375,,,,,,,,,,
45,0,9,19,S18,False,19,0,19,9,0,0,0,0,0,"['B438', 'B439', 'B440', 'B441', 'B442', 'B443', 'B444', 'B445', 'B650']",7.5,S46,4.15,10,0,10,0.0,-2.909099,,,-2.909099,False,False,,,,,,,,0.140398,0.103932,,,,,,,0.080935,0.080187,,,,,,,,,,
45,0,9,30,S46,False,10,0,10,10,0,0,0,0,0,"['B651', 'B652', 'B392', 'B608', 'B104', 'B37', 'B609', 'B393', 'B38', 'B105']",8.0,S37,2.79,0,0,0,0.0,-2.904909,,,-2.904909,False,False,,,,,,,,0.140655,0.10168,,,,,,,0.078936,0.083713,,,,,,,,,,
45,0,9,41,S37,False,0,0,0,0,18,0,0,0,0,"['B420', 'B607', 'B574', 'B459', 'B270', 'B272', 'B611', 'B764', 'B274', 'B464', 'B492', 'B384', 'B386', 'B763', 'B523', 'B734', 'B328', 'B692']",12.0,S21,12.58,18,0,18,0.0,-2.896835,,,-2.896835,False,False,,,,,,,,0.138325,0.108255,,,,,,,0.069335,0.08499,,,,,,,,,,
45,0,10,6,S21,False,18,0,18,6,0,0,0,0,0,"['B420', 'B607', 'B574', 'B459', 'B270', 'B272']",6.0,S65,15.09,12,0,12,0.0,-3.136126,,,-3.136126,False,False,,,,,,,,0.118602,0.139023,,,,,,,0.081688,0.103901,,,,,,,,,,
45,0,10,27,S65,False,12,0,12,12,0,0,0,0,0,"['B611', 'B764', 'B274', 'B464', 'B492', 'B384', 'B386', 'B763', 'B523', 'B734', 'B328', 'B692']",9.0,S55,9.08,0,0,0,0.0,-3.232309,,,-3.232309,False,False,,,,,,,,0.135662,0.132008,,,,,,,0.098773,0.090136,,,,,,,,,,
45,0,10,45,S55,False,0,0,0,0,11,0,0,0,0,"['B397', 'B327', 'B354', 'B410', 'B253', 'B206', 'B484', 'B752', 'B753', 'B155', 'B255']",8.5,S16,3.87,11,0,11,0.0,-3.355946,,,-3.355946,False,False,,,,,,,,0.134808,0.134425,,,,,,,0.107551,0.101916,,,,,,,,,,
45,0,10,57,S16,False,11,0,11,0,8,0,0,0,0,"['B112', 'B465', 'B531', 'B466', 'B526', 'B452', 'B40', 'B299']",7.0,S46,1.33,19,0,19,0.0,-3.333613,,,-3.333613,False,False,,,,,,,,0.132222,0.130525,,,,,,,0.112326,0.103206,,,,,,,,,,
45,0,11,5,S46,False,19,0,19,12,0,0,0,0,0,"['B397', 'B327', 'B354', 'B410', 'B253', 'B206', 'B484', 'B752', 'B753', 'B155', 'B255', 'B112']",9.0,S52,2.06,7,0,7,0.0,-3.409757,,,-3.409757,False,False,,,,,,,,0.145869,0.110499,,,,,,,0.131357,0.106701,,,,,,,,,,
45,0,11,17,S52,False,7,0,7,0,6,0,0,0,0,"['B485', 'B261', 'B311', 'B346', 'B598', 'B527']",6.0,S29,5.05,13,0,13,0.0,-3.657324,,,-3.657324,False,False,,,,,,,,0.145558,0.116508,,,,,,,0.149814,0.125946,,,,,,,,,,
45,0,11,28,S29,False,13,0,13,13,0,0,0,0,0,"['B465', 'B531', 'B466', 'B526', 'B452', 'B40', 'B299', 'B485', 'B261', 'B311', 'B346', 'B598', 'B527']",9.5,S49,8.87,0,0,0,0.0,-3.65187,,,-3.65187,False,False,,,,,,,,0.150736,0.09984,,,,,,,0.161946,0.129418,,,,,,,,,,
45,0,11,46,S49,False,0,0,0,0,13,0,0,0,0,"['B551', 'B552', 'B553', 'B554', 'B555', 'B556', 'B180', 'B230', 'B714', 'B718', 'B519', 'B756', 'B693']",9.5,S26,8.9,13,0,13,0.0,-4.180925,,,-4.180925,False,False,,,,,,,,0.158545,0.119326,,,,,,,0.177669,0.168669,,,,,,,,,,
45,0,12,4,S26,False,13,0,13,13,0,0,0,0,0,"['B551', 'B552', 'B553', 'B554', 'B555', 'B556', 'B180', 'B230', 'B714', 'B718', 'B519', 'B756', 'B693']",9.5,S33,6.45,0,0,0,0.0,-4.328144,,,-4.328144,False,False,,,,,,,,0.140243,0.111385,,,,,,,0.231609,0.186926,,,,,,,,,,
45,0,12,20,S33,False,0,0,0,0,12,0,0,0,0,"['B152', 'B153', 'B217', 'B106', 'B592', 'B314', 'B227', 'B300', 'B577', 'B21', 'B741', 'B742']",9.0,S43,2.06,12,0,12,0.0,-4.307846,,,-4.307846,False,False,,,,,,,,0.138279,0.108226,,,,,,,0.22833,0.193267,,,,,,,,,,
45,0,12,31,S43,False,12,0,12,12,0,0,0,0,0,"['B152', 'B153', 'B217', 'B106', 'B592', 'B314', 'B227', 'B300', 'B577', 'B21', 'B741', 'B742']",9.0,S59,2.96,0,0,0,0.0,-3.935005,,,-3.935005,False,False,,,,,,,,0.128224,0.085248,,,,,,,0.220311,0.182052,,,,,,,,,,
45,0,12,43,S59,False,0,0,0,0,20,0,0,0,0,"['B671', 'B672', 'B673', 'B674', 'B675', 'B676', 'B677', 'B678', 'B679', 'B680', 'B681', 'B682', 'B683', 'B684', 'B685', 'B686', 'B222', 'B45', 'B499', 'B343']",13.0,S40,4.5,20,0,20,0.0,-3.986594,,,-3.986594,False,False,,,,,,,,0.127042,0.095402,,,,,,,0.20923,0.188204,,,,,,,,,,
45,0,13,1,S40,False,20,0,20,7,0,0,0,0,0,"['B671', 'B672', 'B673', 'B674', 'B675', 'B676', 'B677']",6.5,S32,3.28,13,0,13,0.0,-4.266932,,,-4.266932,False,False,,,,,,,,0.116539,0.103073,,,,,,,0.253661,0.20459,,,,,,,,,,
45,0,13,11,S32,False,13,0,13,10,0,0,0,0,0,"['B678', 'B679', 'B680', 'B681', 'B682', 'B683', 'B684', 'B685', 'B686', 'B222']",8.0,S44,3.42,3,0,3,0.0,-4.404089,,,-4.404089,False,False,,,,,,,,0.135677,0.109703,,,,,,,0.257059,0.187876,,,,,,,,,,
45,0,13,22,S44,False,3,0,3,0,8,0,0,0,0,"['B276', 'B599', 'B729', 'B620', 'B189', 'B374', 'B197', 'B393']",7.0,S10,4.83,11,0,11,0.0,-3.923561,,,-3.923561,False,False,,,,,,,,0.114717,0.115469,,,,,,,0.191311,0.183999,,,,,,,,,,
45,0,13,34,S10,False,11,0,11,10,0,0,0,0,0,"['B45', 'B499', 'B343', 'B276', 'B599', 'B729', 'B620', 'B189', 'B374', 'B197']",8.0,S52,4.51,1,0,1,0.0,-3.924818,,,-3.924818,False,False,,,,,,,,0.125084,0.108867,,,,,,,0.199389,0.170944,,,,,,,,,,
45,0,13,46,S52,False,1,0,1,0,9,0,0,0,0,"['B159', 'B283', 'B160', 'B172', 'B171', 'B173', 'B638', 'B529', 'B385']",7.5,S36,4.36,10,0,10,0.0,-3.72833,,,-3.72833,False,False,,,,,,,,0.12843,0.096736,,,,,,,0.201042,0.147429,,,,,,,,,,
