episode,service_level,rebalancing_imbalance,projected_starvation_risk,projected_congestion_risk
0,0.8930208710339004,-253.89377349161492,-11.736324764980825,-8.102900948618176
1,0.9369336716201522,-397.89909219279895,-12.76598709093149,-11.297312537113601
2,0.9413503891872322,-380.5826273600043,-7.151815175181731,-9.494618861363335
3,0.9425590634761775,-385.02990059266415,-3.4179854339935924,-8.00499981394419
4,0.939237681683855,-381.30745821936,0.0,-6.892107270954669
5,0.9408717399071097,-374.253975909931,-0.010724694437886163,-6.107699886861886
6,0.943340534948118,-364.98883027665494,0.0,-5.075620935354174
7,0.9370696653537388,-363.46923701345713,0.0,-4.246582739502567
8,0.9340440910733646,-370.3462021776321,-0.03377269350632648,-4.163148483849141
9,0.9457561267184698,-356.6134554298648,-0.06569591548739266,-3.727049155368339
10,0.9385524192320575,-364.94710375445135,-0.0008052349038663574,-2.9673155299734035
11,0.9351118812176978,-380.26192249131867,-0.004279885373145218,-2.62255153952888
12,0.9341967829538333,-380.54075248663725,-0.09997026220399508,-2.0155035316655603
13,0.9362968783052794,-376.94116510531256,0.0,-1.458874900121615
14,0.936713045046128,-373.39342403094116,0.0,-1.2713204869965182
15,0.9426910799253148,-376.00044425575857,-0.16063903170618668,-1.197978810035224
16,0.9401668076876586,-373.92140694221257,0.0,-0.8775751018808735
17,0.9384675740109243,-372.05977486794296,0.0,-0.5322408089247157
18,0.9390080628365713,-380.1479060980744,-0.02937110165845363,-0.12754263220904563
19,0.9444744258559693,-385.42864814412775,0.0,-0.0011683792414774977
20,0.942112573982365,-380.2486964424329,0.0,-0.0017674141282527046
21,0.9428467419002549,-382.88541893488997,-0.007939885653768134,-0.01735372910253962
22,0.9325403976692497,-373.7628719584838,0.0,0.0
23,0.9412612179968185,-374.04672043320323,0.0,0.0
24,0.9382661218688932,-383.25700238540514,-0.04254717018114331,-0.13466225303765753
25,0.9364342469422373,-386.3473591309291,-0.0010627660411583377,-0.10786180299378378
26,0.9377329333696937,-389.89841361772267,0.0,-0.10392940784194432
27,0.938973897389739,-392.13373853845235,-0.11368682701968513,-0.3525929093697977
28,0.9412047757962166,-380.08937118092206,-0.02988639136604454,-0.05708352401207258
29,0.9354936127804789,-384.3863494714385,-0.07370441031031293,-0.04468681125111896
30,0.9440626883664859,-395.34680880481045,0.0,-0.08464848373604517
31,0.9360093600936009,-383.02134910696304,0.0,-0.0642352677300782
32,0.9446302153938846,-378.83412184086745,-0.0021924087274399753,-0.04377870016144467
33,0.9389328763885606,-387.788317380177,-0.055871706408865865,-0.11382413073277606
34,0.9426037282020445,-390.12487109199725,-0.016953574615118393,-0.04562275771176509
35,0.9412858900123009,-379.59909200643705,-0.10705410403954435,-0.08775373562032511
36,0.9363916385059362,-376.85777804439454,-0.023619521985785003,-0.19235243456249432
37,0.9445545762298332,-383.15845470323507,0.0,-0.06429608538863378
38,0.9385014635323938,-390.16221225958816,0.0,-0.18232314888554058
39,0.9366952147092292,-388.61581369417354,-0.0060727656759416585,-0.10860196399544587
40,0.9429001203369435,-396.766523653629,0.0,-0.19864872405879544
41,0.9385240963855421,-401.13122426002076,0.0,-0.09268310586931265
