,mean,std,min,max,variance
rebalancing_imbalance,0.592458918441637,0.11807486047465762,0.2783835828304291,0.917254626750946,0.013941672676109865
squared_starvation_penalty,0.20369951574593617,0.0738483344818357,0.02168351411819458,0.3741499185562134,0.0054535765057410835
squared_congestion_penalty,0.17832856843084205,0.060865977555106046,0.05286877974867821,0.3151458203792572,0.003704667223738673
exponential_starvation_penalty,0.18219804090595593,0.07246913648849732,0.018488416448235512,0.3528203070163727,0.005251775743388453
exponential_congestion_penalty,0.1577121171028525,0.05988232978209493,0.04203203693032265,0.30269312858581543,0.0035858934201315733
starvation_severity_max,0.9137241559653846,0.11977146434730346,0.28333333134651184,1.0,0.014345203671897384
congestion_severity_max,0.8892167679138313,0.12355168882684141,0.5,1.0,0.015265019811964648
starvation_count,0.11160176054682394,0.07729023720708827,0.0,0.31343284249305725,0.005973780767527972
congestion_count,0.08431677629380316,0.0627627505406921,0.0,0.26865673065185547,0.003939162855433146
gross_starvation_risk,0.14049800649404418,0.0849338979609046,0.0,0.4915858507156372,0.007213767022833354
gross_congestion_risk,0.11115904104606543,0.06817929652195509,0.0,0.35697516798973083,0.004648416474228678
net_starvation_shortfall,0.3417198693092914,0.11513730847666712,0.17737796902656555,1.0683172941207886,0.0132565998032512
net_congestion_shortfall,0.23761204188379026,0.051552178643215,0.11406632512807846,0.4075758159160614,0.0026576271228619525
