episode,service_level,squared_starvation_penalty,congestion_severity_max,unmet_starvation_deficit,temporal_demand_gradient,future_net_pressure
73,0.89986492570914,-54.56463224412771,-209.23003651405642,-68.93484717887691,0.0,-36.19403166838265
74,0.9146743363892385,-54.64486907650873,-209.37690425153113,-69.01253776500947,0.0,-36.25429442882787
75,0.9046500421635948,-54.69270202086496,-209.39026911035478,-69.04829259414258,0.0,-36.29407222987848
76,0.9057272426945371,-54.78116322563292,-209.60161354935357,-69.14197675380885,0.0,-36.359033870522474
77,0.9076276491102566,-54.842742795378115,-209.70147977381734,-69.20073081917486,0.0,-36.407996062007186
78,0.9106721065063346,-54.90235164629897,-209.79114973433198,-69.25461569215035,0.0,-36.452687741267475
79,0.9032394792612777,-54.97835144300677,-209.97184109723577,-69.33402640954291,0.0,-36.50400931530098
80,0.9035281475732793,-55.04958496805686,-210.13356089142454,-69.40685631562815,0.0,-36.55358614793389
81,0.9103211288164457,-55.088548901779795,-210.1485699291349,-69.4353269625278,0.0,-36.58626127922479
82,0.9000910746812386,-55.14302271869136,-210.24063057259414,-69.4855260037636,0.0,-36.62588664068245
83,0.8984814313637047,-55.19740925174351,-210.33052056198875,-69.53628187018309,0.0,-36.665702253031306
84,0.9055553856972514,-55.26504444160917,-210.48617853247956,-69.60513613423781,0.0,-36.71292241197697
85,0.9032472637116769,-55.3186200592143,-210.58046655594845,-69.65560902822737,0.0,-36.75321973920543
86,0.906353110564521,-55.36369348593534,-210.6410261502155,-69.6954808125383,0.0,-36.78744544443805
87,0.9115945937846505,-55.4229849642952,-210.78258013014442,-69.75725447517509,0.0,-36.83126773915073
88,0.9076095217827501,-55.46513059815345,-210.8293802772923,-69.79239158497853,0.0,-36.86798340569946
89,0.9011455747315527,-55.50520951080273,-210.87878042323354,-69.82676395951053,0.0,-36.89889093158747
90,0.9067743569874527,-55.56223082520537,-210.99982492028212,-69.8836358141721,0.0,-36.93966660253153
91,0.8986066260016744,-55.610750260491194,-211.09797645781637,-69.9311335640167,0.0,-36.97805010800601
92,0.9050927324352082,-55.649688669163766,-211.14566835230124,-69.96484898110867,0.0,-37.010143647813464
93,0.9090555538935591,-55.682613583523576,-211.17484539425897,-69.99182064529549,0.0,-37.038918106095714
94,0.9020746386015848,-55.71408652152889,-211.19340383462315,-70.01679197518176,0.0,-37.06666062148665
95,0.9029754204398448,-55.75272080571116,-211.25751272869365,-70.05270934029545,0.0,-37.097106207739245
96,0.9024123473294039,-55.79385387464379,-211.332084841965,-70.09171470003503,0.0,-37.12841480575534
97,0.9030719385612288,-55.830745928270446,-211.38343349947525,-70.12497759313592,0.0,-37.15809063450429
98,0.9029064869418703,-55.86464763731382,-211.42768331144848,-70.15518098920725,0.0,-37.18579970003102
99,0.9085919358243614,-55.90458734157553,-211.51340571443518,-70.19598431710176,0.0,-37.214224800795755
